watersystem_code,unit_basin_code,watersystem_name,source_files,source_paths,source_layers,source_input_feature_n,source_file_count,basin_id,basin_unit_id,source_vector_area_m2
830303,514,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,356,1,67,B_830303_514,3725207.1678825915
830303,515,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,204,1,68,B_830303_515,2134234.135993621
830303,516,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,69,B_830303_516,3133.1776156379524
830303,517,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,485,1,70,B_830303_517,4766920.6210806705
830303,518,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,10,1,71,B_830303_518,68026.17139002452
830303,8,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,72,B_830303_8,2713.5206302624024
830304,1,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,269,1,73,B_830304_1,2814308.5669205
830304,10,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,233,1,74,B_830304_10,2436307.0977258203
830304,105,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,484,1,75,B_830304_105,4620139.3551082015
830304,11,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2182,1,76,B_830304_11,22768874.437692232
830304,12,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,88,1,77,B_830304_12,920646.9720337943
830304,120,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,938,1,78,B_830304_120,9604460.103484163
830304,13,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,22,1,79,B_830304_13,230144.26172994776
830304,134,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,122,1,80,B_830304_134,1104303.9154161643
830304,139,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1396,1,81,B_830304_139,14567915.203565309
830304,14,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,140,1,82,B_830304_14,1463996.623933128
830304,15,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1838,1,83,B_830304_15,19212688.331636757
830304,155,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,28,1,84,B_830304_155,174212.5524562088
830304,158,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,64,1,85,B_830304_158,564917.38588061
830304,16,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,819,1,86,B_830304_16,8546713.649438854
830304,161,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,493,1,87,B_830304_161,5104104.603476151
830304,167,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,674,1,88,B_830304_167,7038804.520503871
830304,17,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,27,1,89,B_830304_17,251742.0867905689
830304,18,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,15,1,90,B_830304_18,156704.77304116267
830304,189,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,82,1,91,B_830304_189,452351.57861735014
830304,19,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,34,1,92,B_830304_19,277812.67424569407
830304,194,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,969,1,93,B_830304_194,10004504.718264343
830304,195,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,39,1,94,B_830304_195,79083.22287255652
830304,2,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,174,1,95,B_830304_2,1820216.5092781559
830304,20,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,382,1,96,B_830304_20,3698679.9746645014
830304,21,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,56,1,97,B_830304_21,585862.1250538967
830304,22,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,85,1,98,B_830304_22,889185.5057552699
830304,222,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,7,1,99,B_830304_222,8194.127755011716
830304,23,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,84,1,100,B_830304_23,878381.7991372286
830304,238,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,22,1,101,B_830304_238,51042.666400131486
830304,24,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,45,1,102,B_830304_24,470564.57452242926
830304,25,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,736,1,103,B_830304_25,7695792.061686257
830304,251,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,13,1,104,B_830304_251,21580.091520133516
830304,26,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1179,1,105,B_830304_26,12322461.806173965
830304,260,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,41,1,106,B_830304_260,104544.31678480914
830304,263,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,5,1,107,B_830304_263,2676.7419586377455
830304,27,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,544,1,108,B_830304_27,5678047.464906703
830304,271,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,9,1,109,B_830304_271,11500.628741173867
830304,273,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5338|W07_5339,48,1,110,B_830304_273,125384.41355430569
830304,278,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5338,16,1,111,B_830304_278,47344.34932050392
830304,28,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,2,1,112,B_830304_28,8144.8052749955405
830304,29,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,139,1,113,B_830304_29,1263483.3664361597
830304,3,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,30,1,114,B_830304_3,313804.8957747377
830304,31,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,6,1,115,B_830304_31,62763.70227746362
830304,32,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,26,1,116,B_830304_32,271970.69473155605
830304,33,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,97,1,117,B_830304_33,1014416.93388394
830304,34,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,43,1,118,B_830304_34,449830.7136330665
830304,35,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,17,1,119,B_830304_35,177800.4987720727
830304,36,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,170,1,120,B_830304_36,1777956.6932398053
830304,37,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1239,1,121,B_830304_37,12809741.680255529
830304,38,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,876,1,122,B_830304_38,9162834.125209423
830304,39,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,495,1,123,B_830304_39,5175573.126122291
830304,4,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,33,1,124,B_830304_4,345175.40716921363
830304,40,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,400,1,125,B_830304_40,4181669.8693477865
830304,41,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,126,B_830304_41,475.270152272113
830304,42,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,444,1,127,B_830304_42,4638615.397789812
830304,44,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,268,1,128,B_830304_44,2546486.9050262654
830304,47,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,3058,1,129,B_830304_47,31968221.292929202
830304,5,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,339,1,130,B_830304_5,3545184.317123947
830304,50,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,102,1,131,B_830304_50,1066878.353011343
830304,51,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,100,1,132,B_830304_51,1045779.4888681371
830304,52,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1627,1,133,B_830304_52,17013946.367360312
830304,53,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,231,1,134,B_830304_53,2415569.8496908853
830304,54,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1238,1,135,B_830304_54,12943989.775796846
830304,55,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,466,1,136,B_830304_55,4868870.077039723
830304,56,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,385,1,137,B_830304_56,4017354.5132803493
830304,57,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1906,1,138,B_830304_57,19932343.39024494
830304,6,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,67,1,139,B_830304_6,700907.4419784676
830304,60,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,140,B_830304_60,3773.5711283128794
830304,61,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1305,1,141,B_830304_61,13074518.39433697
830304,62,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,17,1,142,B_830304_62,113128.72888398566
830304,63,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,496,1,143,B_830304_63,5184696.7783184
830304,67,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,883,1,144,B_830304_67,9168998.544355907
830304,68,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1867,1,145,B_830304_68,19507304.004368544
830304,69,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,678,1,146,B_830304_69,7091584.313358726
830304,7,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,66,1,147,B_830304_7,690394.6084789772
830304,70,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1323,1,148,B_830304_70,13838336.44908467
830304,71,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,1,1,149,B_830304_71,2902.172668207902
830304,72,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,197,1,150,B_830304_72,1694460.0450613303
830304,77,,13Tokyo.gpkg,13Tokyo.gpkg,W07_5339,108,1,151,B_830304_77,879330.927798041
