landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m
59011,59,11,830303,,471,B_830303_471,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_471_LF_CLASS::氾濫平野・海岸平野,8062,806200.0,0.8062,9967,996700.0,9940,994000.0,0.9972910604996489,0.811066398390342,0.8088692685863349,10.0
59013,59,13,830303,,471,B_830303_471,旧河道,LF_CLASS::旧河道,B_830303_471_LF_CLASS::旧河道,81,8100.0,0.0081,9967,996700.0,9940,994000.0,0.9972910604996489,0.008148893360160966,0.008126818501053476,10.0
59016,59,16,830303,,471,B_830303_471,水部,LF_CLASS::水部,B_830303_471_LF_CLASS::水部,273,27300.0,0.0273,9967,996700.0,9940,994000.0,0.9972910604996489,0.027464788732394368,0.027390388281328382,10.0
59017,59,17,830303,,471,B_830303_471,旧水部,LF_CLASS::旧水部,B_830303_471_LF_CLASS::旧水部,17,1700.0,0.0017,9967,996700.0,9940,994000.0,0.9972910604996489,0.001710261569416499,0.0017056285742951742,10.0
60007,60,7,830303,,472,B_830303_472,自然堤防,LF_CLASS::自然堤防,B_830303_472_LF_CLASS::自然堤防,189,18900.0,0.0189,1375,137500.0,1228,122800.0,0.893090909090909,0.15390879478827363,0.13745454545454547,10.0
60011,60,11,830303,,472,B_830303_472,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_472_LF_CLASS::氾濫平野・海岸平野,314,31400.0,0.0314,1375,137500.0,1228,122800.0,0.893090909090909,0.255700325732899,0.22836363636363635,10.0
60016,60,16,830303,,472,B_830303_472,水部,LF_CLASS::水部,B_830303_472_LF_CLASS::水部,725,72500.0,0.0725,1375,137500.0,1228,122800.0,0.893090909090909,0.5903908794788274,0.5272727272727272,10.0
61007,61,7,830303,,473,B_830303_473,自然堤防,LF_CLASS::自然堤防,B_830303_473_LF_CLASS::自然堤防,1,100.0,0.0001,3445,344500.0,3228,322800.0,0.9370101596516691,0.0003097893432465923,0.00029027576197387516,10.0
61011,61,11,830303,,473,B_830303_473,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_473_LF_CLASS::氾濫平野・海岸平野,2225,222500.0,0.2225,3445,344500.0,3228,322800.0,0.9370101596516691,0.6892812887236679,0.6458635703918723,10.0
61016,61,16,830303,,473,B_830303_473,水部,LF_CLASS::水部,B_830303_473_LF_CLASS::水部,992,99200.0,0.0992,3445,344500.0,3228,322800.0,0.9370101596516691,0.3073110285006196,0.2879535558780842,10.0
61017,61,17,830303,,473,B_830303_473,旧水部,LF_CLASS::旧水部,B_830303_473_LF_CLASS::旧水部,10,1000.0,0.001,3445,344500.0,3228,322800.0,0.9370101596516691,0.0030978934324659233,0.002902757619738752,10.0
62007,62,7,830303,,474,B_830303_474,自然堤防,LF_CLASS::自然堤防,B_830303_474_LF_CLASS::自然堤防,1330,133000.0,0.133,22994,2299400.0,22031,2203100.0,0.9581195094372444,0.06036947936997867,0.05784117595894581,10.0
62011,62,11,830303,,474,B_830303_474,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_474_LF_CLASS::氾濫平野・海岸平野,16893,1689300.0,1.6893,22994,2299400.0,22031,2203100.0,0.9581195094372444,0.766783169170714,0.7346699138905801,10.0
62016,62,16,830303,,474,B_830303_474,水部,LF_CLASS::水部,B_830303_474_LF_CLASS::水部,3808,380800.0,0.3808,22994,2299400.0,22031,2203100.0,0.9581195094372444,0.17284735145930735,0.16560841958771855,10.0
63007,63,7,830303,,475,B_830303_475,自然堤防,LF_CLASS::自然堤防,B_830303_475_LF_CLASS::自然堤防,5475,547500.0,0.5475,13028,1302800.0,13021,1302100.0,0.999462695732269,0.42047461792489055,0.42024869511820695,10.0
63011,63,11,830303,,475,B_830303_475,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_475_LF_CLASS::氾濫平野・海岸平野,6443,644300.0,0.6443,13028,1302800.0,13021,1302100.0,0.999462695732269,0.49481606635435066,0.4945501995701566,10.0
63013,63,13,830303,,475,B_830303_475,旧河道,LF_CLASS::旧河道,B_830303_475_LF_CLASS::旧河道,859,85900.0,0.0859,13028,1302800.0,13021,1302100.0,0.999462695732269,0.06597035557944858,0.065934909425852,10.0
63016,63,16,830303,,475,B_830303_475,水部,LF_CLASS::水部,B_830303_475_LF_CLASS::水部,244,24400.0,0.0244,13028,1302800.0,13021,1302100.0,0.999462695732269,0.01873896014131019,0.018728891618053422,10.0
64011,64,11,830303,,476,B_830303_476,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830303_476_LF_CLASS::氾濫平野・海岸平野,846,84600.0,0.0846,1306,130600.0,1306,130600.0,1.0,0.6477794793261868,0.6477794793261868,10.0
64013,64,13,830303,,476,B_830303_476,旧河道,LF_CLASS::旧河道,B_830303_476_LF_CLASS::旧河道,290,29000.0,0.029,1306,130600.0,1306,130600.0,1.0,0.222052067381317,0.222052067381317,10.0
