landscape_unit_id,watersystem_code,watersystem_name,unit_basin_code,gsi_landform_class,available_area_m2,available_area_km2,available_share_known,available_share_basin,landform_coverage_ratio,resolution_m,source,selection_inference_ready
B_130000_3_LF_CLASS::凹地・浅い谷,130000,,3,凹地・浅い谷,3833600.0,3.8336,0.3551800174180518,0.35517672673368234,0.9999907351646824,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_3_LF_CLASS::氾濫平野・海岸平野,130000,,3,氾濫平野・海岸平野,241100.0,0.2411,0.02233772490596105,0.02233751795061843,0.9999907351646824,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_3_LF_CLASS::水部,130000,,3,水部,8600.0,0.0086,0.0007967832193748032,0.0007967758373094918,0.9999907351646824,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_4_LF_CLASS::山地斜面等,130000,,4,山地斜面等,1598900.0,1.5989,0.1137845146598349,0.11378289520502127,0.9999857673531547,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_4_LF_CLASS::崖・段丘崖,130000,,4,崖・段丘崖,220700.0,0.2207,0.01570594933105608,0.015705725793825877,0.9999857673531547,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_4_LF_CLASS::台地・段丘,130000,,4,台地・段丘,8889100.0,8.8891,0.6325861087389696,0.6325771053642846,0.9999857673531547,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_4_LF_CLASS::凹地・浅い谷,130000,,4,凹地・浅い谷,955400.0,0.9554,0.06799032166239681,0.06798935398015969,0.9999857673531547,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_4_LF_CLASS::氾濫平野・海岸平野,130000,,4,氾濫平野・海岸平野,1900800.0,1.9008,0.13526900085397098,0.13526707561805268,0.9999857673531547,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_4_LF_CLASS::後背低地・湿地,130000,,4,後背低地・湿地,456500.0,0.4565,0.03248647879305437,0.03248601642447446,0.9999857673531547,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_4_LF_CLASS::水部,130000,,4,水部,30600.0,0.0306,0.0021776259607173354,0.0021775949673360755,0.9999857673531547,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_5_LF_CLASS::山地斜面等,130000,,5,山地斜面等,437600.0,0.4376,0.054513291974985674,0.054513291974985674,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_130000_5_LF_CLASS::崖・段丘崖,130000,,5,崖・段丘崖,257100.0,0.2571,0.03202780476866732,0.03202780476866732,1.0,10.0,GSI_natural_landform_GeoJSON_rasterized,True
