place_id,Pa,Jo,Ya,Ko,Na,He,Me,JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,gsi_landform_code,gsi_landform_class,gsi_landform_match_status,gsi_landform_zoom,gsi_landform_source,watershed_mesh_code_100m,watershed_first_mesh_code,watersystem_code,watersystem_name,river_code,river_name,unit_basin_code,w07_match_status,w07_source_year,w07_source_id,watersystem_unit_id,watersystem_unit_label,basin_unit_id,basin_unit_label,landscape_unit_id,landscape_unit_label,sequence_string_7digit,sequence_display,sequence_phases
13101001300,0,1,0,0,0,0,0,13101001300,13101,13,めいじだいがくだいがくいんにしがわいせき,明治大学大学院西側遺跡,千代田区 神田駿河台一丁目,[縄文時代（前期）],包蔵地,NA,縄文土器,139.7612639,35.6988349,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339463089,5339,830304,荒川,8303040044,神田川,51,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_51,荒川 / basin 51,B_830304_51_LF_2010101,荒川 / basin 51 / 台地・段丘,0100000,seq_0100000,Jo
13101001400,0,0,0,0,0,0,1,13101001400,13101,14,NA,千代田区No.14遺跡,千代田区 大手町二丁目,[中世],単独出土地,NA,銅鐘,139.7683707,35.68525565,3050101,砂州・砂丘,matched,14,GSI experimental_landformclassification1,5339462124,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3050101,荒川 / basin 38 / 砂州・砂丘,0000001,seq_0000001,Me
13101002100,0,1,0,0,0,0,0,13101002100,13101,21,がいむしょうこうないいせき,外務省構内遺跡,千代田区 霞ヶ関二丁目,[縄文時代][近世],大名屋敷,[近世]井戸　石組溝　上水桝　石垣　溝状遺構,縄文土器　陶磁器　瓦　金属製品　木製品　動物遺体,139.7498313,35.67437944,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339450999,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_2010101,荒川 / basin 37 / 台地・段丘,0100000,seq_0100000,Jo
13101002200,1,1,1,1,0,0,1,13101002200,13101,22,とうきょうこくりつきんだいびじゅつかんいせき,東京国立近代美術館遺跡,千代田区 北の丸公園,[旧石器時代][縄文時代（早期〜後期）][弥生時代][古墳時代][中世][近世],集落・城館,[旧石器時代]礫群　[縄文時代][弥生時代][古墳時代]住居　[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　[近世]井戸　石組遺構,縄文土器　弥生土器　土製勾玉　土師器　須恵器　砥石　土錘　石製カ帯　石製模造品　陶磁器　カワラケ　瓦　鉄鏃　板碑　ガラス製品　焼塩壺　銭貨,139.754735,35.69037522,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339462083,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,1111001,seq_1111001,Pa-Jo-Ya-Ko-Me
13101003000,0,0,0,0,0,0,0,13101003000,13101,30,ときわばしもんあと,常盤橋門跡,千代田区 大手町二丁目,[近世][近代],城館・石橋,※一部、国指定史跡常盤橋門跡となっています。,NA,139.7700186,35.68592491,3050101,砂州・砂丘,matched,14,GSI experimental_landformclassification1,5339462136,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3050101,荒川 / basin 38 / 砂州・砂丘,0000000,seq_0000000,none
13101004100,0,1,1,1,0,0,1,13101004100,13101,41,ひらかわちょういせき,平河町遺跡,千代田区 平河町二丁目,[縄文時代][弥生時代][古墳時代][中世][近世],包蔵地,[中世]地下式土坑,陶磁器,139.7401839,35.67928786,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339451952,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0111001,seq_0111001,Jo-Ya-Ko-Me
13101004200,1,1,1,0,0,0,1,13101004200,13101,42,きおいちょういせき,紀尾井町遺跡,千代田区 紀尾井町,[旧石器時代][縄文時代（早期・中期〜後期）][弥生時代（後期）][中世][近世][近代],包蔵地・集落・屋敷,土坑　盛土　土手　石組溝　土坑　埋桶　柱穴　石垣遺構（紀州和歌山藩屋敷関係）　石垣　溝,縄文土器　弥生土器　陶磁器　瓦　金属製品　泥人形　間知石　石製品,139.7371627,35.68084957,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339451879,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_2010101,荒川 / basin 37 / 台地・段丘,1110001,seq_1110001,Pa-Jo-Ya-Me
13101004500,0,0,1,0,0,0,0,13101004500,13101,45,ひらかわちょう1-4いせき,平河町1-4遺跡,千代田区 平河町一丁目,[弥生時代（後期）][近世],集落・町人地跡,[弥生時代]住居　[近世]土坑,弥生土器　陶磁器　獣骨,139.7386046,35.68238336,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339451980,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_2010101,荒川 / basin 37 / 台地・段丘,0010000,seq_0010000,Ya
13101004900,0,1,1,0,0,0,0,13101004900,13101,49,いちばんちょういせき,一番町遺跡,千代田区 一番町,[縄文時代][弥生時代][近世],武家屋敷,[縄文時代]土坑　[弥生時代]方形周溝墓　[近世]建物　土坑　地下室　井戸,縄文土器　弥生土器　陶磁器　瓦　金属製品,139.739685,35.68690979,2010201,崖・段丘崖,matched,14,GSI experimental_landformclassification1,5339452941,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010201,荒川 / basin 38 / 崖・段丘崖,0110000,seq_0110000,Jo-Ya
13101005100,0,0,0,0,0,0,1,13101005100,13101,51,NA,千代田区No.51遺跡,千代田区 丸の内一丁目,[中世],墓地跡,NA,人骨,139.7661971,35.68075227,3030101,氾濫平野・海岸平野,matched,14,GSI experimental_landformclassification1,5339461162,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3030101,荒川 / basin 38 / 氾濫平野・海岸平野,0000001,seq_0000001,Me
13101005200,0,0,0,0,0,0,0,13101005200,13101,52,まるのうちさんちょうめいせき,丸の内三丁目遺跡,千代田区 丸の内三丁目,[近世][近代],城館・屋敷・その他（道）,土佐高知藩・阿波徳島藩上屋敷 [近世]建物礎石 地下室 木樋 上水井戸 下水溝 区画石積溝 石組溝 建物基礎 瓦溜 柵列状遺構 土坑 小穴 煉瓦遺構 煉瓦基礎建物,陶磁器 土器 瓦 金属製品 土製品 石製品 木製品 竹製品 漆器 煉瓦 自然遺物,139.7646006,35.67654116,3050101,砂州・砂丘,matched,14,GSI experimental_landformclassification1,5339461111,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3050101,荒川 / basin 38 / 砂州・砂丘,0000000,seq_0000000,none
13101005300,0,0,0,0,0,0,1,13101005300,13101,53,NA,千代田区No.53遺跡,千代田区 有楽町一丁目,[中世][近世],社寺・上水跡,[中世]墓 [近世]上水道,木樋 人骨,139.7607833,35.67529979,3030101,氾濫平野・海岸平野,matched,14,GSI experimental_landformclassification1,5339461008,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3030101,荒川 / basin 38 / 氾濫平野・海岸平野,0000001,seq_0000001,Me
13101005500,0,1,0,0,0,0,0,13101005500,13101,55,はやぶさちょういせき,隼町遺跡,千代田区 隼町,[縄文時代][近世],包蔵地・武家屋敷跡,[時期不明]土坑　ピット,縄文土器　陶磁器,139.7426901,35.68310842,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339451994,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0100000,seq_0100000,Jo
13101005600,0,1,1,0,0,0,0,13101005600,13101,56,さんばんちょういせき,三番町遺跡,千代田区 三番町,[縄文時代（前期・後期）][弥生時代（後期）][近世][近代],集落・貝塚・屋敷,[縄文時代]貝塚　ピット　住居址　[弥生時代]ピット　住居址　[近世]土坑　溝　地下室　井戸　建物跡,縄文土器　石器（縄文）　耳飾り　弥生土器　石器（弥生）　陶磁器　瓦（近世）　石製品　金属製品（近世）,139.7464141,35.69089728,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339452997,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0110000,seq_0110000,Jo-Ya
13101005700,0,1,0,0,0,0,0,13101005700,13101,57,おわりはんこうじまちていあと,尾張藩麹町邸跡,千代田区 紀尾井町　 麹町六丁目,[縄文時代（早期・中期・晩期）][近世],屋敷,建物址　地下室　井戸　溝　土坑　小穴　麹室　上水跡　柱穴　墓壙　埋甕　井戸址　礎石,陶磁器　瓦　金属製品　木製品　動物遺存体　縄文土器　人骨,139.7324409,35.68314519,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339451895,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_2010101,荒川 / basin 37 / 台地・段丘,0100000,seq_0100000,Jo
13101005800,0,1,0,0,0,0,0,13101005800,13101,58,ためいけいせき,溜池遺跡,千代田区 永田町二丁目,[縄文時代（前期・後期）][近世],包蔵地・社寺・屋敷,[近世]建物　土留遺構　石組　井戸,陶磁器　漆器　木製品　建築材　動植物遺体,139.7413855,35.67348697,3030101,氾濫平野・海岸平野,matched,14,GSI experimental_landformclassification1,5339450983,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_3030101,荒川 / basin 37 / 氾濫平野・海岸平野,0100000,seq_0100000,Jo
13101006000,0,1,0,1,1,1,0,13101006000,13101,60,いいだまちいせき,飯田町遺跡,千代田区 飯田町二丁目　 飯田町三丁目,[縄文時代][古墳時代][奈良時代][平安時代][近世],包蔵地・屋敷,[近世]屋敷境　地下室　土坑　上水道　石組溝　井戸　庭園,縄文土器　土師器　須恵器　陶磁器　瓦　砥石　硯　漆器　下駄　曲物,139.7498656,35.70120476,3030201,後背低地・湿地,matched,14,GSI experimental_landformclassification1,5339454919,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3030201,荒川 / basin 38 / 後背低地・湿地,0101110,seq_0101110,Jo-Ko-Na-He
13101006500,0,1,0,0,0,0,0,13101006500,13101,65,ほうせいだいがくこうないいせき,法政大学構内遺跡,千代田区 富士見二丁目,[縄文時代（前期）][近世],包蔵地・屋敷,[縄文時代]溝　小穴　[弥生〜中世]溝　土坑[近世]溝　道路跡　溝　建物跡　穴蔵　井戸,縄文土器　弥生土器　石器　土師器　須恵器　陶磁器　　瓦　銭貨　金属製品　もく世田谷区品　骨角製品,139.7404933,35.69527317,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339453942,5339,830304,荒川,8303040044,神田川,52,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_52,荒川 / basin 52,B_830304_52_LF_2010101,荒川 / basin 52 / 台地・段丘,0100000,seq_0100000,Jo
13101006600,0,0,0,1,0,0,0,13101006600,13101,66,とうきょうえきやえすきたぐちいせき,東京駅八重洲北口遺跡,千代田区 丸の内一丁目,[古墳時代][近世],包蔵地・屋敷,[近世]建物　石組溝　上水木桶　外堀石垣,陶磁器　瓦　ガラス製品　食器等,139.7696475,35.68278802,3050101,砂州・砂丘,matched,14,GSI experimental_landformclassification1,5339461195,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3050101,荒川 / basin 38 / 砂州・砂丘,0001000,seq_0001000,Ko
13101007100,0,1,1,0,0,1,0,13101007100,13101,71,NA,千代田区No.71遺跡,千代田区 千代田,[縄文時代（前期・中期・後期）][弥生時代（後期）][平安時代],包蔵地,NA,縄文土器　石器　土錘　土製品　弥生土器　土師器　須恵器,139.7500377,35.68272514,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339461090,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0110010,seq_0110010,Jo-Ya-He
13101007300,0,0,0,0,0,0,1,13101007300,13101,73,NA,千代田区No.73遺跡,千代田区 神田花岡町,[中世][近世],その他の墓,NA,NA,139.7744679,35.69812702,3030101,氾濫平野・海岸平野,matched,14,GSI experimental_landformclassification1,5339463179,5339,830304,荒川,8303040044,神田川,36,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_36,荒川 / basin 36,B_830304_36_LF_3030101,荒川 / basin 36 / 氾濫平野・海岸平野,0000001,seq_0000001,Me
13101007500,0,0,0,0,0,1,0,13101007500,13101,75,もんぶかがくしょうこうないいせき,文部科学省構内遺跡,千代田区 霞ヶ関三丁目,[平安時代][近世],包蔵地・城館・屋敷,[近世]石垣（外堀）　溝　ピット,陶磁器　瓦　須恵器,139.7490073,35.67131152,1010101,山地斜面等,matched,14,GSI experimental_landformclassification1,5339450959,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_1010101,荒川 / basin 37 / 山地斜面等,0000010,seq_0000010,He
13101007800,0,0,1,0,0,0,0,13101007800,13101,78,ふじみにちょうめいせき,富士見二丁目遺跡,千代田区 富士見二丁目,[弥生時代（後期）][近世],集落・屋敷,[弥生時代]住居址　[近世]土坑　溝,弥生土器　陶磁器類,139.7449565,35.70079368,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339454905,5339,830304,荒川,8303040044,神田川,52,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_52,荒川 / basin 52,B_830304_52_LF_2010101,荒川 / basin 52 / 台地・段丘,0010000,seq_0010000,Ya
13101009400,0,0,0,0,0,0,0,13101009400,13101,94,おうみひこねはんいいかみやしきあと,近江彦根藩井池上屋敷跡,千代田区 永田町一丁目,[近世][近代],屋敷・陸軍省,[近世]土坑　杭穴　[近代]煉瓦建物跡　下水溝　礎石列,(近世)陶器　磁器　土器　瓦　(近代)陶器　磁器　煉瓦,139.7470792,35.67841427,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339451947,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0000000,seq_0000000,none
13101009800,0,0,0,0,0,0,0,13101009800,13101,98,しみずとくがわけやしきあと,清水徳川家屋敷跡,千代田区 北の丸公園,[近世][近代],屋敷・近衛歩兵第一第二連隊竹橋陣営,[近世]建物跡　石組溝　上水木樋　池　[近代]煉瓦造建物　石組溝　塹壕,(近世)陶磁器　瓦　金属製品　その他　(近代)陶磁器　煉瓦　金属製品　その他,139.7499773,35.69327693,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339453919,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0000000,seq_0000000,none
13101009900,0,1,0,0,0,0,0,13101009900,13101,99,しまとばはんいながきけかみやしきあと,志摩鳥羽藩稲垣家上屋敷跡,千代田区 _町五丁目,縄文(中期・後期)　近世,集落・屋敷・その他,(縄文)住居跡　(近世)大型土坑　建物基礎　池跡　井戸　溝状遺構　土坑　礎石　小穴等,縄文土器　磁器　陶器　土器　瓦　金属製品　ガラス製品　煉瓦等,139.7342003,35.6835939,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339452807,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_2010101,荒川 / basin 37 / 台地・段丘,0100000,seq_0100000,Jo
13101010200,0,1,1,0,0,0,0,13101010200,13101,102,えいこくたいしかんみなみいせき,英国大使館南遺跡,千代田区 一番町,[縄文時代（前期）][弥生時代（後期）][近世],集落、屋敷,[縄文]竪穴住居跡、土坑、風倒木、[弥生]竪穴住居跡、[近世]建物基礎、池跡、道路状遺構、井戸、麹室、地下室,[縄文]土器、[弥生]土器、[古墳]土師器、[近世]磁器、陶器、土器、瓦、金属製品、銭貨、ガラス製品、動物遺体,139.743707,35.686385,2010101,台地・段丘,matched,14,GSI experimental_landformclassification1,5339452934,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_2010101,荒川 / basin 38 / 台地・段丘,0110000,seq_0110000,Jo-Ya
13102000100,0,1,0,0,0,0,0,13102000100,13102,1,NA,中央区No.1遺跡,中央区 日本橋本石町二丁目,[縄文時代],包蔵地・集落,NA,縄文土器,139.7714904,35.6864713,3050101,砂州・砂丘,matched,14,GSI experimental_landformclassification1,5339462137,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3050101,荒川 / basin 38 / 砂州・砂丘,0100000,seq_0100000,Jo
13102000200,0,0,0,0,0,0,1,13102000200,13102,2,NA,中央区No.2遺跡,中央区 日本橋本石町一丁目,[中世],貝塚,NA,中世土器　内耳土器　土錘　石器　管状土錘,139.7711986,35.68524433,3050101,砂州・砂丘,matched,14,GSI experimental_landformclassification1,5339462126,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3050101,荒川 / basin 38 / 砂州・砂丘,0000001,seq_0000001,Me
13102000300,0,0,0,0,0,0,1,13102000300,13102,3,にほんばしいっちょうめいせき,日本橋一丁目遺跡,中央区 日本橋一丁目,[中世][近世],包蔵地,[近世]石組下水　下水木樋　土蔵　穴蔵　埋甕　埋桶　胞衣埋納遺構　芥溜,陶磁器類　土製品(玩具等)　瓦　木製品(漆器椀・下駄他)　金属製品　石製品　ガラス製品　糸繊維製品,139.7748035,35.68259513,3050101,砂州・砂丘,matched,14,GSI experimental_landformclassification1,5339461199,5339,830304,荒川,8303040045,日本橋川,38,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_38,荒川 / basin 38,B_830304_38_LF_3050101,荒川 / basin 38 / 砂州・砂丘,0000001,seq_0000001,Me
13102001200,0,0,0,0,0,0,0,13102001200,13102,12,あかしょうちょう（だいさんじ）いせき,明石町（第3次）遺跡,中央区 明石町,[近世][近代],屋敷,[近（近代）]木樋　継手（玉川上水）　建物基礎　土坑　小穴　焼土整理坑　穴蔵　池　石組護岸　下水木樋　埋桶　埋甕,陶磁器　土器　瓦類　金属製品　銭貨他,139.7763601,35.66854652,5010301,旧水部,matched,14,GSI experimental_landformclassification1,5339460221,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_5010301,荒川 / basin 37 / 旧水部,0000000,seq_0000000,none
13102007700,0,1,1,1,1,1,1,13102007700,13102,77,こでんまちょうろうやしきあといせき,小伝馬町牢屋敷跡遺跡,中央区 日本橋小伝馬町,[縄文時代(中期〜晩期)][弥生時代(後期)][古墳時代][奈良時代][平安時代][中世][近世],屋敷,[近世]土坑　礎石　道路状遺構　建物址　建物基礎　石積・石組　埋桝　石組下水　植栽痕　上水桝　上水木樋　竹,陶磁器　木製品　人骨　瓦類　金属製品　土製品　木製品　銭貨　石製品　骨角貝製品　ガラス製品　動植物遺体　縄文土器　土師器（古墳時代、奈良時代　平安時代）　中世土器・陶器　他,139.7774141,35.6911266,3030101,氾濫平野・海岸平野,matched,14,GSI experimental_landformclassification1,5339462291,5339,830304,荒川,8303040044,神田川,36,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_36,荒川 / basin 36,B_830304_36_LF_3030101,荒川 / basin 36 / 氾濫平野・海岸平野,0111111,seq_0111111,Jo-Ya-Ko-Na-He-Me
13102014000,0,0,0,0,0,0,0,13102014000,13102,140,つきじしじょうあといせき,築地市場跡遺跡,中央区 築地五丁目,[近世][近代],屋敷、その他（近代海軍用地）,[近世] 石垣 [近代]石垣,[近世]陶磁器類、土器、木製品、瓦類、貝類 他,139.7688806,35.660728,5010301,旧水部,matched,14,GSI experimental_landformclassification1,5339369125,5339,830304,荒川,8303040011,隅田川,37,matched,2009,W07,WS_830304,830304 / 荒川,B_830304_37,荒川 / basin 37,B_830304_37_LF_5010301,荒川 / basin 37 / 旧水部,0000000,seq_0000000,none
