scheme,group_id,group_label,activity_domain,phase_pair,phase_pair_order,transition,n_places,active_total_places,active_transition_composition
unit_basin,B_130000_6,名称不明 / basin 6,all_land_use,Ya->Ko,3,new,8,8,1
unit_basin,B_140013_16,境川 / basin 16,all_land_use,He->Me,6,continue,0,1,0
unit_basin,B_140013_16,境川 / basin 16,all_land_use,He->Me,6,drop,0,1,0
unit_basin,B_140013_16,境川 / basin 16,all_land_use,He->Me,6,new,1,1,1
unit_basin,B_140013_17,境川 / basin 17,all_land_use,He->Me,6,continue,35,187,0.18716577540106952
unit_basin,B_140013_17,境川 / basin 17,all_land_use,He->Me,6,drop,147,187,0.786096256684492
unit_basin,B_140013_17,境川 / basin 17,all_land_use,He->Me,6,new,5,187,0.026737967914438502
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Jo->Ya,2,continue,23,188,0.12234042553191489
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Jo->Ya,2,drop,164,188,0.8723404255319149
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Jo->Ya,2,new,1,188,0.005319148936170213
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Ko->Na,4,continue,53,179,0.29608938547486036
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Ko->Na,4,drop,13,179,0.07262569832402235
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Ko->Na,4,new,113,179,0.6312849162011173
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Na->He,5,continue,162,186,0.8709677419354839
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Na->He,5,drop,4,186,0.021505376344086023
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Na->He,5,new,20,186,0.10752688172043011
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Pa->Jo,1,continue,20,188,0.10638297872340426
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Pa->Jo,1,drop,1,188,0.005319148936170213
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Pa->Jo,1,new,167,188,0.8882978723404256
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Ya->Ko,3,continue,14,76,0.18421052631578946
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Ya->Ko,3,drop,10,76,0.13157894736842105
unit_basin,B_140013_17,境川 / basin 17,all_land_use,Ya->Ko,3,new,52,76,0.6842105263157895
unit_basin,B_140013_19,境川 / basin 19,all_land_use,He->Me,6,continue,3,16,0.1875
unit_basin,B_140013_19,境川 / basin 19,all_land_use,He->Me,6,drop,12,16,0.75
unit_basin,B_140013_19,境川 / basin 19,all_land_use,He->Me,6,new,1,16,0.0625
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Jo->Ya,2,continue,1,19,0.05263157894736842
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Jo->Ya,2,drop,17,19,0.8947368421052632
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Jo->Ya,2,new,1,19,0.05263157894736842
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Ko->Na,4,continue,2,10,0.2
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Ko->Na,4,drop,0,10,0
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Ko->Na,4,new,8,10,0.8
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Na->He,5,continue,9,16,0.5625
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Na->He,5,drop,1,16,0.0625
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Na->He,5,new,6,16,0.375
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Pa->Jo,1,continue,3,18,0.16666666666666666
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Pa->Jo,1,drop,0,18,0
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Pa->Jo,1,new,15,18,0.8333333333333334
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Ya->Ko,3,continue,0,4,0
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Ya->Ko,3,drop,2,4,0.5
unit_basin,B_140013_19,境川 / basin 19,all_land_use,Ya->Ko,3,new,2,4,0.5
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,He->Me,6,continue,1,1,1
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,He->Me,6,drop,0,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,He->Me,6,new,0,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Jo->Ya,2,continue,0,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Jo->Ya,2,drop,0,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Jo->Ya,2,new,1,1,1
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Ko->Na,4,continue,1,1,1
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Ko->Na,4,drop,0,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Ko->Na,4,new,0,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Na->He,5,continue,1,1,1
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Na->He,5,drop,0,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Na->He,5,new,0,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Ya->Ko,3,continue,1,1,1
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Ya->Ko,3,drop,0,1,0
unit_basin,B_830303_345,利根川 / basin 345,all_land_use,Ya->Ko,3,new,0,1,0
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,He->Me,6,continue,6,6,1
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,He->Me,6,drop,0,6,0
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,He->Me,6,new,0,6,0
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Jo->Ya,2,continue,1,2,0.5
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Jo->Ya,2,drop,0,2,0
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Jo->Ya,2,new,1,2,0.5
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Ko->Na,4,continue,4,8,0.5
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Ko->Na,4,drop,2,8,0.25
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Ko->Na,4,new,2,8,0.25
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Na->He,5,continue,6,6,1
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Na->He,5,drop,0,6,0
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Na->He,5,new,0,6,0
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Pa->Jo,1,continue,0,1,0
unit_basin,B_830303_347,利根川 / basin 347,all_land_use,Pa->Jo,1,drop,0,1,0
