scheme,group_id,group_label,activity_domain,phase_code,phase_order,n_places,presence_rate
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,Na,5,1,0
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,Pa,1,1,0
unit_basin,B_830303_470,利根川 / basin 470,all_land_use,Ya,3,1,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,He,6,10,0.3
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Jo,2,10,0.1
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Ko,4,10,1
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Me,7,10,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Na,5,10,0.3
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Pa,1,10,0
unit_basin,B_830303_478,利根川 / basin 478,all_land_use,Ya,3,10,0.1
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,He,6,11,0.36363636363636365
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Jo,2,11,0.09090909090909091
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Ko,4,11,0.7272727272727273
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Me,7,11,0.45454545454545453
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Na,5,11,0.45454545454545453
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Pa,1,11,0
unit_basin,B_830303_517,利根川 / basin 517,all_land_use,Ya,3,11,0
unit_basin,B_830304_105,荒川 / basin 105,all_land_use,He,6,1,0
unit_basin,B_830304_105,荒川 / basin 105,all_land_use,Jo,2,1,0
unit_basin,B_830304_105,荒川 / basin 105,all_land_use,Ko,4,1,0
unit_basin,B_830304_105,荒川 / basin 105,all_land_use,Me,7,1,1
unit_basin,B_830304_105,荒川 / basin 105,all_land_use,Na,5,1,0
unit_basin,B_830304_105,荒川 / basin 105,all_land_use,Pa,1,1,0
unit_basin,B_830304_105,荒川 / basin 105,all_land_use,Ya,3,1,0
unit_basin,B_830304_11,荒川 / basin 11,all_land_use,He,6,5,0
