output_type,output_name,path,exists,note
csv,sequence_dominant_subcluster_evaluation.csv,Continuity_results_v3_1/csv/sequence_dominant_subcluster_evaluation.csv,TRUE,ok
csv,sequence_dominant_subcluster.csv,Continuity_results_v3_1/csv/sequence_dominant_subcluster.csv,TRUE,ok
csv,place_sequence_cluster.csv,Continuity_results_v3_1/csv/place_sequence_cluster.csv,TRUE,ok
csv,cluster_phase_profile.csv,Continuity_results_v3_1/csv/cluster_phase_profile.csv,TRUE,ok
csv,sequence_cluster_summary.csv,Continuity_results_v3_1/csv/sequence_cluster_summary.csv,TRUE,ok
csv,phase_presence_summary.csv,Continuity_results_v3_1/csv/phase_presence_summary.csv,TRUE,ok
csv,place_phase_transition_long.csv,Continuity_results_v3_1/csv/place_phase_transition_long.csv,TRUE,ok
csv,active_transition_summary.csv,Continuity_results_v3_1/csv/active_transition_summary.csv,TRUE,ok
csv,markov_transition_by_phase.csv,Continuity_results_v3_1/csv/markov_transition_by_phase.csv,TRUE,ok
csv,markov_transition_overall.csv,Continuity_results_v3_1/csv/markov_transition_overall.csv,TRUE,ok
csv,change_point_candidates.csv,Continuity_results_v3_1/csv/change_point_candidates.csv,TRUE,ok
csv,change_point_best.csv,Continuity_results_v3_1/csv/change_point_best.csv,TRUE,ok
csv,phase_presence_by_landscape.csv,Continuity_results_v3_1/csv/phase_presence_by_landscape.csv,TRUE,ok
csv,active_transition_by_landscape.csv,Continuity_results_v3_1/csv/active_transition_by_landscape.csv,TRUE,ok
csv,landscape_change_point_candidates.csv,Continuity_results_v3_1/csv/landscape_change_point_candidates.csv,TRUE,ok
csv,landscape_change_point_best.csv,Continuity_results_v3_1/csv/landscape_change_point_best.csv,TRUE,ok
csv,coordinate_group_summary.csv,Continuity_results_v3_1/csv/coordinate_group_summary.csv,TRUE,ok
csv,spatial_neighbor_diagnostics.csv,Continuity_results_v3_1/csv/spatial_neighbor_diagnostics.csv,TRUE,ok
csv,spatial_neighbor_edges.csv,Continuity_results_v3_1/csv/spatial_neighbor_edges.csv,TRUE,ok
csv,spatial_global_moran_knn_sensitivity.csv,Continuity_results_v3_1/csv/spatial_global_moran_knn_sensitivity.csv,TRUE,ok
csv,spatial_transition_universe_summary.csv,Continuity_results_v3_1/csv/spatial_transition_universe_summary.csv,TRUE,ok
csv,spatial_transition_neighbor_diagnostics.csv,Continuity_results_v3_1/csv/spatial_transition_neighbor_diagnostics.csv,TRUE,ok
csv,spatial_transition_neighbor_edges.csv,Continuity_results_v3_1/csv/spatial_transition_neighbor_edges.csv,TRUE,ok
csv,spatial_transition_global_moran_knn_sensitivity.csv,Continuity_results_v3_1/csv/spatial_transition_global_moran_knn_sensitivity.csv,TRUE,ok
csv,continuity_weight_spatial_robustness.csv,Continuity_results_v3_1/csv/continuity_weight_spatial_robustness.csv,TRUE,ok
csv,fixed_distance_neighbor_diagnostics.csv,Continuity_results_v3_1/csv/fixed_distance_neighbor_diagnostics.csv,TRUE,ok
csv,fixed_distance_global_moran.csv,Continuity_results_v3_1/csv/fixed_distance_global_moran.csv,TRUE,ok
csv,fixed_distance_transition_global_moran.csv,Continuity_results_v3_1/csv/fixed_distance_transition_global_moran.csv,TRUE,ok
csv,spatial_local_moran_knn_sensitivity.csv,Continuity_results_v3_1/csv/spatial_local_moran_knn_sensitivity.csv,TRUE,ok
csv,spatial_transition_local_binary.csv,Continuity_results_v3_1/csv/spatial_transition_local_binary.csv,TRUE,ok
csv,spatial_coordinate_aggregation_sensitivity.csv,Continuity_results_v3_1/csv/spatial_coordinate_aggregation_sensitivity.csv,TRUE,ok
csv,spatial_coordinate_aggregation_local_summary.csv,Continuity_results_v3_1/csv/spatial_coordinate_aggregation_local_summary.csv,TRUE,ok
csv,analysis_metadata.csv,Continuity_results_v3_1/csv/analysis_metadata.csv,TRUE,ok
csv,analysis_parameters.csv,Continuity_results_v3_1/csv/analysis_parameters.csv,TRUE,ok
csv,input_provenance.csv,Continuity_results_v3_1/csv/input_provenance.csv,TRUE,ok
figure,figure_phase_presence_count.png,Continuity_results_v3_1/figure/figure_phase_presence_count.png,TRUE,ok
figure,figure_sequence_class_count.png,Continuity_results_v3_1/figure/figure_sequence_class_count.png,TRUE,ok
figure,figure_continuity_index_histogram.png,Continuity_results_v3_1/figure/figure_continuity_index_histogram.png,TRUE,ok
figure,figure_active_transition_composition.png,Continuity_results_v3_1/figure/figure_active_transition_composition.png,TRUE,ok
figure,figure_markov_conditional_probability.png,Continuity_results_v3_1/figure/figure_markov_conditional_probability.png,TRUE,ok
figure,figure_continuity_weight_robustness.png,Continuity_results_v3_1/figure/figure_continuity_weight_robustness.png,TRUE,ok
figure,figure_change_point_scores.png,Continuity_results_v3_1/figure/figure_change_point_scores.png,TRUE,ok
figure,figure_spatial_knn_edge_distance.png,Continuity_results_v3_1/figure/figure_spatial_knn_edge_distance.png,TRUE,ok
figure,figure_sequence_heatmap.png,Continuity_results_v3_1/figure/figure_sequence_heatmap.png,TRUE,ok
figure,figure_cluster_phase_profile.png,Continuity_results_v3_1/figure/figure_cluster_phase_profile.png,TRUE,ok
figure,figure_run_gap_timeline.png,Continuity_results_v3_1/figure/figure_run_gap_timeline.png,TRUE,ok
figure,figure_sequence_cluster_k_evaluation.png,Continuity_results_v3_1/figure/figure_sequence_cluster_k_evaluation.png,TRUE,ok
gpkg_layer,chronology_place_continuity,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_layer,chronology_place_phase_presence,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_layer,chronology_phase_transition,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_layer,chronology_run_events,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_layer,chronology_gap_events,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_layer,coordinate_groups,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_layer,spatial_knn_edges_k8,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_layer,spatial_transition_knn_edges_k8,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_layer,spatial_local_moran_k8,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_layer,spatial_transition_local_k8,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_attribute_table,analysis_metadata,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_attribute_table,analysis_parameters,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_attribute_table,input_provenance,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
gpkg_attribute_table,spatial_model_diagnostics,Continuity_results_v3_1/gpkg/Continuity.gpkg,TRUE,ok
