scheme,phase_code,phase_order,group_id,group_label,presence_count,phase_known_geo_total,phase_share,baseline_place_count,baseline_total,baseline_share,phase_share_minus_baseline,relative_concentration_ratio,interpretation_class,selection_inference_allowed
watersystem,Me,7,WS_140013,140013 / 境川,45,1023,0.04398826979472141,263,5479,0.048001460120459936,-0.004013190325738526,0.9163944114269149,similar_to_archaeological_sample,FALSE
watersystem,Me,7,WS_830303,830303 / 利根川,26,1023,0.02541544477028348,54,5479,0.009855813104581128,0.015559631665702353,2.5787263314145035,higher_than_archaeological_sample,FALSE
watersystem,Me,7,WS_130000,130000 / 名称不明,23,1023,0.022482893450635387,168,5479,0.03066252965869684,-0.008179636208061454,0.7332367453335196,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_18,多摩川 / basin 18,59,694,0.08501440922190202,125,5479,0.02281438218653039,0.062200027035371634,3.7263515850144096,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_unknown_0,古川・目黒川・立会川・呑川 / basin 0,39,694,0.056195965417867436,424,5479,0.07738638437671108,-0.021190418958843646,0.7261738078407917,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_47,荒川 / basin 47,38,694,0.05475504322766571,63,5479,0.011498448622011315,0.0432565946056544,4.7619505054663565,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_30,多摩川 / basin 30,30,694,0.043227665706051875,234,5479,0.04270852345318489,5.191422528669845e-4,1.0121554718096504,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_67,荒川 / basin 67,29,694,0.04178674351585014,72,5479,0.013141084139441504,0.028645659376408637,3.1798551072686516,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_22,多摩川 / basin 22,27,694,0.03890489913544669,239,5479,0.043621098740646104,-0.004716199605199416,0.891882604029759,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_52,荒川 / basin 52,23,694,0.03314121037463977,80,5479,0.014601204599379448,0.01854000577526032,2.269758645533141,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_23,多摩川 / basin 23,23,694,0.03314121037463977,215,5479,0.03924073736083227,-0.006099526986192504,0.8445613564774478,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_28,多摩川 / basin 28,22,694,0.03170028818443804,216,5479,0.03942325241832451,-0.0077229642338864715,0.8041012914932223,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_140013_17,境川 / basin 17,21,694,0.03025936599423631,240,5479,0.043803613798138345,-0.013544247803902034,0.6907961095100865,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_70,荒川 / basin 70,20,694,0.02881844380403458,60,5479,0.010950903449534586,0.017867540354499993,2.6316042267050914,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_80,荒川 / basin 80,20,694,0.02881844380403458,68,5479,0.012411023909472532,0.01640741989456205,2.3220037294456684,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_61,荒川 / basin 61,19,694,0.027377521613832854,42,5479,0.00766563241467421,0.019711889199158644,3.571462879099767,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_57,荒川 / basin 57,15,694,0.021613832853025938,64,5479,0.011680963679503558,0.00993286917352238,1.8503467219020175,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_86,荒川 / basin 86,15,694,0.021613832853025938,110,5479,0.020076656324146742,0.0015371765288791951,1.0765653654702647,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830306_20,鶴見川 / basin 20,15,694,0.021613832853025938,362,5479,0.06607045081219201,-0.04445661795916607,0.327133122104224,lower_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_14,多摩川 / basin 14,14,694,0.020172910662824207,54,5479,0.009855813104581128,0.01031709755824308,2.0468032874372932,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_17,多摩川 / basin 17,14,694,0.020172910662824207,110,5479,0.020076656324146742,9.625433867746502e-5,1.0047943411055802,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_40,多摩川 / basin 40,13,694,0.018731988472622477,63,5479,0.011498448622011315,0.007233539850611162,1.6290883308174375,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_26,荒川 / basin 26,11,694,0.01585014409221902,42,5479,0.00766563241467421,0.00818451167754481,2.067689035268286,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830304_54,荒川 / basin 54,11,694,0.01585014409221902,69,5479,0.012593538966964775,0.0032566051252542454,1.2585933258154784,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_10,多摩川 / basin 10,10,694,0.01440922190201729,64,5479,0.011680963679503558,0.002728258222513732,1.2335644812680115,similar_to_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_34,多摩川 / basin 34,10,694,0.01440922190201729,45,5479,0.00821317758715094,0.006196044314866351,1.7544028178033944,higher_than_archaeological_sample,FALSE
unit_basin,Pa,1,B_830305_35,多摩川 / basin 35,9,694,0.012968299711815562,76,5479,0.013871144369410476,-9.028446575949142e-4,0.9349120279083877,similar_to_archaeological_sample,FALSE
