group_id,group_label,total_presence_records,mean_presence_count,sd_presence_count,max_presence_count,peak_phase,peak_phase_count,mean_phase_share,max_phase_share,active_phase_count,run_count,longest_run_length,gap_count,gap_phase_count,first_active_phase_order,last_active_phase_order,trajectory_class,interpretation_status
B_130000_4_LF_CLASS::台地・段丘,名称不明 / basin 4 / 台地・段丘,69,9.857142857142858,10.286375640113665,33,Jo,33,0.006249918833295707,0.01088646967340591,7,1,7,0,0,1,7,continuous_5_7phase,eligible
B_130000_4_LF_CLASS::山地斜面等,名称不明 / basin 4 / 山地斜面等,7,1,1.1547005383792515,3,Jo,3,9.119166384089186e-4,0.003110419906687403,4,2,3,1,3,1,7,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::後背低地・湿地,名称不明 / basin 4 / 後背低地・湿地,16,2.2857142857142856,0.7559289460184545,3,Jo,3,0.001845899840513034,0.004665629860031105,7,1,7,0,0,1,7,continuous_5_7phase,low_n_descriptive_only
B_130000_4_LF_CLASS::氾濫平野・海岸平野,名称不明 / basin 4 / 氾濫平野・海岸平野,5,0.7142857142857143,0.7559289460184544,2,Jo,2,5.317766930669091e-4,0.0015552099533437014,4,2,3,1,2,2,7,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::台地・段丘,名称不明 / basin 5 / 台地・段丘,136,19.428571428571427,9.235026490796562,30,Jo,30,0.013249440068891416,0.024883359253499222,7,1,7,0,0,1,7,continuous_5_7phase,eligible
B_130000_5_LF_CLASS::山地斜面等,名称不明 / basin 5 / 山地斜面等,7,1,0.5773502691896257,2,Ya,2,9.30359473378143e-4,0.003110419906687403,6,1,6,0,0,1,6,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::崖・段丘崖,名称不明 / basin 5 / 崖・段丘崖,10,1.4285714285714286,1.511857892036909,4,Ya,4,0.0013018532593488156,0.006220839813374806,5,2,3,1,1,2,7,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::後背低地・湿地,名称不明 / basin 5 / 後背低地・湿地,15,2.142857142857143,1.0690449676496974,3,Jo,3,0.0014814598885825587,0.003110419906687403,6,1,6,0,0,2,7,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::水部,名称不明 / basin 5 / 水部,3,0.42857142857142855,0.5345224838248487,1,Jo,1,1.914160362862488e-4,5.959475566150178e-4,3,2,2,1,2,2,6,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::氾濫平野・海岸平野,名称不明 / basin 5 / 氾濫平野・海岸平野,6,0.8571428571428571,0.690065559342354,2,Jo,2,5.962493063132991e-4,0.0015552099533437014,5,2,3,1,1,2,7,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::台地・段丘,名称不明 / basin 6 / 台地・段丘,15,2.142857142857143,3.338091841585121,9,Jo,9,8.555313348556895e-4,0.0024623803009575923,4,2,3,1,1,2,6,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::山地斜面等,名称不明 / basin 6 / 山地斜面等,14,2,2.449489742783178,7,Jo,7,9.8137759014324e-4,0.0019151846785225718,5,2,3,1,1,1,6,intermittent_gap1,low_n_descriptive_only
B_130000_6_LF_CLASS::氾濫平野・海岸平野,名称不明 / basin 6 / 氾濫平野・海岸平野,3,0.42857142857142855,0.5345224838248487,1,Ko,1,2.401886561211046e-4,6.150061500615006e-4,3,1,3,0,0,4,6,continuous_3_4phase,low_n_descriptive_only
B_140013_16_LF_CLASS::台地・段丘,境川 / basin 16 / 台地・段丘,1,0.14285714285714285,0.3779644730092272,1,Me,1,1.4357501794687728e-4,0.0010050251256281408,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_140013_17_LF_CLASS::台地・段丘,境川 / basin 17 / 台地・段丘,128,18.285714285714285,13.437686875776969,34,Jo,34,0.010553665847279237,0.018474374255065554,7,1,7,0,0,1,7,continuous_5_7phase,eligible
B_140013_17_LF_CLASS::山地斜面等,境川 / basin 17 / 山地斜面等,446,63.714285714285715,49.185750937015236,124,Jo,124,0.036020037048031583,0.06138259833134684,7,1,7,0,0,1,7,continuous_5_7phase,eligible
B_140013_17_LF_CLASS::山麓堆積地形,境川 / basin 17 / 山麓堆積地形,3,0.42857142857142855,0.5345224838248487,1,Ko,1,2.401886561211046e-4,6.150061500615006e-4,3,1,3,0,0,4,6,continuous_3_4phase,low_n_descriptive_only
B_140013_17_LF_CLASS::崖・段丘崖,境川 / basin 17 / 崖・段丘崖,1,0.14285714285714285,0.3779644730092272,1,Ko,1,8.785802143735723e-5,6.150061500615006e-4,1,1,1,0,0,4,4,single_phase,low_n_descriptive_only
B_140013_17_LF_CLASS::水部,境川 / basin 17 / 水部,1,0.14285714285714285,0.37796447300922725,1,Jo,1,3.908540160250146e-5,2.7359781121751026e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_140013_17_LF_CLASS::氾濫平野・海岸平野,境川 / basin 17 / 氾濫平野・海岸平野,107,15.285714285714286,14.056010407346339,31,Na,31,0.00794545734683439,0.018474374255065554,6,2,4,1,1,1,7,intermittent_gap1,eligible
B_140013_19_LF_CLASS::台地・段丘,境川 / basin 19 / 台地・段丘,4,0.5714285714285714,0.5345224838248488,1,Jo,1,2.7927405772360604e-4,6.150061500615006e-4,4,2,3,1,1,2,6,intermittent_gap1,low_n_descriptive_only
B_140013_19_LF_CLASS::山地斜面等,境川 / basin 19 / 山地斜面等,35,5,5.163977794943222,14,Jo,14,0.002774367173587917,0.004703668861712135,6,2,3,1,1,1,7,intermittent_gap1,eligible
B_140013_19_LF_CLASS::氾濫平野・海岸平野,境川 / basin 19 / 氾濫平野・海岸平野,11,1.5714285714285714,1.1338934190276817,3,Na,3,9.88768597118151e-4,0.0017878426698450535,6,1,6,0,0,2,7,continuous_5_7phase,low_n_descriptive_only
B_830303_345_LF_CLASS::自然堤防,利根川 / basin 345 / 自然堤防,5,0.7142857142857143,0.48795003647426666,1,Ya,1,6.059365245456535e-4,0.0015552099533437014,5,1,5,0,0,3,7,continuous_5_7phase,low_n_descriptive_only
B_830303_347_LF_CLASS::水部,利根川 / basin 347 / 水部,1,0.14285714285714285,0.3779644730092272,1,Ko,1,8.785802143735723e-5,6.150061500615006e-4,1,1,1,0,0,4,4,single_phase,low_n_descriptive_only
B_830303_347_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 347 / 氾濫平野・海岸平野,1,0.14285714285714285,0.3779644730092272,1,Ko,1,8.785802143735723e-5,6.150061500615006e-4,1,1,1,0,0,4,4,single_phase,low_n_descriptive_only
B_830303_347_LF_CLASS::自然堤防,利根川 / basin 347 / 自然堤防,19,2.7142857142857144,2.3603873774083297,5,Na,5,0.001965275177942866,0.005025125628140704,5,1,5,0,0,3,7,continuous_5_7phase,low_n_descriptive_only
B_830303_388_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 388 / 氾濫平野・海岸平野,1,0.14285714285714285,0.37796447300922725,1,Ya,1,2.221728504776716e-4,0.0015552099533437014,1,1,1,0,0,3,3,single_phase,low_n_descriptive_only
B_830303_389_LF_CLASS::自然堤防,利根川 / basin 389 / 自然堤防,4,0.5714285714285714,0.5345224838248488,1,Ya,1,4.623615065987762e-4,0.0015552099533437014,4,1,4,0,0,3,6,continuous_3_4phase,low_n_descriptive_only
B_830303_390_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 390 / 氾濫平野・海岸平野,1,0.14285714285714285,0.37796447300922725,1,Jo,1,3.908540160250146e-5,2.7359781121751026e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830303_390_LF_CLASS::自然堤防,利根川 / basin 390 / 自然堤防,1,0.14285714285714285,0.3779644730092272,1,Ko,1,8.785802143735723e-5,6.150061500615006e-4,1,1,1,0,0,4,4,single_phase,low_n_descriptive_only
B_830303_393_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 393 / 氾濫平野・海岸平野,5,0.7142857142857143,0.48795003647426666,1,Ya,1,6.059365245456535e-4,0.0015552099533437014,5,1,5,0,0,3,7,continuous_5_7phase,low_n_descriptive_only
B_830303_393_LF_CLASS::自然堤防,利根川 / basin 393 / 自然堤防,6,0.8571428571428571,0.6900655593423541,2,Na,2,6.910718897763703e-4,0.0015552099533437014,5,1,5,0,0,3,7,continuous_5_7phase,low_n_descriptive_only
B_830303_425_LF_CLASS::自然堤防,利根川 / basin 425 / 自然堤防,1,0.14285714285714285,0.3779644730092272,1,Me,1,1.4357501794687728e-4,0.0010050251256281408,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_830303_426_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 426 / 氾濫平野・海岸平野,2,0.2857142857142857,0.7559289460184544,2,Me,2,2.8715003589375456e-4,0.0020100502512562816,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_830303_426_LF_CLASS::自然堤防,利根川 / basin 426 / 自然堤防,1,0.14285714285714285,0.3779644730092272,1,Me,1,1.4357501794687728e-4,0.0010050251256281408,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_830303_427_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 427 / 氾濫平野・海岸平野,9,1.2857142857142858,1.2535663410560174,3,Me,3,9.111023660828409e-4,0.003015075376884422,4,1,4,0,0,4,7,continuous_3_4phase,low_n_descriptive_only
B_830303_427_LF_CLASS::自然堤防,利根川 / basin 427 / 自然堤防,11,1.5714285714285714,1.8126539343499317,5,Ko,5,0.0010311014124480353,0.003075030750307503,4,1,4,0,0,4,7,continuous_3_4phase,low_n_descriptive_only
B_830303_432_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 432 / 氾濫平野・海岸平野,1,0.14285714285714285,0.3779644730092272,1,Me,1,1.4357501794687728e-4,0.0010050251256281408,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_830303_432_LF_CLASS::自然堤防,利根川 / basin 432 / 自然堤防,1,0.14285714285714285,0.3779644730092272,1,Me,1,1.4357501794687728e-4,0.0010050251256281408,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_830303_470_LF_CLASS::砂州・砂丘,利根川 / basin 470 / 砂州・砂丘,1,0.14285714285714285,0.3779644730092272,1,Me,1,1.4357501794687728e-4,0.0010050251256281408,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_830303_478_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 478 / 氾濫平野・海岸平野,11,1.5714285714285714,2.439750182371333,7,Ko,7,0.001028595036825421,0.004305043050430504,5,1,5,0,0,2,6,continuous_5_7phase,low_n_descriptive_only
B_830303_478_LF_CLASS::自然堤防,利根川 / basin 478 / 自然堤防,6,0.8571428571428571,1.0690449676496974,2,Ko,2,4.803773122422092e-4,0.0012300123001230013,3,1,3,0,0,4,6,continuous_3_4phase,low_n_descriptive_only
B_830303_517_LF_CLASS::旧河道,利根川 / basin 517 / 旧河道,10,1.4285714285714286,1.8126539343499315,5,Ko,5,8.875263945011581e-4,0.003075030750307503,4,1,4,0,0,4,7,continuous_3_4phase,low_n_descriptive_only
B_830303_517_LF_CLASS::氾濫平野・海岸平野,利根川 / basin 517 / 氾濫平野・海岸平野,5,0.7142857142857143,0.48795003647426666,1,Jo,1,4.228490756704833e-4,0.0010050251256281408,5,2,4,1,1,2,7,intermittent_gap1,low_n_descriptive_only
B_830303_517_LF_CLASS::自然堤防,利根川 / basin 517 / 自然堤防,8,1.1428571428571428,1.2149857925879117,3,Me,3,8.439070966298104e-4,0.003015075376884422,4,1,4,0,0,4,7,continuous_3_4phase,low_n_descriptive_only
B_830304_105_LF_CLASS::台地・段丘,荒川 / basin 105 / 台地・段丘,1,0.14285714285714285,0.3779644730092272,1,Me,1,1.4357501794687728e-4,0.0010050251256281408,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_830304_11_LF_CLASS::水部,荒川 / basin 11 / 水部,1,0.14285714285714285,0.3779644730092272,1,Ko,1,8.785802143735723e-5,6.150061500615006e-4,1,1,1,0,0,4,4,single_phase,low_n_descriptive_only
B_830304_11_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 11 / 氾濫平野・海岸平野,1,0.14285714285714285,0.3779644730092272,1,Me,1,1.4357501794687728e-4,0.0010050251256281408,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_830304_11_LF_CLASS::自然堤防,荒川 / basin 11 / 自然堤防,2,0.2857142857142857,0.7559289460184544,2,Me,2,2.8715003589375456e-4,0.0020100502512562816,1,1,1,0,0,7,7,single_phase,low_n_descriptive_only
B_830304_120_LF_CLASS::台地・段丘,荒川 / basin 120 / 台地・段丘,85,12.142857142857142,6.175990377490653,18,Jo,18,0.007827811560994588,0.010131108462455305,7,1,7,0,0,1,7,continuous_5_7phase,eligible
B_830304_120_LF_CLASS::山地斜面等,荒川 / basin 120 / 山地斜面等,41,5.857142857142857,5.5805785670356025,16,Jo,16,0.0032811764222913414,0.009045226130653266,6,2,4,1,1,1,7,intermittent_gap1,eligible
B_830304_120_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 120 / 氾濫平野・海岸平野,26,3.7142857142857144,2.870208222079931,8,Jo,8,0.0020808844603434286,0.003110419906687403,6,1,6,0,0,2,7,continuous_5_7phase,eligible
B_830304_139_LF_CLASS::台地・段丘,荒川 / basin 139 / 台地・段丘,6,0.8571428571428571,2.267786838055363,6,Jo,6,2.3451240961500878e-4,0.0016415868673050615,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_139_LF_CLASS::山地斜面等,荒川 / basin 139 / 山地斜面等,3,0.42857142857142855,1.1338934190276815,3,Jo,3,1.1725620480750439e-4,8.207934336525308e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_139_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 139 / 氾濫平野・海岸平野,2,0.2857142857142857,0.7559289460184545,2,Jo,2,7.817080320500292e-5,5.471956224350205e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_14_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 14 / 氾濫平野・海岸平野,1,0.14285714285714285,0.37796447300922725,1,Jo,1,3.908540160250146e-5,2.7359781121751026e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_158_LF_CLASS::台地・段丘,荒川 / basin 158 / 台地・段丘,2,0.2857142857142857,0.7559289460184545,2,Jo,2,7.817080320500292e-5,5.471956224350205e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_15_LF_CLASS::台地・段丘,荒川 / basin 15 / 台地・段丘,12,1.7142857142857142,0.48795003647426666,2,Jo,2,0.0013532085490486263,0.003110419906687403,7,1,7,0,0,1,7,continuous_5_7phase,low_n_descriptive_only
B_830304_15_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 15 / 氾濫平野・海岸平野,3,0.42857142857142855,0.5345224838248487,1,Na,1,2.9590565263062457e-4,0.0010050251256281408,3,1,3,0,0,5,7,continuous_3_4phase,low_n_descriptive_only
B_830304_15_LF_CLASS::砂州・砂丘,荒川 / basin 15 / 砂州・砂丘,7,1,0.5773502691896257,2,Jo,2,6.841073277506564e-4,0.0015552099533437014,6,1,6,0,0,2,7,continuous_5_7phase,low_n_descriptive_only
B_830304_15_LF_CLASS::自然堤防,荒川 / basin 15 / 自然堤防,5,0.7142857142857143,0.48795003647426666,1,Jo,1,5.571639047107977e-4,0.0015552099533437014,5,2,3,1,1,2,7,intermittent_gap1,low_n_descriptive_only
B_830304_161_LF_CLASS::台地・段丘,荒川 / basin 161 / 台地・段丘,8,1.1428571428571428,1.0690449676496976,3,Jo,3,6.870968415903532e-4,0.001447178002894356,5,2,3,1,2,1,7,intermittent_gap1,low_n_descriptive_only
B_830304_16_LF_CLASS::凹地・浅い谷,荒川 / basin 16 / 凹地・浅い谷,5,0.7142857142857143,0.48795003647426666,1,Jo,1,5.571639047107977e-4,0.0015552099533437014,5,2,3,1,1,2,7,intermittent_gap1,low_n_descriptive_only
B_830304_16_LF_CLASS::台地・段丘,荒川 / basin 16 / 台地・段丘,19,2.7142857142857144,1.4960264830861911,5,Ko,5,0.0020022616322740894,0.004665629860031105,7,1,7,0,0,1,7,continuous_5_7phase,low_n_descriptive_only
B_830304_16_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 16 / 氾濫平野・海岸平野,7,1,0.5773502691896257,2,He,2,7.122171956011854e-4,0.0015552099533437014,6,1,6,0,0,2,7,continuous_5_7phase,low_n_descriptive_only
B_830304_16_LF_CLASS::自然堤防,荒川 / basin 16 / 自然堤防,8,1.1428571428571428,0.8997354108424372,2,Ko,2,8.46125180666758e-4,0.0015552099533437014,5,1,5,0,0,3,7,continuous_5_7phase,low_n_descriptive_only
B_830304_194_LF_CLASS::台地・段丘,荒川 / basin 194 / 台地・段丘,1,0.14285714285714285,0.37796447300922725,1,Jo,1,3.908540160250146e-5,2.7359781121751026e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_194_LF_CLASS::山地斜面等,荒川 / basin 194 / 山地斜面等,1,0.14285714285714285,0.37796447300922725,1,Jo,1,3.908540160250146e-5,2.7359781121751026e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_25_LF_CLASS::台地・段丘,荒川 / basin 25 / 台地・段丘,29,4.142857142857143,2.193062655175134,7,Ko,7,0.0027715800351212094,0.004665629860031105,7,1,7,0,0,1,7,continuous_5_7phase,eligible
B_830304_25_LF_CLASS::崖・段丘崖,荒川 / basin 25 / 崖・段丘崖,1,0.14285714285714285,0.37796447300922725,1,Jo,1,3.908540160250146e-5,2.7359781121751026e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_25_LF_CLASS::旧水部,荒川 / basin 25 / 旧水部,1,0.14285714285714285,0.3779644730092272,1,Ko,1,8.785802143735723e-5,6.150061500615006e-4,1,1,1,0,0,4,4,single_phase,low_n_descriptive_only
B_830304_25_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 25 / 氾濫平野・海岸平野,19,2.7142857142857144,2.4299715851758235,6,Me,6,0.0018585674775615428,0.006030150753768844,5,2,4,1,1,2,7,intermittent_gap1,low_n_descriptive_only
B_830304_25_LF_CLASS::砂州・砂丘,荒川 / basin 25 / 砂州・砂丘,40,5.714285714285714,4.3094580368566735,11,Na,11,0.0037136951450268325,0.006555423122765197,6,1,6,0,0,2,7,continuous_5_7phase,eligible
B_830304_26_LF_CLASS::台地・段丘,荒川 / basin 26 / 台地・段丘,65,9.285714285714286,5.992058236095666,20,Jo,20,0.007232504278790359,0.015552099533437015,7,1,7,0,0,1,7,continuous_5_7phase,eligible
B_830304_26_LF_CLASS::山地斜面等,荒川 / basin 26 / 山地斜面等,13,1.8571428571428572,1.5735915849388864,4,Jo,4,0.0015671089210065104,0.004665629860031105,5,2,4,1,1,1,6,intermittent_gap1,low_n_descriptive_only
B_830304_26_LF_CLASS::崖・段丘崖,荒川 / basin 26 / 崖・段丘崖,2,0.2857142857142857,0.48795003647426666,1,Jo,1,1.269434230398587e-4,6.150061500615006e-4,2,2,1,1,1,2,4,intermittent_gap1,low_n_descriptive_only
B_830304_26_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 26 / 氾濫平野・海岸平野,9,1.2857142857142858,0.4879500364742666,2,Jo,2,0.0011130198929275217,0.003110419906687403,7,1,7,0,0,1,7,continuous_5_7phase,low_n_descriptive_only
B_830304_27_LF_CLASS::台地・段丘,荒川 / basin 27 / 台地・段丘,51,7.285714285714286,2.563479777846623,11,Ko,11,0.0054933208116314065,0.01088646967340591,7,1,7,0,0,1,7,continuous_5_7phase,eligible
B_830304_27_LF_CLASS::崖・段丘崖,荒川 / basin 27 / 崖・段丘崖,2,0.2857142857142857,0.48795003647426666,1,Ko,1,1.7299338666807408e-4,6.150061500615006e-4,2,1,2,0,0,4,5,continuous_2phase,low_n_descriptive_only
B_830304_27_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 27 / 氾濫平野・海岸平野,2,0.2857142857142857,0.48795003647426666,1,Jo,1,2.6125825208017314e-4,0.0015552099533437014,2,1,2,0,0,2,3,continuous_2phase,low_n_descriptive_only
B_830304_27_LF_CLASS::砂州・砂丘,荒川 / basin 27 / 砂州・砂丘,11,1.5714285714285714,0.9759000729485332,3,Ko,3,0.001088533753802965,0.0020100502512562816,6,1,6,0,0,2,7,continuous_5_7phase,low_n_descriptive_only
B_830304_27_LF_CLASS::自然堤防,荒川 / basin 27 / 自然堤防,4,0.5714285714285714,0.7867957924694431,2,Ya,2,6.55115988355251e-4,0.003110419906687403,3,2,2,1,2,3,7,intermittent_gap1,low_n_descriptive_only
B_830304_36_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 36 / 氾濫平野・海岸平野,7,1,0.5773502691896257,2,Me,2,7.885969440950322e-4,0.0020100502512562816,6,1,6,0,0,2,7,continuous_5_7phase,low_n_descriptive_only
B_830304_37_LF_CLASS::台地・段丘,荒川 / basin 37 / 台地・段丘,33,4.714285714285714,4.572172558506722,14,Jo,14,0.003520579581072849,0.007776049766718507,6,2,5,1,1,1,7,intermittent_gap1,eligible
B_830304_37_LF_CLASS::山地斜面等,荒川 / basin 37 / 山地斜面等,4,0.5714285714285714,0.7867957924694431,2,Jo,2,2.889410906049107e-4,0.0010050251256281408,3,2,2,1,3,2,7,intermittent_gap1,low_n_descriptive_only
B_830304_37_LF_CLASS::水部,荒川 / basin 37 / 水部,1,0.14285714285714285,0.37796447300922725,1,Jo,1,3.908540160250146e-5,2.7359781121751026e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_37_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 37 / 氾濫平野・海岸平野,10,1.4285714285714286,1.3972762620115438,4,Jo,4,9.287339849238109e-4,0.003110419906687403,5,1,5,0,0,2,6,continuous_5_7phase,low_n_descriptive_only
B_830304_37_LF_CLASS::砂州・砂丘,荒川 / basin 37 / 砂州・砂丘,1,0.14285714285714285,0.37796447300922725,1,Jo,1,3.908540160250146e-5,2.7359781121751026e-4,1,1,1,0,0,2,2,single_phase,low_n_descriptive_only
B_830304_38_LF_CLASS::台地・段丘,荒川 / basin 38 / 台地・段丘,23,3.2857142857142856,3.352326839390103,9,Jo,9,0.0027109749001399384,0.01088646967340591,6,2,4,1,1,1,7,intermittent_gap1,eligible
B_830304_38_LF_CLASS::山地斜面等,荒川 / basin 38 / 山地斜面等,5,0.7142857142857143,0.4879500364742666,1,Jo,1,5.014469082012776e-4,0.0015552099533437014,5,1,5,0,0,2,6,continuous_5_7phase,low_n_descriptive_only
B_830304_38_LF_CLASS::崖・段丘崖,荒川 / basin 38 / 崖・段丘崖,2,0.2857142857142857,0.48795003647426666,1,Jo,1,2.6125825208017314e-4,0.0015552099533437014,2,1,2,0,0,2,3,continuous_2phase,low_n_descriptive_only
B_830304_38_LF_CLASS::後背低地・湿地,荒川 / basin 38 / 後背低地・湿地,4,0.5714285714285714,0.5345224838248488,1,Jo,1,2.7927405772360604e-4,6.150061500615006e-4,4,2,3,1,1,2,6,intermittent_gap1,low_n_descriptive_only
B_830304_38_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 38 / 氾濫平野・海岸平野,5,0.7142857142857143,0.7559289460184545,2,Me,2,4.785660721800033e-4,0.0020100502512562816,4,2,3,1,2,2,7,intermittent_gap1,low_n_descriptive_only
B_830304_38_LF_CLASS::砂州・砂丘,荒川 / basin 38 / 砂州・砂丘,5,0.7142857142857143,1.1126972805283735,3,Me,3,5.576684768804905e-4,0.003015075376884422,3,3,1,2,3,2,7,intermittent_gap2plus,low_n_descriptive_only
B_830304_39_LF_CLASS::台地・段丘,荒川 / basin 39 / 台地・段丘,24,3.4285714285714284,3.1547394428670255,10,Jo,10,0.0021580447336635666,0.004341534008683068,6,1,6,0,0,1,6,continuous_5_7phase,eligible
B_830304_39_LF_CLASS::山地斜面等,荒川 / basin 39 / 山地斜面等,6,0.8571428571428571,1.0690449676496974,3,Jo,3,4.7632655419044544e-4,0.001447178002894356,4,2,2,1,2,1,6,intermittent_gap1,low_n_descriptive_only
B_830304_39_LF_CLASS::崖・段丘崖,荒川 / basin 39 / 崖・段丘崖,6,0.8571428571428571,0.6900655593423541,2,Jo,2,6.800767550499423e-4,0.0015552099533437014,5,1,5,0,0,1,5,continuous_5_7phase,low_n_descriptive_only
B_830304_39_LF_CLASS::水部,荒川 / basin 39 / 水部,7,1,0,1,Pa,1,8.517616408473486e-4,0.0015552099533437014,7,1,7,0,0,1,7,continuous_5_7phase,low_n_descriptive_only
B_830304_39_LF_CLASS::氾濫平野・海岸平野,荒川 / basin 39 / 氾濫平野・海岸平野,2,0.2857142857142857,0.4879500364742666,1,Jo,1,1.8266041954937873e-4,0.0010050251256281408,2,2,1,1,4,2,7,intermittent_gap1,low_n_descriptive_only
