scheme,group_id,group_label,baseline_place_count,baseline_total,baseline_share
unit_basin,B_830305_45,多摩川 / basin 45,1,5479,1.825150574922431e-4
unit_basin,B_830305_46,多摩川 / basin 46,80,5479,0.014601204599379448
unit_basin,B_830305_47,多摩川 / basin 47,1,5479,1.825150574922431e-4
unit_basin,B_830305_48,多摩川 / basin 48,25,5479,0.004562876437306078
unit_basin,B_830305_49,多摩川 / basin 49,10,5479,0.001825150574922431
unit_basin,B_830305_5,多摩川 / basin 5,20,5479,0.003650301149844862
unit_basin,B_830305_50,多摩川 / basin 50,16,5479,0.0029202409198758896
unit_basin,B_830305_51,多摩川 / basin 51,9,5479,0.001642635517430188
unit_basin,B_830305_52,多摩川 / basin 52,11,5479,0.002007665632414674
unit_basin,B_830305_54,多摩川 / basin 54,1,5479,1.825150574922431e-4
unit_basin,B_830305_55,多摩川 / basin 55,5,5479,9.125752874612155e-4
unit_basin,B_830305_56,多摩川 / basin 56,62,5479,0.011315933564519072
unit_basin,B_830305_57,多摩川 / basin 57,2,5479,3.650301149844862e-4
unit_basin,B_830305_58,多摩川 / basin 58,1,5479,1.825150574922431e-4
unit_basin,B_830305_59,多摩川 / basin 59,1,5479,1.825150574922431e-4
unit_basin,B_830305_60,多摩川 / basin 60,1,5479,1.825150574922431e-4
unit_basin,B_830305_62,多摩川 / basin 62,17,5479,0.003102755977368133
unit_basin,B_830305_64,多摩川 / basin 64,1,5479,1.825150574922431e-4
unit_basin,B_830305_66,多摩川 / basin 66,7,5479,0.0012776054024457018
unit_basin,B_830305_67,多摩川 / basin 67,3,5479,5.475451724767294e-4
unit_basin,B_830305_68,多摩川 / basin 68,8,5479,0.0014601204599379448
unit_basin,B_830305_69,多摩川 / basin 69,5,5479,9.125752874612155e-4
unit_basin,B_830305_70,多摩川 / basin 70,7,5479,0.0012776054024457018
unit_basin,B_830305_71,多摩川 / basin 71,1,5479,1.825150574922431e-4
unit_basin,B_830305_72,多摩川 / basin 72,10,5479,0.001825150574922431
unit_basin,B_830305_73,多摩川 / basin 73,7,5479,0.0012776054024457018
unit_basin,B_830305_74,多摩川 / basin 74,2,5479,3.650301149844862e-4
unit_basin,B_830305_75,多摩川 / basin 75,19,5479,0.003467786092352619
unit_basin,B_830305_76,多摩川 / basin 76,3,5479,5.475451724767294e-4
unit_basin,B_830305_77,多摩川 / basin 77,2,5479,3.650301149844862e-4
