group_id,phase_code,group_label,presence_count,phase_share,phase_order,unit_total_presence_records,within_unit_temporal_share,trajectory_class,interpretation_status
B_130000_4_LF_CLASS::後背低地・湿地,Jo,名称不明 / basin 4 / 後背低地・湿地,3,8.207934336525308e-4,2,16,0.1875,continuous_5_7phase,low_n_descriptive_only
B_130000_4_LF_CLASS::後背低地・湿地,Ya,名称不明 / basin 4 / 後背低地・湿地,3,0.004665629860031105,3,16,0.1875,continuous_5_7phase,low_n_descriptive_only
B_130000_4_LF_CLASS::後背低地・湿地,Ko,名称不明 / basin 4 / 後背低地・湿地,3,0.0018450184501845018,4,16,0.1875,continuous_5_7phase,low_n_descriptive_only
B_130000_4_LF_CLASS::後背低地・湿地,Na,名称不明 / basin 4 / 後背低地・湿地,2,0.0011918951132300357,5,16,0.125,continuous_5_7phase,low_n_descriptive_only
B_130000_4_LF_CLASS::後背低地・湿地,He,名称不明 / basin 4 / 後背低地・湿地,2,9.407337723424271e-4,6,16,0.125,continuous_5_7phase,low_n_descriptive_only
B_130000_4_LF_CLASS::後背低地・湿地,Me,名称不明 / basin 4 / 後背低地・湿地,2,0.0020100502512562816,7,16,0.125,continuous_5_7phase,low_n_descriptive_only
B_130000_4_LF_CLASS::氾濫平野・海岸平野,Pa,名称不明 / basin 4 / 氾濫平野・海岸平野,0,0,1,5,0,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::氾濫平野・海岸平野,Jo,名称不明 / basin 4 / 氾濫平野・海岸平野,2,5.471956224350205e-4,2,5,0.4,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::氾濫平野・海岸平野,Ya,名称不明 / basin 4 / 氾濫平野・海岸平野,1,0.0015552099533437014,3,5,0.2,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::氾濫平野・海岸平野,Ko,名称不明 / basin 4 / 氾濫平野・海岸平野,1,6.150061500615006e-4,4,5,0.2,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::氾濫平野・海岸平野,Na,名称不明 / basin 4 / 氾濫平野・海岸平野,0,0,5,5,0,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::氾濫平野・海岸平野,He,名称不明 / basin 4 / 氾濫平野・海岸平野,0,0,6,5,0,intermittent_gap1,low_n_descriptive_only
B_130000_4_LF_CLASS::氾濫平野・海岸平野,Me,名称不明 / basin 4 / 氾濫平野・海岸平野,1,0.0010050251256281408,7,5,0.2,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::台地・段丘,Pa,名称不明 / basin 5 / 台地・段丘,6,0.008683068017366137,1,136,0.04411764705882353,continuous_5_7phase,eligible
B_130000_5_LF_CLASS::台地・段丘,Jo,名称不明 / basin 5 / 台地・段丘,30,0.008207934336525308,2,136,0.22058823529411764,continuous_5_7phase,eligible
B_130000_5_LF_CLASS::台地・段丘,Ya,名称不明 / basin 5 / 台地・段丘,16,0.024883359253499222,3,136,0.11764705882352941,continuous_5_7phase,eligible
B_130000_5_LF_CLASS::台地・段丘,Ko,名称不明 / basin 5 / 台地・段丘,26,0.015990159901599015,4,136,0.19117647058823528,continuous_5_7phase,eligible
B_130000_5_LF_CLASS::台地・段丘,Na,名称不明 / basin 5 / 台地・段丘,23,0.013706793802145411,5,136,0.16911764705882354,continuous_5_7phase,eligible
B_130000_5_LF_CLASS::台地・段丘,He,名称不明 / basin 5 / 台地・段丘,26,0.012229539040451553,6,136,0.19117647058823528,continuous_5_7phase,eligible
B_130000_5_LF_CLASS::台地・段丘,Me,名称不明 / basin 5 / 台地・段丘,9,0.009045226130653266,7,136,0.0661764705882353,continuous_5_7phase,eligible
B_130000_5_LF_CLASS::山地斜面等,Pa,名称不明 / basin 5 / 山地斜面等,1,0.001447178002894356,1,7,0.14285714285714285,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::山地斜面等,Jo,名称不明 / basin 5 / 山地斜面等,1,2.7359781121751026e-4,2,7,0.14285714285714285,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::山地斜面等,Ya,名称不明 / basin 5 / 山地斜面等,2,0.003110419906687403,3,7,0.2857142857142857,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::山地斜面等,Ko,名称不明 / basin 5 / 山地斜面等,1,6.150061500615006e-4,4,7,0.14285714285714285,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::山地斜面等,Na,名称不明 / basin 5 / 山地斜面等,1,5.959475566150178e-4,5,7,0.14285714285714285,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::山地斜面等,He,名称不明 / basin 5 / 山地斜面等,1,4.7036688617121356e-4,6,7,0.14285714285714285,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::山地斜面等,Me,名称不明 / basin 5 / 山地斜面等,0,0,7,7,0,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::崖・段丘崖,Pa,名称不明 / basin 5 / 崖・段丘崖,0,0,1,10,0,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::崖・段丘崖,Jo,名称不明 / basin 5 / 崖・段丘崖,3,8.207934336525308e-4,2,10,0.3,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::崖・段丘崖,Ya,名称不明 / basin 5 / 崖・段丘崖,4,0.006220839813374806,3,10,0.4,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::崖・段丘崖,Ko,名称不明 / basin 5 / 崖・段丘崖,0,0,4,10,0,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::崖・段丘崖,Na,名称不明 / basin 5 / 崖・段丘崖,1,5.959475566150178e-4,5,10,0.1,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::崖・段丘崖,He,名称不明 / basin 5 / 崖・段丘崖,1,4.7036688617121356e-4,6,10,0.1,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::崖・段丘崖,Me,名称不明 / basin 5 / 崖・段丘崖,1,0.0010050251256281408,7,10,0.1,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::後背低地・湿地,Pa,名称不明 / basin 5 / 後背低地・湿地,0,0,1,15,0,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::後背低地・湿地,Jo,名称不明 / basin 5 / 後背低地・湿地,3,8.207934336525308e-4,2,15,0.2,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::後背低地・湿地,Ya,名称不明 / basin 5 / 後背低地・湿地,2,0.003110419906687403,3,15,0.13333333333333333,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::後背低地・湿地,Ko,名称不明 / basin 5 / 後背低地・湿地,2,0.0012300123001230013,4,15,0.13333333333333333,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::後背低地・湿地,Na,名称不明 / basin 5 / 後背低地・湿地,3,0.0017878426698450535,5,15,0.2,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::後背低地・湿地,He,名称不明 / basin 5 / 後背低地・湿地,3,0.0014111006585136407,6,15,0.2,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::後背低地・湿地,Me,名称不明 / basin 5 / 後背低地・湿地,2,0.0020100502512562816,7,15,0.13333333333333333,continuous_5_7phase,low_n_descriptive_only
B_130000_5_LF_CLASS::水部,Pa,名称不明 / basin 5 / 水部,0,0,1,3,0,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::水部,Jo,名称不明 / basin 5 / 水部,1,2.7359781121751026e-4,2,3,0.3333333333333333,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::水部,Ya,名称不明 / basin 5 / 水部,0,0,3,3,0,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::水部,Ko,名称不明 / basin 5 / 水部,0,0,4,3,0,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::水部,Na,名称不明 / basin 5 / 水部,1,5.959475566150178e-4,5,3,0.3333333333333333,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::水部,He,名称不明 / basin 5 / 水部,1,4.7036688617121356e-4,6,3,0.3333333333333333,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::水部,Me,名称不明 / basin 5 / 水部,0,0,7,3,0,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::氾濫平野・海岸平野,Pa,名称不明 / basin 5 / 氾濫平野・海岸平野,0,0,1,6,0,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::氾濫平野・海岸平野,Jo,名称不明 / basin 5 / 氾濫平野・海岸平野,2,5.471956224350205e-4,2,6,0.3333333333333333,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::氾濫平野・海岸平野,Ya,名称不明 / basin 5 / 氾濫平野・海岸平野,1,0.0015552099533437014,3,6,0.16666666666666666,intermittent_gap1,low_n_descriptive_only
B_130000_5_LF_CLASS::氾濫平野・海岸平野,Ko,名称不明 / basin 5 / 氾濫平野・海岸平野,0,0,4,6,0,intermittent_gap1,low_n_descriptive_only
