"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11209001000,11209,"飯能市",10,"本郷東上遺跡","集落跡",35.78421615,139.4444639,1,1,0,0,0,0,0,0,0,0
11209001300,11209,"飯能市",13,"和田遺跡","旧石器 集落跡 散布地",35.78734561,139.4091627,1,1,0,0,0,0,0,0,0,0
11209001300,11209,"飯能市",13,"和田遺跡","旧石器 集落跡 散布地",35.78734561,139.4091627,1,1,0,0,0,0,1,0,0,0
11209001500,11209,"飯能市",15,"所沢市No.15遺跡","散布地",35.78070623,139.4786159,1,1,0,0,0,0,0,0,0,0
11209001500,11209,"飯能市",15,"所沢市No.15遺跡","散布地",35.78070623,139.4786159,1,1,0,0,0,0,0,0,0,0
11209001800,11209,"飯能市",18,"下安松遺跡","集落跡",35.80417455,139.5070262,1,1,0,0,0,0,0,0,0,0
11209001800,11209,"飯能市",18,"下安松遺跡","集落跡",35.80417455,139.5070262,1,1,0,0,0,0,0,0,0,0
11209001900,11209,"飯能市",19,"小岩井渡場遺跡","集落跡",35.86345698,139.2717935,1,1,0,0,0,0,0,0,0,0
11209001900,11209,"飯能市",19,"小岩井渡場遺跡","集落跡",35.86345698,139.2717935,1,1,0,0,0,0,0,0,0,0
11209002100,11209,"飯能市",21,"所沢市No.21遺跡","集落跡",35.7989663,139.4012076,1,1,0,0,0,0,0,0,0,0
11209002100,11209,"飯能市",21,"所沢市No.21遺跡","集落跡",35.7989663,139.4012076,1,1,0,0,0,0,0,0,0,0
11209002400,11209,"飯能市",24,"山下後遺跡","集落跡 古墳",35.79290019,139.3963774,1,1,0,1,0,0,0,0,0,0
11209002400,11209,"飯能市",24,"山下後遺跡","集落跡 古墳",35.79290019,139.3963774,1,1,0,1,0,0,0,0,0,0
11209002500,11209,"飯能市",25,"境窪遺跡","旧石器 集落跡",35.78963723,139.3965093,1,1,0,0,0,0,0,0,0,0
11209002500,11209,"飯能市",25,"境窪遺跡","旧石器 集落跡",35.78963723,139.3965093,1,1,0,0,0,0,0,0,0,0
11209002600,11209,"飯能市",26,"膳棚遺跡","旧石器 集落跡",35.79199329,139.3938907,1,1,0,1,0,0,0,0,0,0
11209002600,11209,"飯能市",26,"膳棚遺跡","旧石器 集落跡",35.79199329,139.3938907,1,1,0,1,0,0,0,0,0,0
11209002700,11209,"飯能市",27,"曽根遺跡","旧石器 集落跡",35.84311208,139.3210099,1,1,0,0,0,0,0,0,0,0
11209002700,11209,"飯能市",27,"曽根遺跡","旧石器 集落跡",35.84311208,139.3210099,1,1,0,0,0,0,0,0,0,0
11209002800,11209,"飯能市",28,"吉野遺跡","集落跡",35.78641093,139.386568,1,1,1,1,0,0,0,0,0,0
11209002800,11209,"飯能市",28,"吉野遺跡","集落跡",35.78641093,139.386568,1,1,1,1,0,0,0,0,0,0
11209003000,11209,"飯能市",30,"尾根遺跡","旧石器 集落跡",35.83529131,139.3084099,1,1,0,0,0,0,0,0,0,0
11209003000,11209,"飯能市",30,"尾根遺跡","旧石器 集落跡",35.83529131,139.3084099,1,1,0,0,0,0,0,0,0,0
11209003100,11209,"飯能市",31,"高峰遺跡","集落跡",35.78936604,139.4071757,1,1,0,1,0,0,0,0,0,0
11209003100,11209,"飯能市",31,"高峰遺跡","集落跡",35.78936604,139.4071757,1,1,0,1,0,0,0,0,0,0
11209003100,11209,"飯能市",31,"三ツ沢遺跡","集落跡",35.83382574,139.3118125,1,1,0,0,0,0,0,0,0,0
11209003100,11209,"飯能市",31,"三ツ沢遺跡","集落跡",35.83382574,139.3118125,1,1,0,0,0,0,0,0,0,0
11209003200,11209,"飯能市",32,"宮前遺跡","集落跡",35.79205773,139.4057321,1,1,1,1,0,0,0,0,0,0
11209003200,11209,"飯能市",32,"宮前遺跡","集落跡",35.79205773,139.4057321,1,1,1,1,0,0,0,0,0,0
11209003300,11209,"飯能市",33,"道間遺跡","集落跡",35.8348079,139.3195757,1,1,0,1,0,1,1,0,0,0
11209003300,11209,"飯能市",33,"道間遺跡","集落跡",35.8348079,139.3195757,1,1,0,1,0,1,0,0,0,0
11209003400,11209,"飯能市",34,"マグサビ遺跡","散布地",35.84022029,139.3148389,1,1,0,0,0,0,1,0,0,0
11209003400,11209,"飯能市",34,"マグサビ遺跡","散布地",35.84022029,139.3148389,1,1,0,0,0,0,0,0,0,0
11209004100,11209,"飯能市",41,"日向遺跡","集落跡",35.7870967,139.4147931,1,1,1,1,1,1,0,0,0,0
11209004100,11209,"飯能市",41,"日向遺跡","集落跡",35.7870967,139.4147931,1,1,1,1,1,1,0,0,0,0
11209004300,11209,"飯能市",43,"砂川遺跡","旧石器 散布地",35.79544285,139.4285968,1,1,0,1,1,1,0,0,0,0
11209004300,11209,"飯能市",43,"砂川遺跡","旧石器 散布地",35.79544285,139.4285968,1,1,0,1,1,1,0,0,0,0
11209004400,11209,"飯能市",44,"白旗塚遺跡","集落跡",35.79733944,139.4242686,1,1,0,0,0,0,0,0,0,0
11209004400,11209,"飯能市",44,"白旗塚遺跡","集落跡",35.79733944,139.4242686,1,1,0,0,0,0,1,0,0,0
11209004600,11209,"飯能市",46,"白旗塚遺跡","旧石器",35.80055742,139.4252506,1,0,0,0,0,0,0,0,0,0
11209004600,11209,"飯能市",46,"白旗塚遺跡","旧石器",35.80055742,139.4252506,1,0,0,0,0,0,1,0,0,0
11209005000,11209,"飯能市",50,"石塚遺跡","集落跡",35.77206381,139.4304191,1,1,0,0,0,0,0,0,0,0
11209005300,11209,"飯能市",53,"","旧石器 散布地",35.78666171,139.4256206,1,1,0,0,0,0,0,0,0,0
11209005300,11209,"飯能市",53,"","旧石器 散布地",35.78666171,139.4256206,1,1,0,0,0,0,0,0,0,0
11209007100,11209,"飯能市",71,"膳棚東遺跡","旧石器 古墳",35.80370301,139.5157141,1,1,0,1,0,0,0,0,0,0
11209007100,11209,"飯能市",71,"膳棚東遺跡","旧石器 古墳",35.80370301,139.5157141,1,1,0,1,0,0,0,0,0,0
11209007200,11209,"飯能市",72,"所沢市No.72遺跡","散布地",35.80514336,139.5169668,1,1,0,0,0,0,0,0,0,0
11209007200,11209,"飯能市",72,"所沢市No.72遺跡","散布地",35.80514336,139.5169668,1,1,0,0,0,0,0,0,0,0
11209007300,11209,"飯能市",73,"武野原遺跡","散布地",35.78465301,139.50636,1,1,0,1,0,0,0,0,0,0
11209007300,11209,"飯能市",73,"武野原遺跡","散布地",35.78465301,139.50636,1,1,0,1,0,0,0,0,0,0
11209007400,11209,"飯能市",74,"上ノ原遺跡","旧石器 散布地",35.86571642,139.3720707,1,0,0,0,0,0,0,0,0,0
11209007400,11209,"飯能市",74,"上ノ原遺跡","旧石器 散布地",35.86571642,139.3720707,1,0,0,0,0,0,0,0,0,0
11209007600,11209,"飯能市",76,"程久保遺跡","散布地",35.79228712,139.482529,1,1,0,0,0,0,0,0,0,0
11209007600,11209,"飯能市",76,"程久保遺跡","散布地",35.79228712,139.482529,1,1,0,0,0,0,0,0,0,0
11209008400,11209,"飯能市",84,"尾渕遺跡","集落跡",35.86137563,139.336223,1,1,0,0,1,1,0,0,0,0
11209009000,11209,"飯能市",90,"市No.90遺跡","旧石器 散布地",35.87526405,139.3602138,1,0,0,0,0,0,0,0,0,0
11209009000,11209,"飯能市",90,"市No.90遺跡","旧石器 散布地",35.87526405,139.3602138,1,0,0,0,0,0,0,0,0,0
11209009000,11209,"飯能市",90,"市No.90遺跡","旧石器 散布地",35.87526405,139.3602138,1,0,0,0,0,0,0,0,0,0
11209009100,11209,"飯能市",91,"所沢市No.81遺跡","散布地",35.79833675,139.4825568,1,1,0,0,0,0,0,0,0,0
11209009100,11209,"飯能市",91,"所沢市No.81遺跡","散布地",35.79833675,139.4825568,1,1,0,0,0,0,0,0,0,0
11209009100,11209,"飯能市",91,"所沢市No.81遺跡","散布地",35.79833675,139.4825568,1,1,0,0,0,0,1,0,0,0
11209009800,11209,"飯能市",98,"所沢市No.98遺跡","旧石器 散布地",35.78019635,139.4355241,1,0,0,0,0,0,0,0,0,0
11209009800,11209,"飯能市",98,"所沢市No.98遺跡","旧石器 散布地",35.78019635,139.4355241,1,0,0,0,0,0,0,0,0,0
11209009800,11209,"飯能市",98,"所沢市No.98遺跡","旧石器 散布地",35.78019635,139.4355241,1,0,0,0,0,0,0,0,0,0
11209009900,11209,"飯能市",99,"所沢市No.99遺跡","旧石器 散布地",35.79755591,139.4124834,1,0,0,0,0,0,0,0,0,0
11209009900,11209,"飯能市",99,"所沢市No.99遺跡","旧石器 散布地",35.79755591,139.4124834,1,0,0,0,0,0,0,0,0,0
11209009900,11209,"飯能市",99,"所沢市No.99遺跡","旧石器 散布地",35.79755591,139.4124834,1,0,0,0,0,0,0,0,0,0
11209010000,11209,"飯能市",100,"所沢市No.100遺跡","旧石器",35.80300126,139.4287721,1,0,0,0,0,0,0,0,0,0
11209010100,11209,"飯能市",101,"所沢市No.101遺跡","集落跡",35.77985467,139.407041,1,1,0,0,1,1,0,0,0,0
11209010100,11209,"飯能市",101,"所沢市No.101遺跡","集落跡",35.77985467,139.407041,1,1,0,0,1,1,0,0,0,0
11209011200,11209,"飯能市",112,"上新井台遺跡","旧石器",35.78879218,139.3945904,1,1,0,0,0,0,0,0,0,0
11209011200,11209,"飯能市",112,"上新井台遺跡","旧石器",35.78879218,139.3945904,1,1,0,0,0,0,0,0,0,0
11209011600,11209,"飯能市",116,"海谷遺跡","集落跡 古墳",35.78620387,139.4048871,1,1,0,1,0,0,0,0,0,0
11209011600,11209,"飯能市",116,"海谷遺跡","集落跡 古墳",35.78620387,139.4048871,1,1,0,1,0,0,0,0,0,0
11209012100,11209,"飯能市",121,"野中遺跡","散布地",35.79496696,139.4216445,1,1,0,1,0,0,0,0,0,0
11209012100,11209,"飯能市",121,"野中遺跡","散布地",35.79496696,139.4216445,1,1,0,1,0,0,0,0,0,0
11209012200,11209,"飯能市",122,"中砂遺跡","散布地",35.77807682,139.4353286,1,1,0,0,0,0,0,0,0,0
11209012200,11209,"飯能市",122,"中砂遺跡","散布地",35.77807682,139.4353286,1,1,0,0,0,0,0,0,0,0
11209012800,11209,"飯能市",128,"後内手遺跡","集落跡",35.79066947,139.4235614,1,1,0,1,0,0,0,0,0,0
11209012800,11209,"飯能市",128,"後内手遺跡","集落跡",35.79066947,139.4235614,1,1,0,1,0,0,0,0,0,0
11209014300,11209,"飯能市",143,"所沢市No.143遺跡","散布地",35.78495774,139.4965223,1,1,1,0,0,0,0,0,0,0
11209014300,11209,"飯能市",143,"所沢市No.143遺跡","散布地",35.78495774,139.4965223,1,1,1,0,0,0,0,0,0,0
11209015300,11209,"飯能市",153,"所沢市No.153遺跡","散布地",35.7897587,139.5096151,1,0,0,0,0,0,0,0,0,0
11209015300,11209,"飯能市",153,"所沢市No.153遺跡","散布地",35.7897587,139.5096151,1,0,0,0,0,0,0,0,0,0
11209015700,11209,"飯能市",157,"城西ノ上遺跡","旧石器",35.80790145,139.5261042,1,1,0,0,0,0,0,0,0,0
11209015700,11209,"飯能市",157,"城西ノ上遺跡","旧石器",35.80790145,139.5261042,1,1,0,0,0,0,0,0,0,0
11209016000,11209,"飯能市",160,"駿河台遺跡","散布地",35.79738116,139.5253803,1,1,0,0,0,1,0,0,0,0
11209016000,11209,"飯能市",160,"駿河台遺跡","散布地",35.79738116,139.5253803,1,1,0,0,0,1,0,0,0,0
11209016100,11209,"飯能市",161,"ハケ遺跡","集落跡",35.80143852,139.5320532,1,1,0,0,0,0,0,0,0,0
11209016100,11209,"飯能市",161,"ハケ遺跡","集落跡",35.80143852,139.5320532,1,1,0,0,0,0,0,0,0,0
11215007000,11215,"狭山市",70,"東久保遺跡","集落跡",35.8658041,139.3778318,1,0,0,0,0,0,0,0,0,0
11215007800,11215,"狭山市",78,"下双木遺跡","集落跡",35.87993713,139.3967765,1,0,0,0,0,0,0,0,0,0
11218601200,11218,"深谷市",12,"","集落跡",NA,36.12303425,1,0,0,0,0,0,0,0,0,139.2228889
11218601300,11218,"深谷市",13,"橋屋遺跡","集落跡",NA,36.12101428,1,0,0,0,0,0,0,0,0,139.2231617
11218602000,11218,"深谷市",20,"","",NA,36.12086737,1,0,0,0,0,0,0,0,0,139.2265262
11218603700,11218,"深谷市",37,"上南原遺跡","集落跡",NA,36.12586652,1,0,0,0,0,0,0,0,0,139.2466976
11218603800,11218,"深谷市",38,"","集落跡",NA,36.12785498,1,0,0,0,0,0,0,0,0,139.2543105
11218603900,11218,"深谷市",39,"宮台遺跡I","集落跡",NA,36.13020007,1,0,0,0,0,0,0,0,0,139.2555952
11218604000,11218,"深谷市",40,"宮台遺跡II","集落跡",NA,36.13020007,1,0,0,0,0,0,0,0,0,139.2529121
11218604200,11218,"深谷市",42,"","散布地",NA,36.13461819,1,0,1,0,0,0,0,0,0,139.2444796
11218604300,11218,"深谷市",43,"西上遺跡","集落跡",NA,36.13615844,1,0,0,0,0,0,0,0,0,139.2474137
11218604400,11218,"深谷市",44,"東大塚遺跡","集落跡",NA,36.13855763,1,0,1,1,1,0,0,0,0,139.2420223
11218604600,11218,"深谷市",46,"宮林遺跡","集落跡",NA,36.13944619,1,0,1,1,1,0,0,0,0,139.2515947
11218604700,11218,"深谷市",47,"飯塚氏館跡","その他",NA,36.14065882,1,0,1,0,0,1,0,0,0,139.2014274
11218604900,11218,"深谷市",49,"台耕地遺跡","散布地",NA,36.12470871,1,0,0,0,0,0,0,0,0,139.2494458
