"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11207016300,11207,"秩父市","163","飯塚招木古墳群61号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207016400,11207,"秩父市","164","飯塚招木古墳群62号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207016500,11207,"秩父市","165","飯塚招木古墳群63号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207016600,11207,"秩父市","166","飯塚招木古墳群64号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207016700,11207,"秩父市","167","飯塚招木古墳群65号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207016800,11207,"秩父市","168","飯塚招木古墳群66号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207016900,11207,"秩父市","169","飯塚招木古墳群67号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017000,11207,"秩父市","170","飯塚招木古墳群68号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017100,11207,"秩父市","171","飯塚招木古墳群69号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017200,11207,"秩父市","172","飯塚招木古墳群70号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017300,11207,"秩父市","173","飯塚招木古墳群71号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017400,11207,"秩父市","174","飯塚招木古墳群72号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017500,11207,"秩父市","175","飯塚招木古墳群73号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017600,11207,"秩父市","176","飯塚招木古墳群74号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017700,11207,"秩父市","177","飯塚招木古墳群75号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017800,11207,"秩父市","178","飯塚招木古墳群76号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207017900,11207,"秩父市","179","飯塚招木古墳群77号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018000,11207,"秩父市","180","飯塚招木古墳群78号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018100,11207,"秩父市","181","飯塚招木古墳群79号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018200,11207,"秩父市","182","飯塚招木古墳群80号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018300,11207,"秩父市","183","飯塚招木古墳群81号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018400,11207,"秩父市","184","飯塚招木古墳群82号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018500,11207,"秩父市","185","飯塚招木古墳群83号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018600,11207,"秩父市","186","飯塚招木古墳群84号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018700,11207,"秩父市","187","飯塚招木古墳群85号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018800,11207,"秩父市","188","飯塚招木古墳群86号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207018900,11207,"秩父市","189","飯塚招木古墳群87号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019000,11207,"秩父市","190","飯塚招木古墳群88号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019100,11207,"秩父市","191","飯塚招木古墳群89号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019200,11207,"秩父市","192","飯塚招木古墳群90号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019300,11207,"秩父市","193","飯塚招木古墳群91号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019400,11207,"秩父市","194","飯塚招木古墳群92号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019500,11207,"秩父市","195","飯塚招木古墳群93号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019600,11207,"秩父市","196","飯塚招木古墳群94号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019700,11207,"秩父市","197","飯塚招木古墳群95号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019800,11207,"秩父市","198","飯塚招木古墳群96号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207019900,11207,"秩父市","199","飯塚招木古墳群97号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020000,11207,"秩父市","200","飯塚招木古墳群98号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020100,11207,"秩父市","201","飯塚招木古墳群99号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020200,11207,"秩父市","202","飯塚招木古墳群100号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020300,11207,"秩父市","203","飯塚招木古墳群101号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020400,11207,"秩父市","204","飯塚招木古墳群102号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020500,11207,"秩父市","205","飯塚招木古墳群103号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020600,11207,"秩父市","206","飯塚招木古墳群104号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020700,11207,"秩父市","207","飯塚招木古墳群105号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020800,11207,"秩父市","208","飯塚招木古墳群106号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207020900,11207,"秩父市","209","飯塚招木古墳群107号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207021000,11207,"秩父市","210","飯塚招木古墳群108号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207021100,11207,"秩父市","211","飯塚招木古墳群109号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207021200,11207,"秩父市","212","飯塚招木古墳群110号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207021300,11207,"秩父市","213","飯塚招木古墳群111号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207021400,11207,"秩父市","214","飯塚招木古墳群112号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207021500,11207,"秩父市","215","飯塚招木古墳群113号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207021600,11207,"秩父市","216","飯塚招木古墳群114号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207021700,11207,"秩父市","217","飯塚招木古墳群115号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207021800,11207,"秩父市","218","飯塚招木古墳群116号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022100,11207,"秩父市","221","飯塚招木古墳群119号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022200,11207,"秩父市","222","飯塚招木古墳群120号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022200,11207,"秩父市","222","飯塚招木古墳群120号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022200,11207,"秩父市","222","飯塚招木古墳群117号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022200,11207,"秩父市","222","飯塚招木古墳群117号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022300,11207,"秩父市","223","飯塚招木古墳群121号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022300,11207,"秩父市","223","飯塚招木古墳群121号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022300,11207,"秩父市","223","飯塚招木古墳群118号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022300,11207,"秩父市","223","飯塚招木古墳群118号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022400,11207,"秩父市","224","飯塚招木古墳群122号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
11207022500,11207,"秩父市","225","飯塚招木古墳群123号墳","古墳",36.0440073157818,139.094429595961,0,0,0,1,0,0,0,0,NA,0
