"JASID","自治体コード","遺跡番号","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11239009300,11239,"93","城跡",35.9477619191567,139.372346805018,0,0,0,0,0,0,1,0,0,0
11239010500,11239,"105","集落跡 城跡",35.9247531440695,139.331917947322,0,1,0,0,0,0,1,0,0,0
11239011800,11239,"118","集落跡 その他",35.9680338413164,139.371255550624,0,0,0,0,1,1,1,0,0,0
11239012500,11239,"125","集落跡 城跡",35.9635903167124,139.362765822118,0,0,1,1,1,1,1,1,0,0
11239012600,11239,"126","城跡",35.9655001656652,139.365046757531,0,0,0,0,0,0,1,1,0,0
11239012700,11239,"127","集落跡",35.9670010225922,139.369214641096,0,0,0,1,1,1,1,0,0,0
11239013000,11239,"130","寺院跡 城跡",35.9626319501881,139.35469226683,0,0,0,0,0,0,1,0,0,0
11239013500,11239,"135","城跡",35.9562833227836,139.370395406941,0,0,0,0,0,0,1,0,0,0
11239015600,11239,"156","古墳 その他",35.969181136043,139.365505363378,0,0,0,0,0,0,1,0,0,0
11239015700,11239,"157","集落跡 古墳",35.9661115085251,139.361169044253,0,1,1,1,1,1,1,0,0,0
11241000800,11241,"8","集落跡",35.9436958943551,139.380132253834,0,0,0,1,0,0,1,1,0,0
11241001500,11241,"15","旧石器",35.9222290833706,139.400613774053,1,1,0,0,0,0,1,0,0,0
11241001600,11241,"16","集落跡 墓",35.9269276096197,139.406759249253,0,1,0,0,0,0,1,1,0,0
11241002000,11241,"20","散布地",35.9420440332352,139.425574990888,0,1,0,0,0,0,1,0,0,0
11241002700,11241,"27","城跡",35.9448001113423,139.419483694086,0,0,0,0,0,0,1,0,0,0
11241003900,11241,"39","城跡",35.9411910167915,139.41596518507,0,0,0,0,0,0,1,0,0,0
11241004800,11241,"48","その他",35.9294530235647,139.414969268599,0,0,0,0,0,0,1,0,0,0
11241005600,11241,"56","城跡",35.9265930038783,139.405036280154,0,0,0,0,0,0,1,0,0,0
11241005800,11241,"58","城跡",35.9297652353622,139.405331615906,0,0,0,0,0,0,1,1,0,0
11241006900,11241,"69","城跡",35.9302182700165,139.394146230708,0,0,0,0,0,0,1,1,0,0
11241007500,11241,"75","その他",35.9457371971654,139.410981590939,0,1,0,0,1,1,1,1,0,0
11241008200,11241,"82","城跡",35.940489335792,139.412940100381,0,0,0,0,0,0,1,1,0,0
11241008500,11241,"85","集落跡",35.9226599496883,139.39012627147,0,1,0,0,0,0,1,1,0,0
