landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m,basin_observed_total,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,expected_status,phase_code,phase_order,coverage_threshold
28012,28,12,130000,NA,4,B_130000_4,後背低地・湿地,LF_CLASS::後背低地・湿地,B_130000_4_LF_CLASS::後背低地・湿地,4565,456500,0.4565,140522,14052200,140520,14052000,0.9999857673531548,0.03248647879305437,0.03248601642447446,10,8,1,0.25989183034443497,3.8477546549835706,0.9810965282790158,1.4517735654460737,expected_lt_1,Pa,1,0.95
202011,202,11,830305,NA,40,B_830305_40,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_40_LF_CLASS::氾濫平野・海岸平野,17151,1715100,1.7151,111140,11114000,107269,10726900,0.9651700557854958,0.1598877588119587,0.1543188770919561,10,13,0,2.078540864555463,0,-2.366554909459703,-1.441714557239214,expected_1_to_5,Pa,1,0.95
26010,26,10,130000,NA,2,B_130000_2,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_130000_2_LF_CLASS::凹地・浅い谷,11404,1140400,1.1404,85955,8595500,85955,8595500,1,0.1326740736431854,0.1326740736431854,10,2,1,0.2653481472863708,3.768633812697299,0.9707744345901944,1.4261773942899494,expected_lt_1,Pa,1,0.95
157001,157,1,830304,NA,86,B_830304_86,山地斜面等,LF_CLASS::山地斜面等,B_830304_86_LF_CLASS::山地斜面等,44678,4467800,4.4678,83424,8342400,83423,8342300,0.9999880130418104,0.5355597377222109,0.5355533179900268,10,15,4,8.033396065833163,0.4979214229225421,-0.9231950088320293,-1.4230536734513324,expected_ge_5,Pa,1,0.95
129001,129,1,830304,NA,47,B_830304_47,山地斜面等,LF_CLASS::山地斜面等,B_830304_47_LF_CLASS::山地斜面等,47840,4784000,4.784,319540,31954000,319532,31953200,0.9999749640107656,0.1497189639848278,0.1497152156224573,10,38,9,5.689320631423457,1.5819111952121105,0.6181464522214445,1.3879918545627175,expected_ge_5,Pa,1,0.95
182011,182,11,830305,NA,22,B_830305_22,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_22_LF_CLASS::氾濫平野・海岸平野,27342,2734200,2.7342,144663,14466300,143763,14376300,0.9937786441591836,0.1901880177792617,0.18900479044399743,10,27,2,5.135076480040066,0.3894781329497151,-1.1725070961003328,-1.3834857230703526,expected_ge_5,Pa,1,0.95
154010,154,10,830304,NA,80,B_830304_80,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_830304_80_LF_CLASS::凹地・浅い谷,5238,523800,0.5238,55264,5526400,55264,5526400,1,0.09478141285466128,0.09478141285466128,10,20,0,1.8956282570932257,0,-2.260404054513526,-1.376818164135419,expected_1_to_5,Pa,1,0.95
138004,138,4,830304,NA,57,B_830304_57,台地・段丘,LF_CLASS::台地・段丘,B_830304_57_LF_CLASS::台地・段丘,138646,13864600,13.8646,199368,19936800,199364,19936400,0.9999799365996548,0.6954415039826649,0.6954275510613539,10,15,6,10.431622559739974,0.575174184614053,-0.7499959301035002,-1.3721033734468742,expected_ge_5,Pa,1,0.95
138010,138,10,830304,NA,57,B_830304_57,凹地・浅い谷,LF_CLASS::凹地・浅い谷,B_830304_57_LF_CLASS::凹地・浅い谷,24729,2472900,2.4729,199368,19936800,199364,19936400,0.9999799365996548,0.12403944543648804,0.12403695678343564,10,15,0,1.8605916815473207,0,-2.2391485159624867,-1.3640350734300497,expected_1_to_5,Pa,1,0.95
271001,271,1,830306,NA,20,B_830306_20,山地斜面等,LF_CLASS::山地斜面等,B_830306_20_LF_CLASS::山地斜面等,172683,17268300,17.2683,264495,26449500,263669,26366900,0.9968770676194256,0.6549234077574535,0.6528781262405716,10,15,14,9.823851116361803,1.4251030307943842,0.49007165912336215,1.3324014213003457,expected_ge_5,Pa,1,0.95
137011,137,11,830304,NA,56,B_830304_56,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830304_56_LF_CLASS::氾濫平野・海岸平野,23592,2359200,2.3592,40138,4013800,40099,4009900,0.999028352184962,0.5883438489737899,0.5877721859584434,10,3,0,1.7650315469213695,0,-2.1795311439889797,-1.3285448983460701,expected_1_to_5,Pa,1,0.95
