gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,monte_carlo_p,monte_carlo_p_bh,expected_status,selection_signal,phase_code,phase_order,coverage_threshold,selection_model,available_area_m2,available_share
旧水部,0,54.839235394813656,0,-6.790230805699504,-7.405351807633021,5e-4,0.0014,eligible,underrepresented,Ya,3,0.95,area_based,91659200,0.09019611084673297
氾濫平野・海岸平野,49,120.89051793054506,0.40532542037872527,-1.294155303736465,-6.538460333220857,5e-4,0.0014,eligible,underrepresented,Ya,3,0.95,area_based,202058400,0.19883308870155433
山地斜面等,167,117.97095829136416,1.4156026399950412,0.49962765217717225,4.514044657569976,5e-4,0.0014,eligible,overrepresented,Ya,3,0.95,area_based,197178600,0.19403118140026995
水部,2,20.397250519867136,0.09805243103976093,-3.0633131374118605,-4.073494247196951,5e-4,0.0014,eligible,underrepresented,Ya,3,0.95,area_based,34092300,0.033548109407676205
凹地・浅い谷,8,27.620166160674472,0.2896434421669187,-1.7260703728864757,-3.733271179275599,0.001,0.0023333333333333335,eligible,underrepresented,Ya,3,0.95,area_based,46164800,0.045427904869530376
旧河道,0,4.51700712403953,0,-3.326826986698822,-2.1253251807757634,0.0335,0.067,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,area_based,7549800,0.007429288032959753
自然堤防,6,11.842530346739473,0.5066484800397358,-0.9251265690026523,-1.6977694858189343,0.099,0.154,eligible,no_clear_signal,Ya,3,0.95,area_based,19793800,0.019477845965032024
崖・段丘崖,8,4.485536810292878,1.7835100542799134,0.7697139882112479,1.6594026770293535,0.099,0.154,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,area_based,7497200,0.007377527648508022
砂州・砂丘,5,7.980716009467232,0.6265102021007493,-0.6247544550780694,-1.0551146951734574,0.3815,0.48554545454545456,eligible,no_clear_signal,Ya,3,0.95,area_based,13339100,0.01312617764715005
後背低地・湿地,5,3.1788008358810074,1.5729201853611083,0.5801960453067087,1.0214703924669322,0.38,0.48554545454545456,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,area_based,5313100,0.005228290848488498
山麓堆積地形,5,3.66312058831286,1.364956429758943,0.40176627067050347,0.6985003486810688,0.583,0.6801666666666667,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,area_based,6122600,0.006024869388672466
扇状地,0,0.424669747098368,0,-0.8870100931221944,-0.651666898881912,1,1,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,area_based,709800,6.984699787802105e-4
河川敷・浜,0,0.0944109412399584,0,-0.2495325767215716,-0.307263634750288,1,1,low_expected_descriptive_only,no_clear_signal,Ya,3,0.95,area_based,157800,1.552811533551947e-4
旧水部,1,119.32945465022775,0.008380160647940173,-6.319876262078125,-10.832258989281769,5e-4,0.001,eligible,underrepresented,Ko,4,0.95,area_based,91659200,0.09019611084673297
台地・段丘,718,500.68386498923667,1.4340386223858743,0.5196481871040652,9.712033559574142,5e-4,0.001,eligible,overrepresented,Ko,4,0.95,area_based,384584700,0.37844585411128995
崖・段丘崖,38,9.760469078976113,3.893255507755397,1.9077617575094397,9.039036363113116,5e-4,0.001,eligible,overrepresented,Ko,4,0.95,area_based,7497200,0.007377527648508022
氾濫平野・海岸平野,118,263.0561763521564,0.4485733870092904,-1.153223442423014,-8.94359189695352,5e-4,0.001,eligible,underrepresented,Ko,4,0.95,area_based,202058400,0.19883308870155433
山地斜面等,375,256.70325299255717,1.4608307281983401,0.5459040183919132,7.383412223825424,5e-4,0.001,eligible,overrepresented,Ko,4,0.95,area_based,197178600,0.19403118140026995
水部,2,44.38414874635563,0.045061132329686046,-4.166206033771205,-6.361939249239574,5e-4,0.001,eligible,underrepresented,Ko,4,0.95,area_based,34092300,0.033548109407676205
凹地・浅い谷,16,60.1011181423887,0.2662180088246206,-1.8768783884284093,-5.688638350570603,5e-4,0.001,eligible,underrepresented,Ko,4,0.95,area_based,46164800,0.045427904869530376
自然堤防,15,25.76919021173737,0.5820904683752067,-0.7611035123600236,-2.1214493247224815,0.036,0.063,eligible,no_clear_signal,Ko,4,0.95,area_based,19793800,0.019477845965032024
旧河道,7,9.828948067605754,0.7121820109184013,-0.4617308323854589,-0.9023425868452418,0.4415,0.6867777777777778,eligible,no_clear_signal,Ko,4,0.95,area_based,7549800,0.007429288032959753
河川敷・浜,0,0.20543696588892263,0,-0.4965890821063311,-0.45325154813736995,1,1,low_expected_descriptive_only,no_clear_signal,Ko,4,0.95,area_based,157800,1.552811533551947e-4
後背低地・湿地,6,6.917028792550284,0.8674244650336089,-0.19040165135753878,-0.34867690309502525,0.8365,1,eligible,no_clear_signal,Ko,4,0.95,area_based,5313100,0.005228290848488498
砂州・砂丘,18,17.36593302717952,1.0365121166728042,0.0503140118122055,0.15215494500670398,0.909,1,eligible,no_clear_signal,Ko,4,0.95,area_based,13339100,0.01312617764715005
扇状地,1,0.9240757819262186,1.0821623286301463,0.07493657962744961,0.07898171026487662,1,1,low_expected_descriptive_only,no_clear_signal,Ko,4,0.95,area_based,709800,6.984699787802105e-4
山麓堆積地形,8,7.970902201213674,1.003650502546863,0.004947207950212244,0.01030638581548302,1,1,eligible,no_clear_signal,Ko,4,0.95,area_based,6122600,0.006024869388672466
山地斜面等,767,299.00205053781605,2.56519979920002,1.3576008700376665,27.06492742506862,5e-4,0.001,eligible,overrepresented,Na,5,0.95,area_based,197178600,0.19403118140026995
旧水部,0,138.99220681481552,0,-8.124040713236491,-11.78949561324892,5e-4,0.001,eligible,underrepresented,Na,5,0.95,area_based,91659200,0.09019611084673297
山麓堆積地形,34,9.284323727944273,3.662086867745213,1.8180523185533672,8.111428803317052,5e-4,0.001,eligible,overrepresented,Na,5,0.95,area_based,6122600,0.006024869388672466
凹地・浅い谷,10,70.00440140394632,0.14284816096486577,-2.74732399608016,-7.171672260609444,5e-4,0.001,eligible,underrepresented,Na,5,0.95,area_based,46164800,0.045427904869530376
氾濫平野・海岸平野,181,306.40178968909527,0.5907276200431466,-0.7578075106431765,-7.164041381574007,5e-4,0.001,eligible,underrepresented,Na,5,0.95,area_based,202058400,0.19883308870155433
水部,7,51.69763659722904,0.1354027081457568,-2.7990219852570006,-6.216546915631646,5e-4,0.001,eligible,underrepresented,Na,5,0.95,area_based,34092300,0.033548109407676205
台地・段丘,472,583.185061185498,0.8093485780320211,-0.3048758150738684,-4.604084058378161,5e-4,0.001,eligible,underrepresented,Na,5,0.95,area_based,384584700,0.37844585411128995
崖・段丘崖,21,11.368770106350862,1.8471655072230642,0.8571662154329606,2.856439349616094,0.01,0.016333333333333335,eligible,overrepresented,Na,5,0.95,area_based,7497200,0.007377527648508022
自然堤防,16,30.015360632114355,0.533060395179164,-0.8870696158857669,-2.558188217270375,0.0105,0.016333333333333335,eligible,underrepresented,Na,5,0.95,area_based,19793800,0.019477845965032024
旧河道,4,11.448532858790982,0.349389747082616,-1.408836576312959,-2.201384075331119,0.0295,0.041299999999999996,eligible,underrepresented,Na,5,0.95,area_based,7549800,0.007429288032959753
扇状地,0,1.0763422373003044,0,-1.6565807901585412,-1.0374691500475106,0.429,0.5459999999999999,low_expected_descriptive_only,no_clear_signal,Na,5,0.95,area_based,709800,6.984699787802105e-4
河川敷・浜,0,0.23928825732035508,0,-0.5642089032055828,-0.48917098985973717,1,1,low_expected_descriptive_only,no_clear_signal,Na,5,0.95,area_based,157800,1.552811533551947e-4
砂州・砂丘,22,20.227439754258228,1.0876314683062456,0.11838307515152596,0.39412188088918765,0.749,0.8066153846153846,eligible,no_clear_signal,Na,5,0.95,area_based,13339100,0.01312617764715005
後背低地・湿地,7,8.056796197520777,0.86883170783866015,-0.19018013382899732,-0.37231458793794026,0.74,0.8066153846153846,eligible,no_clear_signal,Na,5,0.95,area_based,5313100,0.005228290848488498
山地斜面等,1046,380.1070843631289,2.7518561032677877,1.45919799126833,34.154773727566024,5e-4,8.75e-4,eligible,overrepresented,He,6,0.95,area_based,197178600,0.19403118140026995
旧水部,0,176.69418114874992,0,-8.46918741801484,-13.29263635057959,5e-4,8.75e-4,eligible,underrepresented,He,6,0.95,area_based,91659200,0.09019611084673297
氾濫平野・海岸平野,208,389.51402076634497,0.5339987494950059,-0.9034786052446507,-9.197051737448595,5e-4,8.75e-4,eligible,underrepresented,He,6,0.95,area_based,202058400,0.19883308870155433
山麓堆積地形,41,11.802719132409363,3.4737757918357253,1.7541341229035392,8.498677932341835,5e-4,8.75e-4,eligible,overrepresented,He,6,0.95,area_based,6122600,0.006024869388672466
凹地・浅い谷,20,88.99326563941003,0.22473610622445958,-2.1261552140521207,-7.313548233511502,5e-4,8.75e-4,eligible,underrepresented,He,6,0.95,area_based,46164800,0.045427904869530376
台地・段丘,564,741.3754282040171,0.7607481696099515,-0.39420337646748466,-6.5143991176492815,5e-4,8.75e-4,eligible,underrepresented,He,6,0.95,area_based,384584700,0.37844585411128995
水部,19,65.7207463296377,0.28910201209068864,-1.7638091465002805,-5.763131488987631,5e-4,8.75e-4,eligible,underrepresented,He,6,0.95,area_based,34092300,0.033548109407676205
自然堤防,15,38.157100245497745,0.39311163331311816,-1.3184652063656828,-3.748836452180132,5e-4,8.75e-4,eligible,underrepresented,He,6,0.95,area_based,19793800,0.019477845965032024
旧河道,5,14.553975256568158,0.34354874952419046,-1.4526409815505041,-2.5043400336593895,0.0095,0.014777777777777777,eligible,underrepresented,He,6,0.95,area_based,7549800,0.007429288032959753
砂州・砂丘,21,25.71418201076695,0.8166699602268879,-0.28601086878140053,-0.9296511041953294,0.389,0.5446,eligible,no_clear_signal,He,6,0.95,area_based,13339100,0.01312617764715005
崖・段丘崖,11,14.452576663427216,0.761109956803475,-0.3787602533032086,-0.9081773991161867,0.4335,0.5517272727272727,eligible,no_clear_signal,He,6,0.95,area_based,7497200,0.007377527648508022
後背低地・湿地,8,10.24222177218897,0.7810805290042298,-0.33775766485812747,-0.7006183013758688,0.5375,0.6270833333333333,eligible,no_clear_signal,He,6,0.95,area_based,5313100,0.005228290848488498
河川敷・浜,0,0.3041957794228265,0,-0.6856186697242561,-0.5515394631600049,1,1,low_expected_descriptive_only,no_clear_signal,He,6,0.95,area_based,157800,1.552811533551947e-4
扇状地,1,1.3683026884304326,0.7308324455220436,-0.31676570792450226,-0.314857323167933,1,1,low_expected_descriptive_only,no_clear_signal,He,6,0.95,area_based,709800,6.984699787802105e-4
山地斜面等,355,171.3295331764384,2.0720303932329887,1.048871539052761,14.032117544196575,5e-4,0.0011666666666666668,eligible,overrepresented,Me,7,0.95,area_based,197178600,0.19403118140026995
山麓堆積地形,32,5.319959670197789,6.015083193066816,2.4813586571126347,11.567308323388632,5e-4,0.0011666666666666668,eligible,overrepresented,Me,7,0.95,area_based,6122600,0.006024869388672466
旧水部,0,79.64316587766523,0,-7.324507596243222,-8.924301982657536,5e-4,0.0011666666666666668,eligible,underrepresented,Me,7,0.95,area_based,91659200,0.09019611084673297
凹地・浅い谷,5,40.11283999979533,0.12464836695745084,-2.8844323927110196,-5.544013152453967,5e-4,0.0011666666666666668,eligible,underrepresented,Me,7,0.95,area_based,46164800,0.045427904869530376
水部,1,29.622980606978096,0.03375757535230727,-4.327830122946159,-5.258967406471578,5e-4,0.0011666666666666668,eligible,underrepresented,Me,7,0.95,area_based,34092300,0.033548109407676205
氾濫平野・海岸平野,115,175.5696173234725,0.655010825638026,-0.6082531267018015,-4.571199215943831,5e-4,0.0011666666666666668,eligible,underrepresented,Me,7,0.95,area_based,202058400,0.19883308870155433
砂州・砂丘,18,11.590414862433496,1.5530073956490598,0.6136615216295939,1.8826969974259196,0.0755,0.151,eligible,no_clear_signal,Me,7,0.95,area_based,13339100,0.01312617764715005
自然堤防,13,17.19893798712328,0.7558606240532413,-0.39070338768313706,-1.0124851109104847,0.3395,0.5335555555555556,eligible,no_clear_signal,Me,7,0.95,area_based,19793800,0.019477845965032024
旧河道,4,6.560061333103462,0.6097503966639993,-0.649755715280752,-0.9995313500633481,0.343,0.5335555555555556,eligible,no_clear_signal,Me,7,0.95,area_based,7549800,0.007429288032959753
崖・段丘崖,9,6.514356913632584,1.3815638472564675,0.43761667189945525,0.9738744985575868,0.4215,0.5901,eligible,no_clear_signal,Me,7,0.95,area_based,7497200,0.007377527648508022
後背低地・湿地,6,4.616580819215344,1.299663156556585,0.34525967412496217,0.6438631520399772,0.647,0.7548333333333334,low_expected_descriptive_only,no_clear_signal,Me,7,0.95,area_based,5313100,0.005228290848488498
台地・段丘,324,334.16768918026906,0.9695730930623156,-0.044510793118076514,-0.5562115896485317,0.4735,0.6026363636363636,eligible,no_clear_signal,Me,7,0.95,area_based,384584700,0.37844585411128995
扇状地,1,0.6167489912629259,1.6214051650936394,0.42565754923703375,0.4880104059920909,1,1,low_expected_descriptive_only,no_clear_signal,Me,7,0.95,area_based,709800,6.984699787802105e-4
河川敷・浜,0,0.13711325841263694,0,-0.34962176554707264,-0.37028807489930987,1,1,low_expected_descriptive_only,no_clear_signal,Me,7,0.95,area_based,157800,1.552811533551947e-4
