gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,monte_carlo_p,monte_carlo_p_bh,expected_status,selection_signal,activity_domain,phase_code,phase_order,n_observed_domain,coverage_threshold
旧水部,0,15.182708567550792,0,-4.9711028443602,-3.8964995274670304,5e-4,0.00175,eligible,underrepresented,general_activity,He,6,1827,0.95
山地斜面等,960,860.3672483375891,1.1158025852970606,0.1579948326346944,3.3967234539725464,5e-4,0.00175,eligible,overrepresented,general_activity,He,6,1827,0.95
砂州・砂丘,15,6.584203048976879,2.2781800452419,1.1295907468637,3.2797719017647213,0.001,0.0028,eligible,overrepresented,general_activity,He,6,1827,0.95
旧河道,5,17.674691196001127,0.2828903738432071,-1.724427327944725,-3.014820569323681,0.0045,0.0105,eligible,underrepresented,general_activity,He,6,1827,0.95
凹地・浅い谷,20,34.74340144927309,0.575648876210376,-0.7817292601911523,-2.501275469331718,0.0115,0.023,eligible,underrepresented,general_activity,He,6,1827,0.95
自然堤防,15,9.033698040056901,1.6604495671083466,0.7011603786032974,1.9850545450143426,0.0375,0.065625,eligible,no_clear_signal,general_activity,He,6,1827,0.95
水部,19,28.260300300729075,0.6723212350121357,-0.5606046157839225,-1.7419540079920743,0.083,0.12911111111111112,eligible,no_clear_signal,general_activity,He,6,1827,0.95
後背低地・湿地,6,3.0553590657367353,1.9637626448835162,0.8704444490984856,1.6846171479116054,0.132,0.1848,low_expected_descriptive_only,no_clear_signal,general_activity,He,6,1827,0.95
崖・段丘崖,10,14.572892950604778,0.6862055484724464,-0.5215670130615992,-1.1978933322000096,0.2465,0.31372727272727274,eligible,no_clear_signal,general_activity,He,6,1827,0.95
山麓堆積地形,40,34.66930490764165,1.153758349253301,0.20360508643205502,0.905339095462961,0.3865,0.4509166666666667,eligible,no_clear_signal,general_activity,He,6,1827,0.95
河川敷・浜,0,0.06994929694596295,0,-0.18890548702472995,-0.26447929398340986,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,He,6,1827,0.95
扇状地,1,1.2225662672601791,0.8179515718530668,-0.19959698386801802,-0.20129043472864244,1,1,low_expected_descriptive_only,no_clear_signal,general_activity,He,6,1827,0.95
山麓堆積地形,31,11.917343177324303,2.6012509280579565,1.3429953019884155,5.527759215732985,5e-4,0.00175,eligible,overrepresented,general_activity,Me,7,716,0.95
台地・段丘,254,183.88073253784555,1.381330150768911,0.4649777517507627,5.170937132972026,5e-4,0.00175,eligible,overrepresented,general_activity,Me,7,716,0.95
水部,1,16.57036112854395,0.060348714927969144,-3.508459173495449,-3.8250110906338453,5e-4,0.00175,eligible,underrepresented,general_activity,Me,7,716,0.95
氾濫平野・海岸平野,102,148.54846199000977,0.6866446049563255,-0.5401575787091699,-3.819189926614671,0.001,0.0028,eligible,underrepresented,general_activity,Me,7,716,0.95
旧水部,0,14.17998094753888,0,-4.875778190663242,-3.765631546970426,5e-4,0.00175,eligible,underrepresented,general_activity,Me,7,716,0.95
凹地・浅い谷,5,15.197733446324682,0.3289964268460812,-1.513052743532236,-2.6158584786939616,0.0075,0.0175,eligible,underrepresented,general_activity,Me,7,716,0.95
砂州・砂丘,11,5.946587494251368,1.8498004125279957,0.8350262851244991,2.072291493023923,0.0265,0.053,eligible,no_clear_signal,general_activity,Me,7,716,0.95
自然堤防,11,6.14883498869013,1.788956773150177,0.790460382854024,1.9563638448259255,0.0425,0.07437500000000001,eligible,no_clear_signal,general_activity,Me,7,716,0.95
