gsi_landform_class,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,phase_code,phase_order,coverage_threshold
山麓堆積地形,3,5.0639325912016036,0.5924249476014727,-0.6687500192229315,-0.9171736117039248,Ya,3,0.99
崖・段丘崖,8,8.569141173312893,0.933582472058532,-0.0935030960892333,-0.19442466351044294,Ya,3,0.9
崖・段丘崖,8,8.217998776277144,0.9734730094014568,-0.03653415993422744,-0.0760450622249579,Ya,3,0.95
崖・段丘崖,8,7.4667705285115575,1.0714136679910449,0.09346782051093437,0.19514064784128374,Ya,3,0.99
後背低地・湿地,5,4.639358843004779,1.0777351287536197,0.0978432303686335,0.16743502253972387,Ya,3,0.9
後背低地・湿地,5,4.639358843004779,1.0777351287536197,0.0978432303686335,0.16743502253972387,Ya,3,0.95
後背低地・湿地,5,4.639358843004779,1.0777351287536197,0.0978432303686335,0.16743502253972387,Ya,3,0.99
扇状地,0,0.22484434821691182,0,-0.5357431317375345,-0.47417754925440303,Ya,3,0.9
扇状地,0,0.20451090932070143,0,-0.4946939518902994,-0.4522288240710685,Ya,3,0.95
扇状地,0,0.1032761529483845,0,-0.27089045995662275,-0.3213660731134892,Ya,3,0.99
旧水部,0,23.215685719704528,0,-5.56776967825799,-4.818265841535161,Ya,3,0.9
旧水部,0,23.215685719704528,0,-5.56776967825799,-4.818265841535161,Ya,3,0.95
旧水部,0,23.20615614316814,0,-5.567189849535367,-4.817276838958722,Ya,3,0.99
旧河道,0,5.554501284071623,0,-3.598008128436753,-2.3567989485892986,Ya,3,0.9
旧河道,0,4.751143117592413,0,-3.3926315162197835,-2.1797117051556185,Ya,3,0.95
旧河道,0,3.281322183866229,0,-2.9188907779851654,-1.8114420178041108,Ya,3,0.99
水部,2,16.062150095083446,0.12451633113627741,-2.7278899753831043,-3.508729507579061,Ya,3,0.9
水部,2,15.400073798018981,0.12986950752517004,-2.669033461596985,-3.4146468064895554,Ya,3,0.95
水部,2,14.486138987803626,0.13806301331803236,-2.5836287368117827,-3.2805891261234907,Ya,3,0.99
氾濫平野・海岸平野,50,133.72572625530418,0.3738996332279539,-1.4103059179343527,-7.240214631949931,Ya,3,0.9
氾濫平野・海岸平野,49,127.49779727094129,0.38432036512655776,-1.3706185526263794,-6.951941826723137,Ya,3,0.95
氾濫平野・海岸平野,44,111.01335272864095,0.39634871768581575,-1.325339229151267,-6.360243415689123,Ya,3,0.99
河川敷・浜,0,0.0055827589433303,0,-0.01601917161210019,-0.07471786227757256,Ya,3,0.9
河川敷・浜,0,0.0055827589433303,0,-0.01601917161210019,-0.07471786227757256,Ya,3,0.95
砂州・砂丘,5,8.79332746043756,0.5686129650573934,-0.7567636250278971,-1.2792154962024682,Ya,3,0.9
砂州・砂丘,5,8.737555525591922,0.5722424292875984,-0.7480795124759275,-1.264423849834348,Ya,3,0.95
砂州・砂丘,5,8.518567346984247,0.5869531573017505,-0.7134666523643517,-1.205542671784371,Ya,3,0.99
自然堤防,6,5.299296173932982,1.1322258283116446,0.16456189858897868,0.30438650397619493,Ya,3,0.9
自然堤防,6,4.317682084095523,1.3896345036846065,0.43210052399013005,0.8096228172446491,Ya,3,0.95
自然堤防,4,3.585680219093536,1.1155484470422754,0.13934871082735067,0.21880129630017658,Ya,3,0.99
落堀,0,0.00167987755559142,0,-0.0048389776917048336,-0.0409863093677806,Ya,3,0.9
凹地・浅い谷,17,53.10910203180851,0.32009579054487175,-1.6151230476800265,-4.954869369728261,Ko,4,0.9
凹地・浅い谷,16,43.99028050763834,0.36371670776733983,-1.4310241701474187,-4.220159692703082,Ko,4,0.95
凹地・浅い谷,15,37.68643926429133,0.3980211527761076,-1.3007921850776587,-3.6955049121781647,Ko,4,0.99
台地・段丘,894,605.3118661331889,1.4769246235184328,0.5622116455703644,11.733817774222837,Ko,4,0.9
台地・段丘,718,503.56658525735276,1.4258293163615272,0.511373835902708,9.555733064759046,Ko,4,0.95
台地・段丘,520,401.23594562934176,1.2959955499111024,0.3736506101296603,5.929049804405008,Ko,4,0.99
山地斜面等,387,366.00564414297116,1.0573607434557155,0.08036089452608179,1.0973840988154635,Ko,4,0.9
山地斜面等,375,351.1809304932267,1.067825634704367,0.09454579918727511,1.2710403248380178,Ko,4,0.95
山地斜面等,289,222.89406831335916,1.2965800399573881,0.37397246914580495,4.427832411128984,Ko,4,0.99
山麓堆積地形,8,12.950598071637483,0.6177320889542883,-0.662135576292716,-1.3756652148221926,Ko,4,0.9
山麓堆積地形,8,12.65547805163208,0.6321373216690381,-0.6301289286089122,-1.3086545094043673,Ko,4,0.95
山麓堆積地形,7,8.376246314310567,0.8356965324719151,-0.24305910702146766,-0.47552291386848305,Ko,4,0.99
崖・段丘崖,58,19.27583907905961,3.008948132535955,1.5646977158631257,8.820137797457871,Ko,4,0.9
崖・段丘崖,38,15.440356153402643,2.4610831267402995,1.27217458216249,5.741211977408082,Ko,4,0.95
崖・段丘崖,30,11.902926810885507,2.5203885125601455,1.2981286384098165,5.245434413629616,Ko,4,0.99
後背低地・湿地,6,6.15501951952691,0.9748141303150855,-0.034003179503719436,-0.06248440939484669,Ko,4,0.9
後背低地・湿地,6,6.15501951952691,0.9748141303150855,-0.034003179503719436,-0.06248440939484669,Ko,4,0.95
後背低地・湿地,6,6.15501951952691,0.9748141303150855,-0.034003179503719436,-0.06248440939484669,Ko,4,0.99
扇状地,1,1.147469074375873,0.8714831818399255,-0.13528888307768175,-0.13766719368026134,Ko,4,0.9
扇状地,1,0.9642470430928113,1.037078627477572,0.03480351965576088,0.03640975927389986,Ko,4,0.95
扇状地,0,0.3788984581981222,0,-0.8137684011796952,-0.6155472834787935,Ko,4,0.99
旧水部,1,51.232944475636714,0.019518690761089075,-5.108048901685179,-7.0180099149543675,Ko,4,0.9
旧水部,1,51.23080541214697,0.019519505734003104,-5.107989247626776,-7.017857573211426,Ko,4,0.95
旧水部,1,51.18556871821703,0.0195367566492252,-5.106727111747227,-7.014635092067602,Ko,4,0.99
旧河道,7,37.20566438242382,0.18814339472746636,-2.329818769790792,-4.952036767383304,Ko,4,0.9
旧河道,7,22.325820132955904,0.3135383138587174,-1.6057041965307004,-3.2435456417271094,Ko,4,0.95
旧河道,6,14.636372386280923,0.4099376431296573,-1.2195078642751247,-2.2574317808206006,Ko,4,0.99
水部,3,32.977592176792605,0.09097086239398633,-3.257768940875726,-5.220201601851653,Ko,4,0.9
水部,2,25.84217167564153,0.07739287646189473,-3.397374287755716,-4.690091409404013,Ko,4,0.95
水部,2,22.63340335985456,0.08836496960715376,-3.209977529233475,-4.337065055895389,Ko,4,0.99
氾濫平野・海岸平野,126,319.9453470621424,0.39381726021953134,-1.3409409368358867,-10.842800461587556,Ko,4,0.9
氾濫平野・海岸平野,118,261.5886738789767,0.4510898665841794,-1.145167950049488,-8.877909558894473,Ko,4,0.95
氾濫平野・海岸平野,99,201.35911928362708,0.4916588846445649,-1.0205803333994228,-7.213414507945527,Ko,4,0.99
河川敷・浜,0,0.3481828511296994,0,-0.7624472194072247,-0.5900702086444454,Ko,4,0.9
河川敷・浜,0,0.1507344914699181,0,-0.3801409293431749,-0.3882454010930691,Ko,4,0.95
砂州・砂丘,18,14.407507340571723,1.2493486607021724,0.3114862235851516,0.9464582575110361,Ko,4,0.9
砂州・砂丘,18,14.102782256497067,1.2763438924760757,0.34128199990757,1.037772769476261,Ko,4,0.95
砂州・砂丘,18,14.069777087598128,1.279337965906097,0.34454646589076543,1.0477883726725907,Ko,4,0.99
自然堤防,17,22.91826431177127,0.7417664692551986,-0.42027922971684917,-1.2362420026473973,Ko,4,0.9
自然堤防,15,13.806115126439344,1.0864750773571568,0.11563625893021212,0.32131182175061207,Ko,4,0.95
自然堤防,12,12.486214854508727,0.9610598680085056,-0.05505288890886542,-0.1375982216847117,Ko,4,0.99
落堀,0,0.00895934696315424,0,-0.025622331007088484,-0.09465382698630966,Ko,4,0.9
凹地・浅い谷,15,30.56595071802037,0.4907421378245122,-1.0030659905645662,-2.8155075537792564,Na,5,0.9
凹地・浅い谷,10,27.760795329741935,0.3602202271664153,-1.4284127394127542,-3.3709045672350455,Na,5,0.95
凹地・浅い谷,9,25.946376105052654,0.3468692492377535,-1.4770706276599714,-3.326890342075079,Na,5,0.99
台地・段丘,515,413.9435158110419,1.2441310959804686,0.3147969362755287,4.966994085056196,Na,5,0.9
台地・段丘,472,382.00819970772585,1.2355755723597734,0.30482365459802263,4.604331641133044,Na,5,0.95
台地・段丘,395,336.0996712185336,1.1752466123156935,0.23264392721506177,3.2127998822261747,Na,5,0.99
山地斜面等,776,673.1900434275008,1.152720554286646,0.20490094694971714,3.9624731612893087,Na,5,0.9
山地斜面等,767,667.7393949964048,1.1486517131494534,0.1998017134989364,3.8412574740617993,Na,5,0.95
山地斜面等,584,485.61450655146,1.2025999885119045,0.26590683731306264,4.464627626399794,Na,5,0.99
山麓堆積地形,34,26.111150630865414,1.3021256887779336,0.37456546996154155,1.5438342039594644,Na,5,0.9
山麓堆積地形,34,25.921736672080453,1.3116405135239417,0.38487106540997207,1.5866676185939117,Na,5,0.95
山麓堆積地形,22,20.736716942272803,1.0609201090627771,0.08336424929249243,0.2774154675822878,Na,5,0.99
崖・段丘崖,30,16.055629710109766,1.868503480813952,0.8814873565328879,3.4800480075033913,Na,5,0.9
崖・段丘崖,21,14.742097084590947,1.4244920433979555,0.4962752500673877,1.629855820601323,Na,5,0.95
崖・段丘崖,19,12.948034182061013,1.4674042200416604,0.536078827257588,1.6818782247394017,Na,5,0.99
後背低地・湿地,7,4.44056275002977,1.5763767779102034,0.6022152156533351,1.21457819649506,Na,5,0.9
後背低地・湿地,7,4.44056275002977,1.5763767779102034,0.6022152156533351,1.21457819649506,Na,5,0.95
後背低地・湿地,7,4.44056275002977,1.5763767779102034,0.6022152156533351,1.21457819649506,Na,5,0.99
扇状地,0,1.101466738187923,0,-1.6793938342351926,-1.049507855229261,Na,5,0.9
扇状地,0,1.0222219218921884,0,-1.6061787019912726,-1.0110499106830426,Na,5,0.95
扇状地,0,0.7685797040190585,0,-1.3432141658193772,-0.8766867764595623,Na,5,0.99
旧水部,0,28.051282204326483,0,-5.83548363165887,-5.296346118252327,Na,5,0.9
旧水部,0,28.051282204326483,0,-5.83548363165887,-5.296346118252327,Na,5,0.95
旧水部,0,28.030670129663573,0,-5.834441728290986,-5.294399883807755,Na,5,0.99
旧河道,4,20.79557008002212,0.19234865813285487,-2.242556444634651,-3.6830645816430563,Na,5,0.9
旧河道,4,15.89214519452437,0.2516966684509149,-1.8650077617314302,-2.9831077533887425,Na,5,0.95
旧河道,3,10.593086958123061,0.2832035658594797,-1.6642340639793258,-2.33295899143159,Na,5,0.99
水部,7,27.554600092158257,0.2540410667034912,-1.9032748471546634,-3.915723120840223,Na,5,0.9
水部,7,24.916260591565116,0.2809410334378067,-1.760789286394074,-3.589268424850636,Na,5,0.95
水部,7,22.554756130687693,0.3103558273669781,-1.6201019045251805,-3.2752476123579632,Na,5,0.99
氾濫平野・海岸平野,190,349.0617646777528,0.5443162764486806,-0.8757563927077061,-8.51362773457955,Na,5,0.9
氾濫平野・海岸平野,181,327.0512121883842,0.5534301456609263,-0.8517509394797975,-8.076018112474234,Na,5,0.95
氾濫平野・海岸平野,148,261.4320218144022,0.5661127469115825,-0.8187295123540792,-7.015462091503056,Na,5,0.99
河川敷・浜,0,0.11534968207272658,0,-0.29947838259609944,-0.33963168590802384,Na,5,0.9
河川敷・浜,0,0.03637033820881405,0,-0.10130136214944915,-0.19071008942584566,Na,5,0.95
