landscape_code,basin_id,class_id,watersystem_code,watersystem_name,unit_basin_code,basin_unit_id,gsi_landform_class,landform_unit_id,landscape_unit_id,available_cell_count,available_area_m2,available_area_km2,basin_cell_count,basin_grid_area_m2,landform_known_cell_count,landform_known_area_m2,landform_coverage_ratio,available_share_known,available_share_basin,resolution_m,basin_observed_total,observed_count,expected_count,selection_ratio,log2_selection_ratio,pearson_residual,expected_status,phase_code,phase_order,coverage_threshold
202001,202,1,830305,NA,40,B_830305_40,山地斜面等,LF_CLASS::山地斜面等,B_830305_40_LF_CLASS::山地斜面等,63058,6305800,6.3058,111140,11114000,107269,10726900,0.9651700557854958,0.5878492388294847,0.5673744826345151,10,27,7,15.871929448396086,0.4410301862012986,-1.1262618541758753,-2.2269128298622682,expected_ge_5,Ko,4,0.95
182005,182,5,830305,NA,22,B_830305_22,山麓堆積地形,LF_CLASS::山麓堆積地形,B_830305_22_LF_CLASS::山麓堆積地形,4476,447600,0.4476,144663,14466300,143763,14376300,0.9937786441591836,0.03113457565576678,0.03094087638165944,10,68,10,2.117151144592141,4.723328339378647,2.004320178080664,5.417604132675127,expected_1_to_5,Me,7,0.95
176004,176,4,830305,NA,17,B_830305_17,台地・段丘,LF_CLASS::台地・段丘,B_830305_17_LF_CLASS::台地・段丘,4418,441800,0.4418,129141,12914100,128500,12850000,0.9950364330460504,0.03438132295719844,0.03421066895873503,10,35,7,1.2033463035019454,5.8171118153010415,2.1385188196912237,5.284234004149441,expected_1_to_5,Me,7,0.95
182004,182,4,830305,NA,22,B_830305_22,台地・段丘,LF_CLASS::台地・段丘,B_830305_22_LF_CLASS::台地・段丘,3321,332100,0.3321,144663,14466300,143763,14376300,0.9937786441591836,0.02310051960518353,0.02295680305261193,10,68,8,1.5708353331524803,5.0928317126308515,2.0372500020759166,5.129667536419811,expected_1_to_5,Me,7,0.95
277017,277,17,unknown,NA,0,B_unknown_0,旧水部,LF_CLASS::旧水部,B_unknown_0_LF_CLASS::旧水部,626628,62662800,62.6628,1844542,184454200,1835378,183537800,0.9950318290394038,0.34141631860031013,0.3397201039607664,10,73,0,24.92339125782264,0,-5.668084580954737,-4.992333247873447,expected_ge_5,Me,7,0.95
277004,277,4,unknown,NA,0,B_unknown_0,台地・段丘,LF_CLASS::台地・段丘,B_unknown_0_LF_CLASS::台地・段丘,534811,53481100,53.4811,1844542,184454200,1835378,183537800,0.9950318290394038,0.2913901114647773,0.2899424355747931,10,73,43,21.271478136928742,2.0214862231576216,0.9985760408204563,4.711197908463033,expected_ge_5,Me,7,0.95
188005,188,5,830305,NA,28,B_830305_28,山麓堆積地形,LF_CLASS::山麓堆積地形,B_830305_28_LF_CLASS::山麓堆積地形,758,75800,0.0758,40713,4071300,40286,4028600,0.9895119495001596,0.01881546939383408,0.01861813180065335,10,55,5,1.0348508166608745,4.831614295994244,1.8413331822749994,3.8978099359296747,expected_1_to_5,Me,7,0.95
37001,37,1,140013,NA,17,B_140013_17,山地斜面等,LF_CLASS::山地斜面等,B_140013_17_LF_CLASS::山地斜面等,53840,5384000,5.384,164420,16442000,164408,16440800,0.9999270161780806,0.32747798160673447,0.3274540810120423,10,40,27,13.09911926426938,2.061207280832095,1.0159183990893121,3.840796251656151,expected_ge_5,Me,7,0.95
191004,191,4,830305,NA,30,B_830305_30,台地・段丘,LF_CLASS::台地・段丘,B_830305_30_LF_CLASS::台地・段丘,3888,388800,0.3888,99214,9921400,98452,9845200,0.9923196323099562,0.03949132572217934,0.03918801782006571,10,54,7,2.132531588997684,3.2824836153025454,1.5104397526702038,3.333154196270479,expected_1_to_5,Me,7,0.95
177011,177,11,830305,NA,18,B_830305_18,氾濫平野・海岸平野,LF_CLASS::氾濫平野・海岸平野,B_830305_18_LF_CLASS::氾濫平野・海岸平野,15932,1593200,1.5932,301312,30131200,300094,30009400,0.9959576784197112,0.05309003179003912,0.05287542480883602,10,24,5,1.2741607629609388,3.924151602644573,1.6322948753917235,3.300745184982295,expected_1_to_5,Me,7,0.95
