place_id,weight_set,w_presence,w_run,w_gapfree,continuity_index,rank_desc,top_n,top_fraction_flag
13208004700,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13209034400,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13209071000,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13209089000,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13209090600,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13213003100,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13213004000,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13213014900,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13223001800,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13224001000,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13224021000,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13224030700,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13225002500,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13228008900,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13305001700,baseline,0.35,0.4,0.25,0.736904761904762,125,563,TRUE
13101000800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13103010000,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13104006500,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13105001600,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13106000407,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13106003500,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13106011600,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13112023300,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13115006000,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13115006200,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13115006500,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13117003100,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13117004000,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13117004200,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13117004900,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13119000800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13119002200,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13119003600,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13119005300,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13119005400,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13119010000,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13119010500,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13119011200,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13122000400,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13123000100,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201007303,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201008300,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201009200,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201009300,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201010000,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201012600,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201047800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201048000,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201051500,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13201053700,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13205012100,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13205013500,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13205013700,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13208001100,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13208004900,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209010800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209011700,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209013800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209036400,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209036900,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209043600,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209043800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209055100,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209056200,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209063200,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209065000,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209080900,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209088900,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209093500,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209093600,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209096700,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13209099200,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13212001800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13213002700,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13213002800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13213007700,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13219000500,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13219001800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13219002900,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13219004300,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13223000800,baseline,0.35,0.4,0.25,0.7142857142857144,162,563,TRUE
13105003300,baseline,0.35,0.4,0.25,0.6797619047619048,228,563,TRUE
13118000400,baseline,0.35,0.4,0.25,0.6797619047619048,228,563,TRUE
13119017200,baseline,0.35,0.4,0.25,0.6797619047619048,228,563,TRUE
13120002000,baseline,0.35,0.4,0.25,0.6797619047619048,228,563,TRUE
13120009800,baseline,0.35,0.4,0.25,0.6797619047619048,228,563,TRUE
13201038200,baseline,0.35,0.4,0.25,0.6797619047619048,228,563,TRUE
13208002200,baseline,0.35,0.4,0.25,0.6797619047619048,228,563,TRUE
13224010700,baseline,0.35,0.4,0.25,0.6797619047619048,228,563,TRUE
13104013800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13105004700,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13105004800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13105011800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13111005700,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13112000900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13112002900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13112003800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13112008600,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13112026400,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13112028000,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13116000200,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13117003900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13119000700,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13119010600,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13120014300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13121001300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201005800,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201007900,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201011000,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201011700,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201016100,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201026300,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201032500,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
13201036700,baseline,0.35,0.4,0.25,0.6499999999999999,236,563,TRUE
