scheme,group_id,group_label,activity_domain,n_places,median_presence_phase_count,median_longest_run_length,gap_place_rate,median_gap_count,median_continuity_index,median_intermittency_index,analysis_status
unit_basin,B_830305_88,多摩川 / basin 88,all_land_use,4,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_92,多摩川 / basin 92,all_land_use,4,1,1,0.25,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_161,荒川 / basin 161,all_land_use,3,3,2,0.6666666666666666,1,0.35,0.4,low_n_descriptive_only
unit_basin,B_830304_63,荒川 / basin 63,all_land_use,3,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_77,荒川 / basin 77,all_land_use,3,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_67,多摩川 / basin 67,all_land_use,3,1,1,0.3333333333333333,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_76,多摩川 / basin 76,all_land_use,3,1,1,0.3333333333333333,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_89,多摩川 / basin 89,all_land_use,3,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_130000_8,名称不明 / basin 8,all_land_use,2,0,0,0,0,0,0,low_n_descriptive_only
unit_basin,B_830303_389,利根川 / basin 389,all_land_use,2,2,2,0,0,0.2857142857142857,0,low_n_descriptive_only
unit_basin,B_830303_390,利根川 / basin 390,all_land_use,2,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830303_432,利根川 / basin 432,all_land_use,2,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_158,荒川 / basin 158,all_land_use,2,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830304_36,荒川 / basin 36,all_land_use,2,3.5,3.5,0,0,0.5,0,low_n_descriptive_only
unit_basin,B_830304_98,荒川 / basin 98,all_land_use,2,1.5,1.5,0,0,0.21428571428571427,0,low_n_descriptive_only
unit_basin,B_830305_21,多摩川 / basin 21,all_land_use,2,3,2,1,1,0.3508928571428571,0.575,low_n_descriptive_only
unit_basin,B_830305_57,多摩川 / basin 57,all_land_use,2,2,1.5,0.5,0.5,0.24821428571428572,0.25,low_n_descriptive_only
unit_basin,B_830305_74,多摩川 / basin 74,all_land_use,2,2.5,1.5,1,1,0.27589285714285716,0.675,low_n_descriptive_only
unit_basin,B_830305_77,多摩川 / basin 77,all_land_use,2,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_80,多摩川 / basin 80,all_land_use,2,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_82,多摩川 / basin 82,all_land_use,2,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
unit_basin,B_830305_83,多摩川 / basin 83,all_land_use,2,0.5,0.5,0,0,0.07142857142857142,0,low_n_descriptive_only
unit_basin,B_830305_84,多摩川 / basin 84,all_land_use,2,1,1,0,0,0.14285714285714285,0,low_n_descriptive_only
