scope_type,scope_id,scope_label,activity_domain,metric,candidate_order,left_label,right_label,change_label,left_mean,right_mean,delta_mean,sse_no_break,sse_with_break,change_score,best_candidate,n_places_group,score_rank,second_best_score,break_clarity
unit_basin,B_830305_25,多摩川 / basin 25,all_land_use,drop_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.45,0.31456043956043955,-0.13543956043956046,0.8256289498047742,0.8011704504286923,0.0296240815948439,TRUE,30,1,0.02590694794525914,0.0037171336495847584
unit_basin,B_830305_25,多摩川 / basin 25,all_land_use,new_active_transition_composition,3,Ya->Ko,Ko->Na,Ya->Ko | Ko->Na,0.45,0.17643467643467642,-0.2735653235653236,0.5891969848425893,0.47694000545648896,0.19052537992211735,TRUE,30,1,0.18657203750482426,0.0039533424172930876
unit_basin,B_830305_25,多摩川 / basin 25,all_land_use,presence_rate,3,Ya,Ko,Ya | Ko,0.18888888888888888,0.39166666666666666,0.20277777777777778,0.24539682539682542,0.1749074074074074,0.2872466580422597,TRUE,30,1,0.01655886157826665,0.27068779646399305
unit_basin,B_830305_27,多摩川 / basin 27,all_land_use,continue_active_transition_composition,3,Ya->Ko,Ko->Na,Ya->Ko | Ko->Na,0.255050505050505,0.4246031746031746,0.16955266955266957,0.064937407469875,0.02181524584121986,0.6640573331890385,TRUE,24,1,0.6487996464774,0.015257686711638518
unit_basin,B_830305_27,多摩川 / basin 27,all_land_use,drop_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.4583333333333333,0.20535714285714285,-0.25297619047619047,0.2700302343159486,0.18470096371882083,0.3159989503149056,TRUE,24,1,0.09661476557032887,0.21938418474457672
unit_basin,B_830305_27,多摩川 / basin 27,all_land_use,new_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.25,0.43073593073593075,0.18073593073593075,0.3804221872403691,0.33686821836172487,0.11448850866083873,TRUE,24,1,0.07487997569751605,0.03960853296332269
unit_basin,B_830305_27,多摩川 / basin 27,all_land_use,presence_rate,3,Ya,Ko,Ya | Ko,0.16666666666666666,0.41666666666666663,0.24999999999999997,0.13839285714285715,0.03125,0.7741935483870968,TRUE,24,1,0.33136200716845876,0.442831541218638
unit_basin,B_830305_28,多摩川 / basin 28,all_land_use,continue_active_transition_composition,4,Ko->Na,Na->He,Ko->Na | Na->He,0.11162426812033112,0.5157967032967032,0.40417243517637214,0.35945962896165845,0.14165248581979345,0.6059293606100541,TRUE,217,1,0.32487539937013177,0.2810539612399223
unit_basin,B_830305_28,多摩川 / basin 28,all_land_use,drop_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.4777777777777778,0.21842732398834763,-0.25935045378943017,0.8337017969959635,0.744018253154919,0.10757268865701954,TRUE,217,1,0.030334646424054965,0.07723804223296457
unit_basin,B_830305_28,多摩川 / basin 28,all_land_use,new_active_transition_composition,4,Ko->Na,Na->He,Ko->Na | Na->He,0.5992142809071943,0.1478937728937729,-0.4513205080134214,0.7803849059940113,0.5087979713893542,0.34801664219623085,TRUE,217,1,0.042773713645924166,0.30524292855030666
unit_basin,B_830305_28,多摩川 / basin 28,all_land_use,presence_rate,4,Ko,Na,Ko | Na,0.2672811059907834,0.5099846390168971,0.24270353302611364,0.6369155065028835,0.5359354980285558,0.15854537602448934,TRUE,217,1,0.05801649979518155,0.10052887622930778
unit_basin,B_830305_3,多摩川 / basin 3,all_land_use,continue_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.2777777777777778,0.06578947368421054,-0.21198830409356725,0.09586995428792905,0.035951232857973386,0.6250000000000001,TRUE,46,1,0.582639714625446,0.04236028537455416
unit_basin,B_830305_3,多摩川 / basin 3,all_land_use,drop_active_transition_composition,3,Ya->Ko,Ko->Na,Ya->Ko | Ko->Na,0.2592592592592593,0.5964912280701754,0.3372319688109161,1.129743624819033,0.9591555236369025,0.15099717974461324,TRUE,46,1,0.013813701698712209,0.13718347804590103
unit_basin,B_830305_3,多摩川 / basin 3,all_land_use,new_active_transition_composition,3,Ya->Ko,Ko->Na,Ya->Ko | Ko->Na,0.5380116959064327,0.33333333333333337,-0.20467836257309935,1.2030881296809275,1.1402482815225197,0.0522321238221124,TRUE,46,1,0.0261160619110562,0.0261160619110562
unit_basin,B_830305_3,多摩川 / basin 3,all_land_use,presence_rate,5,Na,He,Na | He,0.26086956521739135,0.05434782608695652,-0.20652173913043484,0.4836618957601944,0.4227315689981096,0.1259771077610274,TRUE,46,1,0.12581425646752273,1.628512935046844e-4
unit_basin,B_830305_30,多摩川 / basin 30,all_land_use,continue_active_transition_composition,4,Ko->Na,Na->He,Ko->Na | Na->He,0.139353921358455,0.3835906251033024,0.24423670374484738,0.13297436319371875,0.05343893991885426,0.5981259948505733,TRUE,240,1,0.45998829354445775,0.13813770130611552
unit_basin,B_830305_30,多摩川 / basin 30,all_land_use,drop_active_transition_composition,2,Jo->Ya,Ya->Ko,Jo->Ya | Ya->Ko,0.4482758620689655,0.28121216202823057,-0.16706370004073495,0.7245352175342107,0.6873215110391431,0.051362177564971814,TRUE,240,1,0.041133390738337564,0.01022878682663425
unit_basin,B_830305_30,多摩川 / basin 30,all_land_use,new_active_transition_composition,4,Ko->Na,Na->He,Ko->Na | Na->He,0.5328355710470807,0.2613302039601997,-0.271505367086881,0.5660527459546534,0.467765860145344,0.17363556048747297,TRUE,240,1,0.009853848561893887,0.16378171192557908
