model_id,metric,n_points,moran_i,expectation,variance,statistic,p_value,distance_band_m,phase_pair,phase_pair_order,event_type,event_count,event_prevalence,n_apparent_absence_continue_excluded,analysis_universe
transition_Ya_Ko_fixed_5000m,Ya->Ko__drop,1926,0.08724899967903642,-5.194805194805195e-4,9.95521290938755e-6,27.817192880965134,1.3437643983491927e-170,5000,Ya->Ko,3,drop,289,0.15005192107995846,3698,active_transition_only_excluding_0to0
transition_Ya_Ko_fixed_5000m,Ya->Ko__new,1926,0.20051651738264262,-5.194805194805195e-4,9.97262281399233e-6,63.66036631445823,0,5000,Ya->Ko,3,new,1279,0.6640706126687436,3698,active_transition_only_excluding_0to0
transition_Ko_Na_fixed_5000m,Ko->Na__continue,2691,0.051736993054252826,-3.717472118959108e-4,5.409608898354291e-6,22.404107109839764,1.794582441666856e-111,5000,Ko->Na,4,continue,651,0.241917502787068,2933,active_transition_only_excluding_0to0
transition_Ko_Na_fixed_5000m,Ko->Na__drop,2691,0.2686863304023385,-3.717472118959108e-4,5.41191355263169e-6,115.65665019109287,0,5000,Ko->Na,4,drop,986,0.3664065403195838,2933,active_transition_only_excluding_0to0
transition_Ko_Na_fixed_5000m,Ko->Na__new,2691,0.30295094992820065,-3.717472118959108e-4,5.41213595127566e-6,130.3828771522653,0,5000,Ko->Na,4,new,1054,0.3916759568933482,2933,active_transition_only_excluding_0to0
transition_Na_He_fixed_5000m,Na->He__continue,2394,0.15834893215847506,-4.178854993731718e-4,6.915756147867103e-6,60.372603410972516,0,5000,Na->He,5,continue,1485,0.6203007518796992,3230,active_transition_only_excluding_0to0
transition_Na_He_fixed_5000m,Na->He__drop,2394,0.24409024231547397,-4.178854993731718e-4,6.8933891961686766e-6,93.12727617445367,0,5000,Na->He,5,drop,220,0.091896407685881365,3230,active_transition_only_excluding_0to0
transition_Na_He_fixed_5000m,Na->He__new,2394,0.15981084245465074,-4.178854993731718e-4,6.913926483558422e-6,60.93657016938859,0,5000,Na->He,5,new,689,0.2878028404344194,3230,active_transition_only_excluding_0to0
transition_He_Me_fixed_5000m,He->Me__continue,2626,0.03498610130495061,-3.8095238095238096e-4,6.084517039865965e-6,14.33790920272986,6.340940211041096e-47,5000,He->Me,6,continue,571,0.21744097486671743,2998,active_transition_only_excluding_0to0
transition_He_Me_fixed_5000m,He->Me__drop,2626,0.09091626444458137,-3.8095238095238096e-4,6.088395281305693e-6,37.00037434780394,5.6467563320593465e-300,5000,He->Me,6,drop,1603,0.6104341203351105,2998,active_transition_only_excluding_0to0
transition_He_Me_fixed_5000m,He->Me__new,2626,0.12501234118357113,-3.8095238095238096e-4,6.081870317571041e-6,50.845875753251434,0,5000,He->Me,6,new,452,0.17212490479817213,2998,active_transition_only_excluding_0to0
