JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,LGCCheck,TownCheck,OverallCheck,AddressCandidates,DictionaryCandidates,PointBoundaryLGC,PointBoundaryTown,MatchedAddressCandidate,MatchedBoundaryTown,NormalizedLGC,SourceRowNumber
13214002500,13214,25,,国分寺市No.25遺跡,国分寺市 東元町一丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器,139.4765747,35.70015531,Match,Mismatch,TownMismatch,東元町一丁目,東元町一丁目,13214,本町四丁目,,,13214,5228
13214002600,13214,26,,国分寺市No.26遺跡,国分寺市 東元町二丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器,139.4720246,35.69197866,Match,Mismatch,TownMismatch,東元町二丁目,東元町二丁目,13214,西元町二丁目,,,13214,5229
13214002700,13214,27,,国分寺市No.27遺跡,国分寺市 東元町二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.4682732,35.69298113,Match,Mismatch,TownMismatch,東元町二丁目,東元町二丁目,13214,西元町二丁目,,,13214,5230
13214003400,13214,34,,国分寺市No.34遺跡,国分寺市 西恋ヶ窪二丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器,139.4651256,35.70043532,Match,Mismatch,TownMismatch,西恋ヶ窪二丁目,,13214,西恋ケ窪二丁目,,,13214,5235
13214003700,13214,37,,国分寺市No.37遺跡,国分寺市 西恋ヶ窪三丁目,[旧石器時代][縄文時代][奈良時代][平安時代],包蔵地,[旧石器時代]ユニット 土坑 [縄文時代]土坑 [奈良時代][平安時代]土坑 溝,ナイフ形石器 尖頭器 細石刃 台形石器 楔形石器 掻器 錐 打斧 磨石 石核 縄文土器 石器,139.464439,35.70336272,Match,Mismatch,TownMismatch,西恋ヶ窪三丁目,,13214,西恋ケ窪三丁目,,,13214,5238
13214003800,13214,38,,国分寺市No.38遺跡,国分寺市 西恋ヶ窪一丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器,139.4679335,35.70524044,Match,Mismatch,TownMismatch,西恋ヶ窪一丁目,,13214,西恋ケ窪一丁目,,,13214,5239
13214003900,13214,39,,国分寺市No.39遺跡,国分寺市 西恋ヶ窪一丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器,139.4666632,35.70128155,Match,Mismatch,TownMismatch,西恋ヶ窪一丁目,,13214,西恋ケ窪一丁目,,,13214,5240
13214005200,13214,52,,国分寺市No.52遺跡,国分寺市 西恋ヶ窪三丁目,[旧石器時代],包蔵地,,,139.4639927,35.70517487,Match,Mismatch,TownMismatch,西恋ヶ窪三丁目,,13214,西恋ケ窪三丁目,,,13214,5247
13214005800,13214,58,とうさんどうむさしみち,東山道武蔵路,国分寺市 西恋ヶ窪一丁目 東恋ヶ窪三丁目,[奈良時代][平安時代],その他（道路跡）,東山道武蔵路,,139.4691008,35.69517554,Match,Mismatch,TownMismatch,西恋ヶ窪一丁目｜東恋ヶ窪三丁目,,13214,西元町二丁目,,,13214,5253
13215002600,13215,26,,国立市No.26遺跡,国立市 谷保,[縄文時代][平安時代],包蔵地,,縄文土器 土師器 須恵器,139.4391254,35.67688805,Match,Mismatch,TownMismatch,谷保,谷保,13215,泉五丁目,,,13215,5304
13218000200,13218,2,,福生市№2遺跡,福生市 福生,[縄文時代（中期）],その他,単独出土地,石棒,139.3209875,35.74174508,Match,Mismatch,TownMismatch,福生,,13218,大字福生,,,13218,5310
13218000300,13218,3,,福生市№3遺跡,福生市 福生,[縄文時代（後期）][平安時代?],集落,[縄文時代]敷石住居?,縄文土器 石鏃 土師器,139.3245237,35.73937643,Match,Mismatch,TownMismatch,福生,,13218,大字福生,,,13218,5311
13218000400,13218,4,ながさわいせき,長沢遺跡,福生市 福生,[縄文時代（前期〜後期）]［近世？］,集落,[縄文時代]住居 土坑 配石 [時代不明]敷石遺構,縄文土器 打斧 石槍 石鏃 石匙 石皿 凹石 土製円板 土偶,139.3253133,35.74358422,Match,Mismatch,TownMismatch,福生,,13218,大字福生,,,13218,5312
