JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11341006800,11341,39,68,金光地遺跡,集落跡,,,,,,,1,1,,,,,,,,139.38082807365700,36.05094683105650
11341033500,11341,39,335,糠ヶ谷戸I遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37350372116600,36.05181246257340
11341033600,11341,39,336,糠ヶ谷戸II遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37274323173900,36.05079101450370
11341036100,11341,39,361,東両家原遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37694174979900,36.04408866099010
11341007600,11341,39,76,新宿遺跡,集落跡,,,,1,,1,,,,,,,,,,139.3801813501190,36.044665097741700
11341029000,11341,39,290,両家原I遺跡,その他,,,,,,,1,1,,,,,,,,139.37306220294200,36.044727134915900
11341036200,11341,39,362,十三塚遺跡,散布地,,,,,,,1,1,,,,,,,,139.38270298146700,36.0455858993937
11341007500,11341,39,75,東ノ谷南遺跡,集落跡,,,,1,,1,,,,,,,,,,139.3803354114240,36.04559920121100
11341032700,11341,39,327,西谷シノ遺跡,集落跡,,,,,,,,1,,,,,,,,139.36983497692900,36.05748846009340
11341032900,11341,39,329,東谷ツ遺跡,集落跡,,,,,,,,1,,,,,,,,139.3708046148910,36.05673369621800
11341033000,11341,39,330,東谷ツI遺跡,集落跡,,,,,,,1,1,,,,,,,,139.3717942292330,36.05676693067610
11341033100,11341,39,331,東谷ツII遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37262422522500,36.05592878511890
11341032800,11341,39,328,内田遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37135048054600,36.0575323033288
11341031200,11341,39,312,新道南遺跡,集落跡,,,,1,,1,,,,,,,,,,139.36631992077500,36.041276770292600
11341031300,11341,39,313,都遺跡,その他,,,,,,,,,,,,,,,,139.3679142500570,36.040797299307100
11341029100,11341,39,291,東部敷地内遺跡,集落跡 その他,,,,,,1,,,,,,,,,,139.36804969060400,36.045254565532300
11341028600,11341,39,286,又五良遺跡,集落跡,,,,,,1,,,,,,,,,,139.36835208930600,36.047195923844900
11341004800,11341,39,48,三本木遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37538902641800,36.07886289845610
11341004600,11341,39,46,中里前I遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37562348626200,36.08164875628420
11341004700,11341,39,47,中里前遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37641312964400,36.08187073074600
11341036900,11341,39,369,宮田遺跡,集落跡,,,,,1,,,,,,,,,,,139.37634446614100,36.08414591379600
11341002700,11341,39,27,根肥遺跡,集落跡,,,,,1,1,,,,,,,,,,139.37720277171600,36.0853667164851
11341002600,11341,39,26,根肥南遺跡,集落跡,,,,,1,1,,,,,,,,,,139.3769624455260,36.08639328596930
11341008200,11341,39,82,西山古墳群,古墳群 古墳,,,,1,,1,,,,,,,,,,139.36323173747000,36.07208878409230
11341008300,11341,39,83,糟沢古墳群,古墳群 古墳,,,,1,1,1,,,,,,,,,,139.36305072237900,36.075830803922300
11341007800,11341,39,78,中山古墳群,集落跡 古墳,,,,,,1,,,,,,,,,,139.36751905635300,36.07668656721010
11341008700,11341,39,87,矢崎遺跡,集落跡 古墳群,,,,1,,1,1,1,,,,,,,,139.36134346363300,36.08233997899820
11341008600,11341,39,86,分山谷古墳群,古墳群,,,,,,1,,,,,,,,,,139.3636780567880,36.08025897303950
11341031800,11341,39,318,妻前II遺跡,その他,,,,,,,1,1,,,,,,,,139.36220411901200,36.083773223903100
11341004200,11341,39,42,妻前遺跡,集落跡,,,,,,,1,1,,,,,,,,139.36118718580200,36.08381700157930
11341004100,11341,39,41,妻前西遺跡,集落跡,,,,,,,1,1,,,,,,,,139.36295617928600,36.08430856807950
11341004000,11341,39,40,小川谷東遺跡,集落跡 散布地,,,,,,,1,1,,,,,,,,139.36621774544800,36.08558485917800
11341005100,11341,39,51,谷城遺跡,城跡,,,,,,,,,,,,1,,,,139.3738871299460,36.07112359758940
11341005000,11341,39,50,東遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37279386425700,36.07262044353220
11341007900,11341,39,79,城山北遺跡,集落跡,,,,1,,1,,1,,,,,,,,139.36765114442700,36.0726261263754
11341003200,11341,39,32,鎌倉街道,その他,,,,,,1,,,,,,1,,,,139.36882569599700,36.08325804502690
11341007700,11341,39,77,矢崎前遺跡,集落跡,,,,,,1,,,,,,,,,,139.36997729973700,36.0766819520458
11341004400,11341,39,44,笹山遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37194993515300,36.08026141545950
11341004500,11341,39,45,後谷古墳群,集落跡 古墳群,,,,,,1,1,1,,,,,,,,139.36916902071500,36.08070536682690
11341004300,11341,39,43,後谷遺跡,集落跡,,,,,,1,1,,,,,,,,,139.37212159653000,36.082314673820500
11341003000,11341,39,30,本納地遺跡,集落跡,,,,,,1,1,1,,,,,,,,139.37201859996600,36.08725337301080
11341005900,11341,39,59,丸山I遺跡,集落跡,,,,,,,1,1,,,,,,,,139.38068472565500,36.06124378128520
11341005800,11341,39,58,長淵遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37530012271800,36.06299067574190
11341004900,11341,39,49,新井遺跡,集落跡,,,,,1,,,,,,,,,,,139.3771197317420,36.07328643620330
11341020900,11341,39,209,早稲田遺跡,集落跡,,,,,,,1,1,,,,,,,,139.36720482379900,36.06413969871070
11341020800,11341,39,208,悪戸遺跡,集落跡,,,,,,,1,1,,,,,,,,139.36563949493700,36.06344784214370
11341021200,11341,39,212,市場II遺跡,集落跡,,,,,,,1,1,,,,,,,,139.3632566134390,36.06438400652720
11341021100,11341,39,211,市場遺跡,集落跡,,,,,,1,,,,,,,,,,139.36398269524700,36.06256155875300
11341021000,11341,39,210,大道III遺跡,集落跡,,,,,,1,,,,,,,,,,139.3642573531890,36.061368156163500
11341021300,11341,39,213,唐子遺跡,集落跡,,,,,,1,,,,,,,,,,139.36205498249100,36.06244675989360
11341020200,11341,39,202,大谷V遺跡,集落跡,,,,,,1,,,,,,,,,,139.3629959088150,36.0608112590201
11341008000,11341,39,80,山田遺跡,集落跡 城跡,,,,1,,1,1,1,,,,1,,,,139.36578908653000,36.0693966213087
11341008100,11341,39,81,城山遺跡,古墳,,,,,,1,,,,,,,,,,139.36472021759900,36.069708235218400
11341006100,11341,39,61,水深遺跡,集落跡,,,,,,1,1,1,,,,,,,,139.37489525482900,36.06074831922640
11341020600,11341,39,206,蔵ノ前遺跡,集落跡,,,,,,,1,1,,,,,,,,139.3676854761790,36.061614153982200
11341005500,11341,39,55,山王西遺跡,集落跡,,,,,,,1,1,,,,,,,,139.3717075942130,36.06281116427600
11341020700,11341,39,207,小江戸遺跡,集落跡,,,,,,,1,1,,,,,,,,139.368056011825,36.06201930803720
11341005700,11341,39,57,山王III遺跡,集落跡,,,,,,1,,,,,,,,,,139.37367324659200,36.063170311350100
11341005600,11341,39,56,山王II遺跡,集落跡,,,,,,1,,,,,,,,,,139.37243754016000,36.06347544449160
11341005200,11341,39,52,追越遺跡,集落跡,,,,,1,1,1,1,,,,,,,,139.3748825705900,36.0685981955675
11341005300,11341,39,53,根岸遺跡,集落跡,,,,,,1,,,,,,,,,,139.37017135424000,36.06805470988380
11341005400,11341,39,54,山王遺跡,集落跡,,,,,,1,,,,,,,,,,139.37195688778000,36.06600092841500
11341020400,11341,39,204,大道遺跡,集落跡,,,,,,1,,,,,,,,,,139.3654538782780,36.05978239038770
11341020100,11341,39,201,大谷IV遺跡,集落跡,,,,,,1,,,,,,,,,,139.36150566742700,36.06008222145930
11341020300,11341,39,203,大谷VI遺跡,集落跡,,,,,,1,,,,,,,,,,139.36328382502200,36.06021530762660
11341036300,11341,39,363,大道古墳,古墳,,,,,,1,,,,,,,,,,139.36478887979200,36.060633193872700
11341020000,11341,39,200,大谷III遺跡,集落跡,,,,,,1,,,,,,,,,,139.3612869900600,36.06068870211130
11341032100,11341,39,321,寺谷遺跡,集落跡,,,,1,1,1,,,,,,,,,,139.35942229095500,36.05706376053000
11341024700,11341,39,247,東平I遺跡,集落跡,,,,,,,1,1,,,,,,,,139.3544097792710,36.052650547561500
11341032500,11341,39,325,堀ノ内III遺跡,城跡,,,,,,,,,,,,1,,,,139.36500590489000,36.0579017950691
11341035000,11341,39,350,灯篭沼南遺跡,窯跡,,,,,,,1,1,,,,,,,,139.35966261779900,36.05495433123680
11341034100,11341,39,341,山屋敷III遺跡,集落跡,,,,,,,1,1,,,,,,,,139.37015574619800,36.05040759240860
11341034500,11341,39,345,表古墳2,古墳,,,,,,1,,,,,,,,,,139.36406234543400,36.05397748904890
11341024300,11341,39,243,西平中遺跡,集落跡,,,,,,,1,1,,,,,,,,139.35289915863000,36.05403837619700
11341034900,11341,39,349,寺谷南遺跡,集落跡,,,,,,1,1,1,,,,,,,,139.360611373247,36.05421029495260
11341020500,11341,39,205,大道II遺跡,集落跡,,,,,,1,,,,,,,,,,139.3661748568470,36.06066505427000
11341032600,11341,39,326,一天具遺跡,集落跡,,,,1,,1,,1,,,,,,,,139.36765209428100,36.057659975451000
11341033900,11341,39,339,一天具III遺跡,集落跡,,,,,,,1,1,,,,,,,,139.36798801342400,36.05462582334810
11341034000,11341,39,340,山屋敷南II遺跡,集落跡,,,,,,1,,,,,,,,,,139.3699065647910,36.05104020093520
11341034300,11341,39,343,東表遺跡,集落跡,,,,,,,1,1,,,,,,,,139.36620811442800,36.05315909490760
11341024400,11341,39,244,西平前遺跡,集落跡,,,,1,,1,1,1,,,,,,,,139.34986537163900,36.05373843748000
11341033800,11341,39,338,一天具II遺跡,集落跡,,,,,,,1,1,,,,,,,,139.36744757915900,36.055507126482000
11341007300,11341,39,73,清水遺跡,集落跡,,,,,,1,,,,,,,,,,139.3770004155620,36.04768191621380
11341025500,11341,39,255,平谷古墳,古墳群,,,,,,1,,,,,,,,,,139.35499342756000,36.05562047346870
11341028100,11341,39,281,溝半田遺跡,集落跡,,,,,,1,,,,,,,,,,139.3593067470440,36.04849229012630
11341028400,11341,39,284,川向遺跡,集落跡,,,,,,1,,,,,,,,,,139.36294252461300,36.0482400853259
11341034700,11341,39,347,表前遺跡,集落跡,,,,,,,,1,,,,,,,,139.363806880485,36.05166465198800
11341034600,11341,39,346,西表遺跡,集落跡,,,,,,,,1,,,,,,,,139.36272295375500,36.052621995922700
11341028500,11341,39,285,新道下遺跡,集落跡,,,,,,1,,,,,,,,,,139.36453780051200,36.047709674376100
11341034400,11341,39,344,表古墳1,古墳,,,,,,1,,,,,,,,,,139.3651000475460,36.05434326474670
11341034800,11341,39,348,表遺跡,集落跡,,,,,,1,,,,,,,,,,139.362662879411,36.054870269718200
11341032400,11341,39,324,堀ノ内II遺跡,集落跡,,,,,,1,,,,,,,,,,139.36483079975900,36.05659491910270
11341032300,11341,39,323,堀ノ内I遺跡,集落跡,,,,,,1,,,,,,,,,,139.36313537439100,36.05666981116190
11341000900,11341,39,9,蟹沢遺跡,散布地,,,,,,1,,1,,,,,,,,139.35710411088600,36.09967288934060
11341000800,11341,39,8,岩井口北遺跡,集落跡,,,,,,1,,,,,,,,,,139.35523337415900,36.0999180654168
11341010300,11341,39,103,天神前古墳群,集落跡 古墳群 古墳,,,,,,1,1,1,,,,,,,,139.3603853059360,36.09600799051510
11341025100,11341,39,251,蟹沢古墳群,古墳群,,,,,,1,,,,,,,,,,139.35833457785700,36.0972893033033
11341024000,11341,39,240,天神山横穴墓群,横穴,,,,,,1,,,,,,,,,,139.35825021160900,36.09643853442030
11341010000,11341,39,100,中在家裡古墳群,散布地,,,,,,1,,,,,,,,,,139.3570510270020,36.097680844014800
11341010400,11341,39,104,中在家裡遺跡,集落跡,,,,,,,1,1,,,,,,,,139.35598672764400,36.09612733509010
11341010100,11341,39,101,南薬王子I遺跡,散布地,,,,,,1,,1,,,,,,,,139.35943650779400,36.097834157892000
11341009900,11341,39,99,山中II遺跡,散布地,,,,,,1,,,,,,,,,,139.35502867162200,36.097950078128500
11341010200,11341,39,102,南薬王子II遺跡,集落跡,,,,,,1,,,,,,,,,,139.35995149192400,36.098583158721700
11341001000,11341,39,10,山中古墳群,古墳群,,,,,,1,,,,,,,,,,139.3558681488410,36.09909034189470
11341010900,11341,39,109,富士根遺跡,集落跡,,,,,,1,,,,,,,,,,139.35912875689300,36.089538983119400
11341011800,11341,39,118,棒名遺跡,散布地,,,,,,1,,,,,,,,,,139.3542723526530,36.08648811697600
11341011400,11341,39,114,南中在家遺跡,,,,,,,1,,,,,,,,,,139.35506065618900,36.08857054755790
11341011500,11341,39,115,馬場裡遺跡,集落跡,,,,,,1,,,,,,,,,,139.35869780841600,36.08763136856910
11341010600,11341,39,106,中在家II遺跡,集落跡,,,,,,1,,,,,,,,,,139.3554749909400,36.09398303568970
11341010800,11341,39,108,稲荷前遺跡,,,,,,,1,,,,,,,,,,139.3589733730370,36.091848040892800
11341011600,11341,39,116,馬場遺跡,集落跡,,,,,,1,,,,,,,,,,139.35897688460100,36.08574315478850
11341011700,11341,39,117,馬場II遺跡,集落跡,,,,,,1,,,,,,,,,,139.35828788929000,36.084809366050800
11341010700,11341,39,107,南在家遺跡,集落跡,,,,,,1,,,,,,,,,,139.35711240477700,36.09312070936880
11341009800,11341,39,98,榎古墳群,古墳群 古墳,,,,,,1,,,,,,,,,,139.35355003816700,36.0975989985517
11341008800,11341,39,88,不動沼北遺跡,集落跡,,,,,,1,,,,,,,,,,139.34954881372500,36.09825027022790
11341000700,11341,39,7,岩井口遺跡,散布地,,,,,,1,,1,,,,,,,,139.35382575073700,36.09936326025540
11341000400,11341,39,4,円正寺古墳群,散布地,,,,,,1,,,,,,,,,,139.35025499273,36.0998592164529
11341009700,11341,39,97,山中東遺跡,集落跡,,,,,,1,,,,,,,,,,139.3532629407710,36.09844412169620
11341031700,11341,39,317,山中遺跡,集落跡,,,,,,1,,,,,,,,,,139.35198640442700,36.09916570939870
11341000500,11341,39,5,台原遺跡,,,,,,,1,,,,,,,,,,139.35272711799000,36.10044512711490
11341000600,11341,39,6,関魔谷遺跡,散布地,,,,,,1,,1,,,,,,,,139.3532421021210,36.10080574573830
11341000200,11341,39,2,阿弥陀谷遺跡,,,,,,,1,,1,,,,,,,,139.34822938795800,36.1021061401421
