JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,不明,経度,緯度
11365415600,11365,45,156,お塚古墳,古墳,,,,,1,,,,,,,,,139.0320639926060,35.99975135177660
11365410800,11365,45,108,,散布地,,,1,,,,,,,,,,,139.03237298491800,36.00086236322330
11365410500,11365,45,105,,散布地,,,1,,,1,1,,,,,,,139.03499854808400,36.00451235978080
11365410600,11365,45,106,,散布地,,,1,,,,,,,,,,,139.0329223008,36.0049729708536
11365410400,11365,45,104,,散布地,,,,,,,,,,1,,,,139.0354091842200,36.00537554406460
11365408700,11365,45,87,,散布地,,,1,,,1,1,,,,,,,139.01766739037800,36.01372788830460
11365408500,11365,45,85,南扶桑ヶ原遺跡,集落跡,,,,,1,1,1,,,,,,,139.0183582082800,36.01336125240440
11365407600,11365,45,76,,散布地,,,,,,1,1,,,,,1,,139.0198747732240,36.01283591235120
11365407700,11365,45,77,鹿園遺跡,,,,1,,,1,1,,,,,,,139.01988584673600,36.01225733123090
11365408600,11365,45,86,,散布地,,,1,,,1,1,,,,,1,,139.0178916265950,36.01456435784810
11365415400,11365,45,154,,古墳,,,,,1,,,,,,,,,139.01808369707700,36.013603067573900
11365415300,11365,45,153,丸山古墳,古墳,,,,,1,,,,,,,,,139.01886349886700,36.01344396238330
11365408300,11365,45,83,,散布地,,,1,,,1,1,,,,,,,139.0192068216210,36.01390217680940
11365409300,11365,45,93,,散布地,,,1,,,,,,,,,,,139.01642802290700,36.0178649599229
11365409200,11365,45,92,,散布地,,,,,,1,1,,,,,,,139.01637288021700,36.018306584614000
11365409100,11365,45,91,,散布地,,,,,,1,1,,,,,,,139.01498456725900,36.01369159724330
11365400600,11365,45,6,,散布地,,,,,1,1,1,,,,,,,139.0156304453680,36.01279425666680
11365409000,11365,45,90,,散布地,,,1,,,1,1,,,1,,,,139.0161747078980,36.01481568018440
11365408900,11365,45,89,,散布地,,,,,,1,1,,,,,,,139.01666828725400,36.014432062195500
11365402200,11365,45,22,,散布地,,,1,,,,,,,,,1,,138.99198309306800,36.028719981880700
11365402900,11365,45,29,,散布地,,,1,,,,,,,,,,,138.98014155453100,36.02933364585760
11365402600,11365,45,26,,散布地,,,1,,,,,,,,,,,138.984227097136,36.03122164597850
11365402800,11365,45,28,,散布地,,,1,,,,,,,,,,,138.9825104820570,36.02988894508200
11365402500,11365,45,25,,散布地,,,1,,,,,,,,,,,138.98642436066600,36.03030541693130
11365402700,11365,45,27,,散布地,,,1,,,,,,,,,,,138.98326579237700,36.03191575170180
11365402400,11365,45,24,,散布地,,,1,,,,,,,,,,,138.98824814911000,36.03129384846240
11365409800,11365,45,98,,散布地,,,1,,,,,,,,,,,139.01478474546500,36.01938151065970
11365401200,11365,45,12,小鹿野陣屋跡,その他,陣屋跡,,,,,,,,,,,,,139.0060810161170,36.01953646433210
11365400400,11365,45,4,北町裏遺跡,集落跡,,,1,1,1,,,,,,,,,139.00800196078700,36.01961264542900
11365400200,11365,45,2,,散布地,,,1,,,,,,,,,,,138.99804726511600,36.02175791713730
11365400100,11365,45,1,丸山塚古墳,古墳,,,,,1,,,,,,,,,138.99499002789000,36.02436091391970
11365402100,11365,45,21,,散布地,,,1,,,,1,,,,,,,138.99385872725700,36.02839412530330
11365402300,11365,45,23,,散布地,,,1,,,,,,,,,,,138.99088653975300,36.02655985410510
11365409600,11365,45,96,,散布地,,,,,,1,1,,,,,,,139.01288206260500,36.0142012826138
11365409400,11365,45,94,,散布地,,,1,,,1,1,,,,,,,139.01426502814100,36.014459832474400
11365400300,11365,45,3,,,抹消,,,,,,,,,,,,,139.00855294151700,36.017037262884100
11365400900,11365,45,9,,,抹消,,,,,,,,,,,,,139.00855294151700,36.017037262884100
11365400500,11365,45,5,,集落跡,,,1,,1,,,,,,,,,139.0052210470040,36.01722451784870
11365401100,11365,45,11,小鹿野氏館跡,城跡,,,,,,,,1,,,,,,139.0100782812380,36.01850729199340
11365409900,11365,45,99,,散布地,,,1,,,,,,,,,,,139.01384857201200,36.01922979506940
11365404300,11365,45,43,日尾城根古屋伝承地,集落跡,抹消,,,,,,,,,,1,1,,138.939041,36.06895800000000
11365401700,11365,45,17,,その他,,,1,,,,,,,,,,,138.939041,36.06895800000000
11365401600,11365,45,16,鷲窟磨崖仏,,県指定史跡,,,,,,1,1,1,1,,,,138.939041,36.06895800000000
11365404000,11365,45,40,川入黒川岩陰遺跡,その他,抹消,,1,,,,,,,,,,,138.939041,36.06895800000000
11365401400,11365,45,14,日尾城跡,城跡,,,,,,,,,,,1,,,138.939041,36.06895800000000
11365404500,11365,45,45,合角ヨコビキ岩陰遺跡推定地,その他,抹消,,,,,,,,,,,,,138.939041,36.06895800000000
11365411000,11365,45,110,寺平遺跡,寺院跡,,,,,,,1,,,,,,,138.92069277002700,36.07717957808740
11365403800,11365,45,38,鷹谷砦跡,城跡,,,,,,,,,,,1,,,138.9217154285020,36.03325851234680
11365403700,11365,45,37,半平遺跡,集落跡,,,1,,,,,,,,,,,138.93372918938200,36.0346209725557
11365415800,11365,45,158,大諸遺跡,その他,,,1,,,,,,,,,,,138.8822422196090,36.05055112152310
11365404200,11365,45,42,下平遺跡,集落跡,,,1,,,,,,,,,,,138.939041,36.06895800000000
11365403900,11365,45,39,合角中組遺跡,集落跡,抹消,,1,,,,1,,,,,1,,138.939041,36.06895800000000
11365404400,11365,45,44,日尾城小口郭,,,,,,,,,,,,1,,,138.939041,36.06895800000000
11365404100,11365,45,41,,その他,抹消,,1,,,,,,,,,,,138.939041,36.06895800000000
11365403500,11365,45,35,,散布地,,,1,,,,,,,,,,,138.96931153447400,36.02409515578040
11365403600,11365,45,36,小金沢遺跡,集落跡,,,1,1,,,,,,,,,,138.96145553530100,36.02482448419610
11365403400,11365,45,34,中村氏館伝承地,その他,館跡？,,,,,,,,,,,1,,138.9671199352910,36.0258462003457
11365403300,11365,45,33,,散布地,,,1,,,,,,,,,,,138.96780091383300,36.026122111463400
11365403200,11365,45,32,柏木遺跡,散布地,,,1,,,,,,,,,,,138.972760115322,36.028195270634100
11365403000,11365,45,30,,散布地,,,1,,,,,,,,,,,138.97893992489200,36.02922258511930
11365403100,11365,45,31,上栗尾遺跡,集落跡,,,1,,,,,,,,,1,,138.97598734973300,36.02894493364790
11365414600,11365,45,146,千尋原古墳群,古墳群,,,,,1,,,,,,,,,139.03174063691900,36.00847987976660
11365401500,11365,45,15,奈倉館跡,城跡,,,,,,,,,,1,1,,,139.0441233979910,36.02251056724440
11365412900,11365,45,129,小鹿原古墳群,古墳群 古墳,,,,,1,,,,,,,,,139.0389124283300,36.01306449335910
11365404900,11365,45,49,,散布地,,,,,,,,,,,,1,,139.04215540279200,36.02084600019960
11365415500,11365,45,155,,古墳,,,,,1,,,,,,,,,139.03466380859600,36.004762323522500
11365410000,11365,45,100,,散布地,,,,,,,,,,1,,,,139.043059099287,36.01440205047890
11365404700,11365,45,47,,散布地,,,1,,,,,,,,,1,,139.0440279365780,36.01863928253260
11365409700,11365,45,97,,散布地,,,1,,,1,1,,,,,,,139.01254781622600,36.01530682591470
11365408800,11365,45,88,,散布地,,,,,,1,1,,,,,1,,139.0172170054820,36.01444595051340
11365415900,11365,45,159,下塚居古墳,古墳,,,,,1,,,,,,,,,139.03199447431500,36.00787812660650
11365400700,11365,45,7,,集落跡 散布地,,,,,,1,1,,,,,,,139.03041884484000,36.01628354056910
11365407400,11365,45,74,,,,,,,,,,,,,,,,139.0210864397630,36.01329123114140
11365500300,11365,51,3,大平遺跡,集落跡,,,1,,,,,,,,,,,138.95925561389800,36.01060437021180
11365408400,11365,45,84,,散布地,,,1,,,1,1,,,,,,,139.01800439681900,36.01195015079570
11365407800,11365,45,78,,散布地,,,1,,,,,,,,,,,139.01920743687100,36.01077563333550
11365408200,11365,45,82,,散布地,,,1,,,1,1,,,,,,,139.01896442013500,36.009531197994700
11365408100,11365,45,81,,散布地,,,1,,,1,1,,,,,1,,139.02170915741400,36.008992867993500
11365409500,11365,45,95,,散布地,,,,,,1,1,,,,,,,139.0143427553170,36.015353249842800
11365405100,11365,45,51,,散布地,,,,,,1,1,,,,,,,139.04136575941000,36.01870783137280
11365407500,11365,45,75,,散布地,,,1,,,1,1,,,,,1,,139.02068874757400,36.0114780107093
11365500200,11365,51,2,常木遺跡,集落跡,,,1,,,,,,,,,,,138.94757446539600,36.01633236980190
11365500500,11365,51,5,薄氏館跡,城跡,,,,,,,,1,1,,,,,138.9745062068390,36.007148619497200
11365501000,11365,51,10,甲源一刀流逸見氏練武道場,その他,,,,,,,,,,,,,,138.98842925033800,36.024010616876600
11365500400,11365,51,4,柏沢遺跡,集落跡,,,1,,,,,,,,,,,138.9575516858380,36.009862983580000
11365500700,11365,51,7,塩沢城跡,城跡,,,,,,,,,,1,,,,138.9347533520570,35.99717673648110
11365501100,11365,51,11,フクジュソウ群落,その他,,,,,,,,,,,,,,138.87788995306500,35.97687607670430
11365501400,11365,51,14,フクジュソウ群落,その他,,,,,,,,,,,,,,138.94272092831500,35.97737172928870
11365500600,11365,51,6,薬師堂前遺跡,集落跡,,,1,,,,,,,,,,,138.97357923645100,36.007162505722200
11365500100,11365,51,1,御霊遺跡,集落跡,,,1,,,,,,,,,,,138.96946837572900,36.01603159265920
11365500900,11365,51,9,間庭遺跡,集落跡,,,1,,1,,,,,,,,,138.97107896588300,35.99444825760710
11365501500,11365,51,15,薬師堂遺跡,集落跡,,,1,,,,,,,,,,,138.9722288208330,36.00579523098540
11365501200,11365,51,12,フクジュソウ群落,その他,,,,,,,,,,,,,,138.9302159029010,36.00259334804770
11365500800,11365,51,8,小森遺跡,散布地,,,1,,,,,,,,,,,138.9695164859070,35.9969827031215
11365501300,11365,51,13,フクジュソウ群落,その他,,,,,,,,,,,,,,138.9160231376090,36.01034898962270
