JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11362007600,11362,47,76,鐘掛城,城跡,,,,,,,1,,,,,,,,139.01782696841400,36.09805273086910
11362007700,11362,47,77,金崎殿館,城跡,,,,,,,,,,,,,,,139.10451381430400,36.08410679605770
11362007800,11362,47,78,玉川氏館,その他,,,,,,,,,,,,,,,139.13369492207300,36.06772681208750
11362007900,11362,47,79,天神砦,城跡,,,,,,,,,,,1,,,,139.07684594147000,36.08412689192270
11362008000,11362,47,80,旗塚,城跡,,,,,,,,,,,1,,,,139.07388144583900,36.08056966474980
11362008100,11362,47,81,オリョウガイド遺跡,集落跡,,,1,,,,,,,,,,,,139.085992876054,36.07161301659640
11362008200,11362,47,82,一貫目遺跡,集落跡,,,1,,1,,,,,,,,,,139.08832513687500,36.072402245819800
11362008300,11362,47,83,大堺遺跡,散布地,,,1,,,,,,,,,1,,,139.1113416464890,36.08449523537020
11362008400,11362,47,84,梁瀬遺跡,散布地,,,1,,,,,,,,,,,,139.1107854741830,36.084326068962500
11362008500,11362,47,85,長興寺前遺跡,散布地,,,1,,1,,,,,,,1,,,139.1065968689970,36.08365295230940
11362008600,11362,47,86,金崎神社前遺跡,散布地,,,,,,,1,,,,,1,,,139.1072320162220,36.082570855341000
11362008700,11362,47,87,寿福院跡,寺院跡,,,,,,,,,,,,,,1,139.10786501852400,36.08199225875790
11362008800,11362,47,88,岩宮遺跡,散布地,,,,,1,,,,,,,1,,,139.1044146251090,36.08326858745940
11362008900,11362,47,89,中丸遺跡,散布地,,,,,1,,,,,,,,,,139.10232256744800,36.08368791578540
11362009000,11362,47,90,薬師堂遺跡,散布地,,,,,1,,,,,,,,,,139.10163371067200,36.084406166327000
11362009100,11362,47,91,中島Ⅰ遺跡,散布地,,,1,,,,,,,,,,,,139.11843338065300,36.08546772831450
11362009200,11362,47,92,中島Ⅱ遺跡,散布地,,,1,,,,,,,,,,,,139.11722130436400,36.084129520816000
11362009300,11362,47,93,中居遺跡,散布地,,,1,,,,,,,,,,,,139.11854610389900,36.083896938427700
11362009400,11362,47,94,寺の前遺跡,散布地,,,1,,,,,,,,,,,,139.11625007274000,36.08011023832490
11362009500,11362,47,95,下土京遺跡,散布地,,,1,,,,,,,,,1,,,139.11222533282400,36.07870144874290
11362009600,11362,47,96,摩尼山延命寺跡,寺院跡,,,,,,,,,1,1,,,,,139.11236266113900,36.077508291003700
11362009700,11362,47,97,上土京遺跡,散布地,,,1,,,,,,,,,,,,139.11083771845400,36.07618589335760
11362009800,11362,47,98,上戦場遺跡,散布地,,,1,,,,,,,,,,,,139.1193999161980,36.07281675007230
11362009900,11362,47,99,親鼻遺跡,散布地,,,1,,1,1,,,,,,,,,139.10375639269900,36.079143411983400
11362010000,11362,47,100,小池遺跡,散布地,,,1,,1,1,1,,,,,1,,,139.10155912655000,36.078172243736400
11362010100,11362,47,101,石神井遺跡,散布地,,,,,1,,,,,,,,,,139.10313841331400,36.07664609651640
