JASID,LGC,市町村番号,遺跡番号,遺跡名,種別,備考,旧石器,縄文,弥生,古墳,奈良,平安,鎌倉,南北朝,室町,戦国,江戸,近代,不明,経度,緯度
11341020500,11341,39,205,大道II遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.366174856847,36.06066505427
11341032600,11341,39,326,一天具遺跡,集落跡,,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.367652094281,36.057659975451
11341033900,11341,39,339,一天具III遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.367988013424,36.0546258233481
11341034000,11341,39,340,山屋敷南II遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.369906564791,36.0510402009352
11341034300,11341,39,343,東表遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.366208114428,36.0531590949076
11341024400,11341,39,244,西平前遺跡,集落跡,,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.349865371639,36.05373843748
11341033800,11341,39,338,一天具II遺跡,集落跡,,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.367447579159,36.055507126482
11341007300,11341,39,73,清水遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.377000415562,36.0476819162138
11341025500,11341,39,255,平谷古墳,古墳群,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.35499342756,36.0556204734687
11341028100,11341,39,281,溝半田遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.359306747044,36.0484922901263
11341028400,11341,39,284,川向遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.362942524613,36.0482400853259
11341034700,11341,39,347,表前遺跡,集落跡,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.363806880485,36.051664651988
11341034600,11341,39,346,西表遺跡,集落跡,,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,139.362722953755,36.0526219959227
11341028500,11341,39,285,新道下遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.364537800512,36.0477096743761
11341034400,11341,39,344,表古墳1,古墳,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.365100047546,36.0543432647467
11341034800,11341,39,348,表遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.362662879411,36.0548702697182
11341032400,11341,39,324,堀ノ内II遺跡,集落跡,,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.364830799759,36.0565949191027
