"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11209001600,11209,"飯能市","16","山際遺跡","散布地",35.8091253235303,139.503028104145,0,1,0,1,1,1,0,1,NA,0
11209001600,11209,"飯能市","16","山際遺跡","散布地",35.8091253235303,139.503028104145,0,1,0,1,1,1,0,1,NA,0
11209001900,11209,"飯能市","19","所沢市No.19遺跡","集落跡",35.8057841733045,139.389530012027,0,1,0,0,1,1,0,0,NA,0
11209001900,11209,"飯能市","19","所沢市No.19遺跡","集落跡",35.8057841733045,139.389530012027,0,1,0,0,1,1,0,0,NA,0
11209002000,11209,"飯能市","20","長割間遺跡","集落跡",35.8693107736303,139.275019928662,0,1,0,0,0,1,0,0,NA,0
11209002000,11209,"飯能市","20","長割間遺跡","集落跡",35.8693107736303,139.275019928662,0,1,0,0,0,1,0,0,NA,0
11209002200,11209,"飯能市","22","茶内遺跡","集落跡",35.8623941871003,139.221242563849,0,1,0,0,0,1,0,0,NA,0
11209002200,11209,"飯能市","22","茶内遺跡","集落跡",35.8623941871003,139.221242563849,0,1,0,0,0,1,0,0,NA,0
11209002300,11209,"飯能市","23","東の上遺跡","集落跡",35.79562185849,139.406035015769,0,1,1,1,1,1,0,0,NA,0
11209002300,11209,"飯能市","23","東の上遺跡","集落跡",35.79562185849,139.406035015769,0,1,1,1,1,1,0,0,NA,0
11209002400,11209,"飯能市","24","井戸ノ上遺跡","集落跡",35.9223607327544,139.207897512416,0,1,0,0,1,1,0,0,NA,0
11209002400,11209,"飯能市","24","井戸ノ上遺跡","集落跡",35.9223607327544,139.207897512416,0,1,0,0,1,1,0,0,NA,0
11209002500,11209,"飯能市","25","西川小遺跡","集落跡",35.9123272884843,139.231375041731,0,1,0,0,0,1,0,0,NA,0
11209002500,11209,"飯能市","25","西川小遺跡","集落跡",35.9123272884843,139.231375041731,0,1,0,0,0,1,0,0,NA,0
11209003200,11209,"飯能市","32","落合上ノ台遺跡","集落跡",35.8373787789208,139.297457920491,0,1,0,0,1,1,0,0,NA,0
11209003200,11209,"飯能市","32","落合上ノ台遺跡","集落跡",35.8373787789208,139.297457920491,0,1,0,0,1,1,0,0,NA,0
11209003300,11209,"飯能市","33","道間遺跡","集落跡",35.8348079009924,139.319575657988,1,1,0,1,0,1,1,0,NA,0
11209003300,11209,"飯能市","33","道間遺跡","集落跡",35.8348079009924,139.319575657988,1,1,0,1,0,1,0,0,NA,0
11209003500,11209,"飯能市","35","山口城跡","城跡",35.7893465884249,139.402903762984,0,0,0,1,1,1,1,0,NA,0
11209003500,11209,"飯能市","35","山口城跡","城跡",35.7893465884249,139.402903762984,0,0,0,1,1,1,0,0,NA,0
11209003500,11209,"飯能市","35","矢颪上ノ台遺跡","散布地",35.8421658382429,139.314280733468,0,1,0,0,0,1,1,0,NA,0
11209003500,11209,"飯能市","35","矢颪上ノ台遺跡","散布地",35.8421658382429,139.314280733468,0,1,0,0,0,1,0,0,NA,0
11209003800,11209,"飯能市","38","畦の前遺跡","集落跡",35.7949935330651,139.413303481292,0,1,0,1,1,1,0,0,NA,0
11209003800,11209,"飯能市","38","畦の前遺跡","集落跡",35.7949935330651,139.413303481292,0,1,0,1,1,1,0,0,NA,0
11209003800,11209,"飯能市","38","飯能上野遺跡","集落跡",35.8613482473075,139.313751354526,0,1,0,0,1,1,0,0,NA,0
11209003800,11209,"飯能市","38","飯能上野遺跡","集落跡",35.8613482473075,139.313751354526,0,1,0,0,1,1,0,0,NA,0
11209003900,11209,"飯能市","39","所沢市No.39遺跡","集落跡",35.7918374264938,139.420436973,0,1,0,1,1,1,0,0,NA,0
11209003900,11209,"飯能市","39","所沢市No.39遺跡","集落跡",35.7918374264938,139.420436973,0,1,0,1,1,1,1,0,NA,0
11209003900,11209,"飯能市","39","泉ヶ城","城跡",35.8616331316823,139.330305826112,0,0,0,0,0,1,0,0,NA,0
11209003900,11209,"飯能市","39","泉ヶ城","城跡",35.8616331316823,139.330305826112,0,0,0,0,0,1,1,0,NA,0
11209004000,11209,"飯能市","40","加治屋敷","城跡",35.8653347867054,139.328037470203,0,0,0,0,0,1,0,0,NA,0
11209004000,11209,"飯能市","40","加治屋敷","城跡",35.8653347867054,139.328037470203,0,0,0,0,0,1,1,0,NA,0
11209004100,11209,"飯能市","41","日向遺跡","集落跡",35.7870967019539,139.414793076462,1,1,1,1,1,1,0,0,NA,0
11209004100,11209,"飯能市","41","日向遺跡","集落跡",35.7870967019539,139.414793076462,1,1,1,1,1,1,0,0,NA,0
11209004200,11209,"飯能市","42","南打出遺跡","集落跡",35.7885271239317,139.403988789444,0,1,0,1,1,1,0,0,NA,0
11209004200,11209,"飯能市","42","南打出遺跡","集落跡",35.7885271239317,139.403988789444,0,1,0,1,1,1,0,0,NA,0
11209004300,11209,"飯能市","43","砂川遺跡","旧石器 散布地",35.795442850119,139.428596841797,1,1,0,1,1,1,0,0,NA,0
11209004300,11209,"飯能市","43","砂川遺跡","旧石器 散布地",35.795442850119,139.428596841797,1,1,0,1,1,1,0,0,NA,0
11209004700,11209,"飯能市","47","上北向遺跡","集落跡",35.7992170409431,139.419612136953,0,1,0,1,1,1,0,0,NA,0
11209004700,11209,"飯能市","47","上北向遺跡","集落跡",35.7992170409431,139.419612136953,0,1,0,1,1,1,0,0,NA,0
