"JASID","自治体コード","区市町村名","遺跡番号","遺跡名","種別","緯度","経度","P","J","Y","K","N","H","M","E","D","U"
11239004800,11239,"坂戸市","48","塚越渡戸遺跡","集落跡",35.9742224015756,139.430309540522,0,0,0,1,1,1,0,1,NA,0
11239005200,11239,"坂戸市","52","道場遺跡","集落跡",35.9704547287296,139.421378768994,0,0,0,0,0,0,0,1,NA,0
11239006400,11239,"坂戸市","64","番匠・下道遺跡","集落跡 墓",35.9642722665395,139.437779650872,0,1,0,0,1,1,1,1,NA,0
11239007500,11239,"坂戸市","75","大智寺遺跡","集落跡 城跡",35.9669512238747,139.409760105711,0,0,0,0,1,1,1,1,NA,0
11239007600,11239,"坂戸市","76","経塚遺跡","経塚",35.9697020917817,139.411442389038,0,0,0,0,0,0,0,1,NA,0
11239007700,11239,"坂戸市","77","鎌倉町遺跡","経塚",35.9670351320366,139.40309998878,0,0,0,0,0,0,0,1,NA,0
11239009600,11239,"坂戸市","96","浅羽橋場","経塚",35.9474521953429,139.380358604966,0,0,0,0,0,0,0,1,NA,0
11239011600,11239,"坂戸市","116","田島遺跡","集落跡",35.9680418911482,139.362724446976,0,0,0,1,1,1,0,1,NA,0
11239011700,11239,"坂戸市","117","足洗遺跡","集落跡",35.9690728363672,139.372724210816,0,1,0,0,1,1,0,1,NA,0
11239012500,11239,"坂戸市","125","三福寺遺跡、三福寺館","集落跡 城跡",35.9635903167124,139.362765822118,0,0,1,1,1,1,1,1,NA,0
11239012600,11239,"坂戸市","126","堀込城址群","城跡",35.9655001656652,139.365046757531,0,0,0,0,0,0,1,1,NA,0
11239014100,11239,"坂戸市","141","林氏館","城跡",35.9870798394025,139.434135407143,0,0,0,0,0,0,0,1,NA,0
11239014200,11239,"坂戸市","142","けやき台遺跡","窯跡",35.9307161461011,139.336945445902,0,0,0,0,0,0,0,1,NA,0
11239015400,11239,"坂戸市","154","鬼橋塚","その他",35.9646824801493,139.41885704829,0,0,0,0,0,0,0,1,NA,0
11241000800,11241,"鶴ヶ島市","8","台遺跡","集落跡",35.9436958943551,139.380132253834,0,0,0,1,0,0,1,1,NA,0
11241001600,11241,"鶴ヶ島市","16","お寺山遺跡","集落跡 墓",35.9269276096197,139.406759249253,0,1,0,0,0,0,1,1,NA,0
11241003000,11241,"鶴ヶ島市","30","高倉館","城跡",35.9373594473373,139.379486684793,0,0,0,0,0,0,0,1,NA,0
11241003300,11241,"鶴ヶ島市","33","（俗称）金塚かな古墳","古墳",35.9402173857888,139.393418317393,0,0,0,0,0,0,0,1,NA,0
11241003400,11241,"鶴ヶ島市","34","（俗称）旗塚古墳","経塚",35.9405333249069,139.394931129609,0,0,0,0,0,0,0,1,NA,0
11241003500,11241,"鶴ヶ島市","35","藤金富士塚","経塚",35.9360299241213,139.400116786818,0,0,0,0,0,0,0,1,NA,0
11241003600,11241,"鶴ヶ島市","36","宮裏神社跡","その他",35.9363063419835,139.400663406422,0,0,0,0,0,0,0,1,NA,0
11241005700,11241,"鶴ヶ島市","57","浅間塚","経塚",35.9401667876868,139.411780357641,0,0,0,0,0,0,0,1,NA,0
11241005800,11241,"鶴ヶ島市","58","東遺跡","城跡",35.9297652353622,139.405331615906,0,0,0,0,0,0,1,1,NA,0
11241006300,11241,"鶴ヶ島市","63","若葉台遺跡","集落跡",35.954904397356,139.41333489042,0,0,0,0,1,1,0,1,NA,0
11241006400,11241,"鶴ヶ島市","64","雷電池東遺跡","集落跡",35.9428463834903,139.397444472887,0,1,0,0,1,1,0,1,NA,0
11241006800,11241,"鶴ヶ島市","68","野々宮遺跡","集落跡",35.926454412198,139.360248027743,0,1,0,0,1,1,0,1,NA,0
11241006900,11241,"鶴ヶ島市","69","三ツ木屋敷","城跡",35.9302182700165,139.394146230708,0,0,0,0,0,0,1,1,NA,0
11241007500,11241,"鶴ヶ島市","75","北権現遺跡","その他",35.9457371971654,139.410981590939,0,1,0,0,1,1,1,1,NA,0
11241008200,11241,"鶴ヶ島市","82","岸田氏屋敷","城跡",35.940489335792,139.412940100381,0,0,0,0,0,0,1,1,NA,0
11241008500,11241,"鶴ヶ島市","85","向山遺跡","集落跡",35.9226599496883,139.39012627147,0,1,0,0,0,0,1,1,NA,0
11241009000,11241,"鶴ヶ島市","90","新田遺跡Ｂ","集落跡",35.9267451739196,139.401103108656,0,0,0,0,0,0,0,1,NA,0
11241009200,11241,"鶴ヶ島市","92","柳戸遺跡","集落跡",35.9287021625328,139.396839589176,1,1,1,0,0,0,1,1,NA,0
11241009700,11241,"鶴ヶ島市","97","当貫遺跡","その他",35.9365221943142,139.382691796149,0,1,0,0,1,1,1,1,NA,0
11241009800,11241,"鶴ヶ島市","98","後遺跡Ｂ","集落跡",35.9315050007462,139.405443892791,0,1,0,0,1,1,0,1,NA,0
11241010100,11241,"鶴ヶ島市","101","川崎平右衛門陣屋","散布地",35.9339048174602,139.387545630221,0,1,0,0,0,0,0,1,NA,0
11241010400,11241,"鶴ヶ島市","104","宮週館跡","城跡",35.9504437666815,139.423459035431,0,0,0,0,0,0,1,1,NA,0
11242008900,11242,"日高市","89","小竹遺跡","集落跡",35.8921815867326,139.328291237427,0,0,0,0,0,0,1,1,NA,0
11245251000,11245,"ふじみ野市","10","松山遺跡","集落跡",35.8734241965474,139.531418450164,0,0,0,0,1,1,1,1,NA,0
11245251300,11245,"ふじみ野市","13","駒林遺跡","墓　その他",35.8677443016452,139.527009645603,0,0,0,0,0,0,1,1,NA,0
11245251500,11245,"ふじみ野市","15","福岡新田遺跡","寺院跡　散布地",35.8696509151434,139.533766578944,0,1,0,0,0,0,1,1,NA,0
11245251900,11245,"ふじみ野市","19","城山遺跡","城跡",35.875121007294,139.54774904542,0,0,0,0,0,0,1,1,NA,0
11245300100,11245,"ふじみ野市","1","西ノ原遺跡","集落跡",35.8552273432606,139.520582776076,1,1,0,0,1,1,1,1,NA,0
11245300700,11245,"ふじみ野市","7","江川南遺跡","集落跡",35.8632911595658,139.51071267544,1,1,0,0,0,0,1,1,NA,0
11245300800,11245,"ふじみ野市","8","東中学校西遺跡","集落跡",35.8598722016215,139.514612957143,0,1,0,0,0,0,0,1,NA,0
11245300900,11245,"ふじみ野市","9","東久保遺跡","集落跡",35.8635491881425,139.515130341451,1,1,0,0,0,0,0,1,NA,0
11245301000,11245,"ふじみ野市","10","大井宿遺跡","その他（宿場跡）",35.851761924216,139.516856822781,0,0,0,0,0,0,0,1,1,0
11245301400,11245,"ふじみ野市","14","大井戸上遺跡","集落跡",35.8483424690233,139.520040726212,1,0,0,0,0,0,0,1,NA,0
