"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11229003900,11229,"和光市",39,"越之上遺跡","集落跡",35.77734041,139.6218684,NA,1,1,NA,NA,NA,0,NA,NA,NA
11229004000,11229,"和光市",40,"白子向山遺跡","",35.76957197,139.6212962,NA,1,1,NA,NA,1,1,NA,NA,NA
11229004100,11229,"和光市",41,"越後山遺跡","集落跡",35.77210995,139.6153071,1,1,1,1,NA,NA,0,NA,NA,NA
11230000300,11230,"新座市",3,"","集落跡",35.81941141,139.5459192,NA,1,1,1,NA,NA,0,NA,NA,NA
11230003200,11230,"新座市",32,"跡見学園新座町グランド遺跡","集落跡",35.8167907,139.5434015,NA,1,1,NA,NA,NA,0,NA,NA,NA
11230004100,11230,"新座市",41,"","散布地",35.82057734,139.5428982,NA,NA,1,NA,NA,NA,0,1,NA,NA
11230004200,11230,"新座市",42,"","散布地",35.81675875,139.5470205,NA,1,1,NA,NA,1,0,NA,NA,NA
11230004300,11230,"新座市",43,"","散布地",35.81528271,139.5484818,NA,NA,1,NA,NA,1,0,NA,NA,NA
11230004400,11230,"新座市",44,"","その他",35.81404535,139.5496643,NA,1,1,NA,1,1,1,NA,NA,NA
11230004600,11230,"新座市",46,"","散布地",35.81757837,139.5545682,NA,1,1,NA,1,1,1,NA,NA,NA
11230005000,11230,"新座市",50,"","",35.80338842,139.557432,NA,NA,1,NA,NA,1,0,NA,NA,NA
11230005700,11230,"新座市",57,"","散布地",35.79511733,139.5771365,NA,NA,1,NA,NA,NA,0,1,NA,NA
11230006200,11230,"新座市",62,"","散布地",35.78768816,139.5761341,1,1,1,NA,NA,1,0,NA,NA,NA
11230006300,11230,"新座市",63,"","散布地",35.78702278,139.5780585,NA,1,1,NA,NA,NA,0,NA,NA,NA
11230009200,11230,"新座市",92,"","散布地",35.76809427,139.5657808,NA,NA,1,1,NA,NA,0,NA,NA,NA
11235001100,11235,"富士見市",11,"伊佐島遺跡","集落跡",35.86874966,139.5465582,NA,NA,1,NA,NA,1,0,NA,NA,NA
11235003900,11235,"富士見市",39,"打越遺跡","貝塚 集落跡 城跡",35.84456215,139.5513615,1,1,1,1,1,NA,1,NA,NA,NA
11235004000,11235,"富士見市",40,"松山遺跡","貝塚 集落跡 墓",35.84385094,139.5560155,NA,1,1,1,NA,1,1,1,NA,NA
11235004100,11235,"富士見市",41,"氷川前遺跡","貝塚 集落跡 古墳 その他",35.84653252,139.5588217,1,1,1,1,NA,1,0,NA,NA,NA
11235004200,11235,"富士見市",42,"水子貝塚","貝塚 集落跡",35.84526472,139.5609198,1,1,1,1,NA,1,1,1,NA,NA
11235004400,11235,"富士見市",44,"観音前遺跡","集落跡 墓 その他",35.84374953,139.5685873,1,1,1,1,NA,1,1,1,NA,NA
11235004600,11235,"富士見市",46,"東台遺跡","貝塚 集落跡",35.83911101,139.5626746,NA,1,1,NA,NA,1,1,1,NA,NA
11235004700,11235,"富士見市",47,"正網遺跡","集落跡",35.83775584,139.5597561,NA,1,1,NA,NA,1,1,NA,NA,NA
11235004900,11235,"富士見市",49,"栗谷ツ遺跡","集落跡 窯跡 その他",35.83614773,139.5551403,1,1,1,NA,NA,1,1,NA,NA,NA
11235005000,11235,"富士見市",50,"別所遺跡","集落跡",35.83487977,139.5572765,NA,1,1,1,NA,1,1,NA,NA,NA
11235005100,11235,"富士見市",51,"北通遺跡","貝塚 集落跡 古墳 墓",35.83324067,139.5541485,1,1,1,1,1,1,1,NA,NA,NA
11235005200,11235,"富士見市",52,"南通遺跡","貝塚 集落跡",35.83005516,139.5518215,NA,1,1,1,1,1,0,1,NA,NA
11235005300,11235,"富士見市",53,"上内手遺跡","集落跡",35.86850697,139.5508865,NA,NA,1,1,1,1,1,1,NA,NA
11235005500,11235,"富士見市",55,"難波田氏館跡","集落跡 寺院跡 城跡",35.85808913,139.5676339,NA,NA,1,1,NA,NA,1,1,NA,NA
11239003700,11239,"坂戸市",37,"北方遺跡","集落跡",35.965117,139.4472998,NA,1,1,1,1,1,0,NA,NA,NA
11239004000,11239,"坂戸市",40,"寺脇遺跡","集落跡",35.96994351,139.4448409,NA,NA,1,NA,NA,NA,0,NA,NA,NA
11239004200,11239,"坂戸市",42,"小沼堀之内遺跡","集落跡",35.97159895,139.4457469,NA,1,1,1,1,1,0,NA,NA,NA
