"JASID","LGC","Admin_no","Site_no","SiteName","SiteType","Note","P","J","Y","K","N","H","Ka","Na","Mu","Se","E","D","U","Lon","Lat"
11341004700,11341,39,47,"中里前遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3764131,36.08187073
11341036900,11341,39,369,"宮田遺跡","集落跡","",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3763445,36.08414591
11341002700,11341,39,27,"根肥遺跡","集落跡","",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3772028,36.08536672
11341002600,11341,39,26,"根肥南遺跡","集落跡","",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3769624,36.08639329
11341008200,11341,39,82,"西山古墳群","古墳群 古墳","",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3632317,36.07208878
11341008300,11341,39,83,"糟沢古墳群","古墳群 古墳","",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3630507,36.0758308
11341007800,11341,39,78,"中山古墳群","集落跡 古墳","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3675191,36.07668657
11341008700,11341,39,87,"矢崎遺跡","集落跡 古墳群","",NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,139.3613435,36.08233998
11341008600,11341,39,86,"分山谷古墳群","古墳群","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3636781,36.08025897
11341031800,11341,39,318,"妻前II遺跡","その他","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3622041,36.08377322
11341004200,11341,39,42,"妻前遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3611872,36.083817
11341004100,11341,39,41,"妻前西遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3629562,36.08430857
11341004000,11341,39,40,"小川谷東遺跡","集落跡 散布地","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3662177,36.08558486
11341005100,11341,39,51,"谷城遺跡","城跡","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,139.3738871,36.0711236
11341005000,11341,39,50,"東遺跡","集落跡","",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,139.3727939,36.07262044
11341007900,11341,39,79,"城山北遺跡","集落跡","",NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,139.3676511,36.07262613
11341003200,11341,39,32,"鎌倉街道","その他","",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,139.3688257,36.08325805
11341007700,11341,39,77,"矢崎前遺跡","集落跡","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3699773,36.07668195
