"JASID","LGC","Name","Site_no","SiteName","SiteType","Lat","Lon","P","J","Y","K","N","H","M","E","D","U"
11207001706,11207,"秩父市",NA,"大野原古墳群６号墳","古墳群",36.03511833,139.1038289,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001707,11207,"秩父市",NA,"大野原古墳群７号墳","古墳群",36.03490656,139.1036825,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001708,11207,"秩父市",NA,"大野原古墳群８号墳","古墳群",36.03440668,139.1035112,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001709,11207,"秩父市",NA,"大野原古墳群９号墳","古墳群",36.03337666,139.1014444,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001710,11207,"秩父市",NA,"大野原古墳群１０号墳","古墳群",36.03326512,139.1010651,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001711,11207,"秩父市",NA,"大野原古墳群２３号墳","古墳群",36.02595995,139.1017148,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001901,11207,"秩父市",NA,"大野原古墳群","古墳群",36.03003729,139.1033876,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001902,11207,"秩父市",NA,"大野原古墳群","古墳群",36.02979632,139.1037388,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001903,11207,"秩父市",NA,"大野原古墳群","古墳群",36.02987267,139.104155,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207001904,11207,"秩父市",NA,"大野原古墳群","古墳群",36.03013644,139.1035542,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207002001,11207,"秩父市",NA,"大野原古墳群","古墳群",36.02869219,139.11073,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207002002,11207,"秩父市",NA,"大野原古墳群","古墳群",36.02906923,139.1107254,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207002003,11207,"秩父市",NA,"大野原古墳群","古墳群",36.02935953,139.109664,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207002004,11207,"秩父市",NA,"大野原古墳群","古墳群",36.02949836,139.1096297,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207002005,11207,"秩父市",NA,"大野原古墳群","古墳群",36.02938036,139.1094495,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207002006,11207,"秩父市",NA,"大野原古墳群","古墳群",36.02938036,139.1092349,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207002007,11207,"秩父市",NA,"大野原古墳群","古墳群",36.02925317,139.1091718,NA,NA,NA,1,NA,NA,0,NA,NA,NA
11207002300,11207,"秩父市",23,"","集落跡",36.02343495,139.0805447,NA,NA,NA,1,1,1,0,NA,NA,NA
11207002600,11207,"秩父市",26,"大塚古墳","古墳",36.02091913,139.0775113,NA,NA,NA,1,NA,NA,0,NA,NA,NA
