JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13115015500,13115,155,,杉並区No.155遺跡,杉並区 天沼二丁目,[縄文時代][奈良時代][平安時代],包蔵地,,縄文土器　土師器,139.6233341,35.70606176,,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13115015600,13115,156,,杉並区No.156遺跡,杉並区 阿佐谷北三丁目,[縄文時代],包蔵地,,縄文土器,139.6304753,35.70926773,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115015700,13115,157,,杉並区No.157遺跡,杉並区 阿佐谷北二丁目,[古墳時代],包蔵地,,土師器,139.6350758,35.70611752,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115015800,13115,158,,杉並区No.158遺跡,杉並区 阿佐谷北二丁目,[縄文時代（前期）],包蔵地,,縄文土器,139.6334278,35.70597813,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115015900,13115,159,,杉並区No.159遺跡,杉並区 阿佐谷北一丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6366894,35.70871018,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115016000,13115,160,あさがやほんむら,阿佐谷本村遺跡,杉並区 阿佐谷北一丁目,[旧石器時代][縄文時代（中期～後期）][古墳時代][近世],包蔵地,[旧石器時代]石器集中部[縄文時代]土坑　ピット[近世]地下室　土坑　ピット,[旧石器時代]ナイフ形石器[縄文時代]縄文土器[古墳時代]土師器[近世]陶磁器　土器,139.6374104,35.70698175,,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115016100,13115,161,,杉並区No.161遺跡,杉並区 阿佐谷北五丁目,[縄文時代],包蔵地,,縄文土器,139.6396076,35.71055008,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13115016200,13115,162,,杉並区No.162遺跡,杉並区 阿佐谷南一丁目,[古墳時代][奈良時代][平安時代],包蔵地,,土師器,139.6417706,35.6995658,,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13115016300,13115,163,,杉並区No.163遺跡,杉並区 高円寺南三丁目,[縄文時代（中期）][近世],包蔵地,,縄文土器　土器,139.6466114,35.70093195,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13115016400,13115,164,,杉並区No.164遺跡,杉並区 高円寺南四丁目,[近世],包蔵地,,土器,139.6524792,35.70406573,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
