JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13114006100,13114,61,ももぞのちょういせき,桃園町遺跡,中野区 中野三丁目,[縄文時代],包蔵地,,,139.66333,35.702892,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114006200,13114,62,ふみぞのちょういせき,文園町遺跡,中野区 中野六丁目,[縄文時代],包蔵地,,縄文土器,139.6750787,35.70727661,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114006300,13114,63,たかねちょういせき,高根町遺跡,中野区 東中野二丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6788209,35.70404268,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114006400,13114,64,,中野区No.64遺跡,中野区 東中野五丁目,[旧石器時代],包蔵地,[旧石器時代]礫群,石核　剥片　スクレイパー,139.689224,35.708805,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114006500,13114,65,,中野区No.65遺跡,中野区 東中野五丁目,[古墳時代][奈良時代],包蔵地,[古墳時代]横穴,人骨,139.689224,35.708805,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13114006600,13114,66,とうやまこふんぐんいせき,塔山古墳群,中野区 中央一丁目,[古墳時代],古墳,,鉄釘　直刀,139.6838773,35.6989713,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114007100,13114,71,,中野区No.71遺跡,中野区 中央一丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6837743,35.69830215,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114007200,13114,72,じょうがんじいせき,成願寺遺跡,中野区 本町二丁目,[古墳時代][奈良時代],包蔵地,[古墳時代][奈良時代]横穴墓,,139.6802724,35.6942035,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13114007300,13114,73,とうごうちょういせき,東郷町遺跡,中野区 本町三丁目,[弥生時代],包蔵地,,弥生土器,139.6771138,35.69492845,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114007400,13114,74,どうげんちょう,道玄町遺跡,中野区 本町三丁目,[弥生時代],包蔵地,,弥生土器,139.6758092,35.69593221,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114007500,13114,75,みやさとちょうひかわじんじゃ,宮里町氷川神社遺跡,中野区 本町四丁目,[弥生時代][奈良時代][平安時代],包蔵地,,弥生土器　土師器　須恵器　鈴　鏡破片　刀剣　鉄滓,139.6740239,35.69423138,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13114007600,13114,76,みやさとちょう,宮里町遺跡,中野区 本町四丁目,[弥生時代],包蔵地,,弥生土器,139.6723073,35.69431503,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114007700,13114,77,,中野区No.77遺跡,中野区 本町五丁目,[古墳時代][奈良時代],包蔵地,[古墳時代][奈良時代]横穴墓,,139.670213,35.69333913,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13114007800,13114,78,ちよだちょう,千代田町遺跡,中野区 本町五丁目,[縄文時代（中期）],包蔵地,,縄文土器　打製石斧,139.6679815,35.69303242,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13114007900,13114,79,,中野区No.79遺跡,中野区 本町六丁目,[奈良時代][平安時代],包蔵地,,土師器,139.66447,35.69528811,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13114008000,13114,80,,中野区No.80遺跡,中野区 本町六丁目,[縄文時代（中期）],包蔵地,,縄文土器　打製石斧　石皿　凹石,139.6663583,35.69684951,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
