JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Unnamed: 12,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13208004700,13208,47,こくりょうみなみいせき,国領南遺跡,調布市 国領町五丁目　 国領町六丁目,[旧石器時代][縄文時代（早期・中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　集石　陥し穴　埋甕　[古墳時代]方形周溝墓　土壙墓　[古墳時代][奈良時代][平安時代]住居　掘立柱建物　溝　[中世]地下式土坑　[近世]土坑　溝,ナイフ形石器　縄文土器　土製品　土師器　須恵器　鉄製品　陶磁器,139.5532333,35.64551589,,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13208004800,13208,48,あげきゅういせき,上ヶ給遺跡,調布市 国領町四丁目　 国領町七丁目,[縄文時代（中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居　集石　炉　貯蔵穴　陥し穴　土坑　[古墳時代]住居　土坑　道路　溝　土師器焼成工房　製鉄工房　[中世][近世]土坑　溝,縄文土器　石器　土師器　須恵器　鉄鎌　刀子　釘　鉄鏃　鉄滓　石製品　羽口　勾玉　管玉　陶磁器,139.5602214,35.6443852,,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13208004900,13208,49,そめちいせき,染地遺跡,調布市 染地二丁目　 染地三丁目,[縄文時代（晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代],集落,[弥生時代]住居　炉　[古墳時代]土坑　生産工房　[古墳時代][奈良時代][平安時代]住居　道路　溝　鍛冶工房　[中世]溝　濠　[近世]土葬墓,縄文土器　石器　石製品　弥生土器　土師器　須恵器　墨書土器　陶器（灰釉・緑釉）　紡錘車　勾玉　臼玉　ガラス玉　金属製品　陶磁器　板碑　小鉄仏　瓦　銭貨　木製品,139.5573796,35.64174287,,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13208005000,13208,50,とびたきゅうきたいせき,飛田給北遺跡,調布市 西町　 飛田給一丁目,[旧石器時代][縄文時代（中期）][奈良時代][平安時代][近世],集落,[旧石器時代]礫群　[縄文時代]土坑　陥穴　[古墳時代]住居　竪穴状遺構　竈　土坑　竪穴住居　[近世]ピット列　土坑　溝,ナイフ形石器　細石刃　掻器　敲石　磨石　石核　剥片　砕片　縄文土器　打斧　礫器　石槍　石皿　磨石　土玉　土師器　須恵器　砥石　帯金具　陶磁器　打製石斧　墨書土器,139.5240667,35.66610443,,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13208005101,13208,51,とびたきゅう1ごうふん,飛田給1号墳,調布市 飛田給二丁目,[古墳時代],古墳,[古墳時代]周溝,土師器,139.5199084,35.65960051,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208005102,13208,51,とびたきゅう2ごうふん,飛田給2号墳,調布市 飛田給二丁目,[古墳時代],古墳,[古墳時代]周溝,土師器,139.5197901,35.65949224,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208005103,13208,51,とびたきゅう3ごうふん,飛田給3号墳,調布市 飛田給二丁目,[古墳時代],古墳,[古墳時代]周溝,土師器,139.5193283,35.65962784,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208005104,13208,51,とびたきゅう4ごうふん,飛田給4号墳,調布市 飛田給二丁目,[古墳時代],古墳,[古墳時代]周溝,土師器　青銅製品,139.5191167,35.65957043,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208005105,13208,51,とびたきゅう5ごうふん,飛田給5号墳,調布市 飛田給二丁目,[古墳時代],古墳,[古墳時代]周溝,,139.5202279,35.65927492,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208005106,13208,51,さくらづか1ごうこふん,桜塚1号古墳,調布市 飛田給二丁目,[古墳時代],古墳,,,139.5199443,35.65879903,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13208005107,13208,51,さくらづか2ごうこふん,桜塚2号古墳,調布市 飛田給二丁目,[古墳時代],古墳,[古墳時代]横穴式石室,鉄鏃　刀子　玉類　金環　銀環　陶磁器,139.5219643,35.65781005,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
