JASID,LGC,Site_no,SiteName_furigana,SiteName_original,Address,Chronology,SiteType,ArchaeologicalFeatures,MajorArtefacts,Lon,Lat,Pa,Jo,Ya,Ko,As,An,Na,He,Me,Ka,Nb,Mu,Se,EM,AM,Ed,Md,Pr,Un
13112021400,13112,214,まるやまみなみいせき,丸山南遺跡,世田谷区 深沢五丁目,[縄文時代（中期）],包蔵地,,縄文土器,139.6465816,35.61714492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112021500,13112,215,しょうぎやまいせき,将監山遺跡,世田谷区 瀬田四丁目,[旧石器時代][縄文時代][古墳時代][奈良時代],包蔵地,,剥片 縄文土器 石器 土師器 陶磁器,139.6279678,35.61990997,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13112021600,13112,216,せたちゅうがっこういせき,瀬田中学校遺跡,世田谷区 瀬田二丁目,[平安時代],墓地,,蔵骨器 人骨,139.6334266,35.61805402,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13112021700,13112,217,やざわだいいせき,谷沢台遺跡,世田谷区 中町二丁目,[縄文時代],包蔵地,,縄文土器 石器,139.6426677,35.61209313,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112021800,13112,218,いなりざかいせき,稲荷坂遺跡,世田谷区 上野毛二丁目 上野毛三丁目,[中世],包蔵地,,板碑,139.6357599,35.61034736,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13112021900,13112,219,いなりまるいせき,稲荷丸遺跡,世田谷区 上野毛二丁目 上野毛三丁目,[縄文時代（前期〜中期）],包蔵地,,縄文土器,139.637116,35.6092867,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112022000,13112,220,いなりまるづか,稲荷丸塚,世田谷区 上野毛二丁目,[古墳],古墳,,,139.6366354,35.60977516,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112022200,13112,222,とどろきねおうけつぼ,等々力根横穴墓,世田谷区 等々力一丁目,[古墳時代],横穴墓,,人骨,139.6492212,35.60229563,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112022300,13112,223,とどろきひがしはら,等々力東原遺跡,世田谷区 等々力六丁目,[縄文時代（前期）],包蔵地,,縄文土器,139.6593532,35.61259553,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13112022400,13112,224,どうのさかいせき,堂の坂遺跡,世田谷区 尾山台一丁目 尾山台二丁目,[中世],出土地,,板碑 人骨,139.6552733,35.59994465,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13112022700,13112,227,おおひらとりであと,大平砦跡,世田谷区 奥沢一丁目 奥沢三丁目,[中世],城館,,,139.677948,35.601883,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13112022800,13112,228,ふかさわじょうあと,深沢城跡,世田谷区 中町二丁目 等々力三丁目 等々力八丁目,[中世],城館,,,139.6476802,35.61371197,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13112023200,13112,232,まつばいせき,松場遺跡,世田谷区 喜多見八丁目,[古墳時代][近世],包蔵地,,土師器 カワラケ,139.5891994,35.63644473,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112023300,13112,233,みしまのやしき・しもがくとうみなみいせき,三島野屋敷・下覚東南遺跡,世田谷区 喜多見九丁目,[縄文時代（草創期〜中期）][弥生時代][古墳時代][奈良時代][平安時代][近世],集落,,縄文土器 弥生土器 土師器 陶磁器,139.585719,35.64107299,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
13112023500,13112,235,あいのはら,相之原遺跡,世田谷区 喜多見四丁目,[縄文時代（中期）][古墳時代][奈良時代][近世],集落,[古墳時代]住居 [奈良時代]住居 ピット 土坑 溝 [近世]ピット,縄文土器 土師器 須恵器 鉄鏃 砥石 滑石製臼玉 石製模造品 陶磁器 鉄滓 埴輪 紡錘車,139.5926841,35.63108708,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
13112023700,13112,237,しものげはらいなりいせき,下野毛原稲荷遺跡,世田谷区 野毛一丁目,[中世],単独出土地,,板碑,139.644508,35.60183593,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13112023800,13112,238,はちまんやまいなりまえいせき,八幡山稲荷前遺跡,世田谷区 八幡山一丁目,[縄文時代（早期・中期）][中世][近世],集落,[縄文時代]土坑 ピット [中世][近世]溝 井戸 土坑 ピット,縄文土器 石器 土製品 陶磁器 土師質土器 煙管 鉄製石 碁石,139.6197138,35.66181788,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13112023900,13112,239,かねづか,カネ塚,世田谷区 南烏山二丁目,[中世][近世],塚,,陶器 石碑,139.6082034,35.66783259,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13112024000,13112,240,こがやいせき,児ヶ谷遺跡,世田谷区 八幡山三丁目,[中世][近世],包蔵地,,土師器 陶磁器,139.6136568,35.66900123,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13112024100,13112,241,まるしたいせき,丸下遺跡,世田谷区 八幡山一丁目 上北沢一丁目,[縄文時代（早期〜中期）][近世],集落,,縄文土器 石器,139.6237425,35.66276092,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112024200,13112,242,しんぱちやまいせき,新八山遺跡,世田谷区 上北沢一丁目 桜上水五丁目,[縄文時代（中期）][古墳時代][近世],集落,[縄文時代]ピット [近世]溝 土坑 ピット,縄文土器 土師器 磁器 石臼 陶磁器,139.6283087,35.66380693,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112024300,13112,243,ほしのづか,星野塚,世田谷区 船橋五丁目,[中世],塚,,,139.6265406,35.65754063,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13112024400,13112,244,はんだづか,半田塚,世田谷区 松原六丁目,[近世],塚,,陶磁器,139.648474,35.65996196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13112024500,13112,245,いしいどづか,石井土塚,世田谷区 大蔵三丁目,[古墳時代][奈良時代][平安時代][中世][近世],塚？,方墳,,139.6073487,35.63401113,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
13112024600,13112,246,かるたいせき,嘉留多遺跡,世田谷区 成城一丁目,[旧石器時代][縄文時代（早期〜晩期）][奈良時代][平安時代],集落,[旧石器時代]ブロック 礫群 炭化物集中箇所 [縄文時代]住居 竪穴状遺構 集石土坑 炉穴群 土坑 ピット [近世]溝状遺構 道路,縄文土器 石器 弥生土器 土師器 須恵器 炭化果核 銭貨,139.6031945,35.63250431,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
