fid,JASID,SiteName,Lon,Lat,P,J,Y,K,N,H,M,Alt,属性1
"39","11202402800",西浦町遺跡,139.395834,36.10870731,"0","0","0","1","1","0","0",23.2999992370605,低地
"40","11202402900",宮前遺跡,139.3995704,36.1104531,"0","0","0","1","1","0","0",22.2000007629395,低地
"41","11202403000",宮前町遺跡,139.4008355,36.10832377,"0","0","0","1","1","0","0",22.7000007629395,低地
"42","11202403100",宮町遺跡,139.4001502,36.10329833,"0","0","0","1","1","0","0",22.5,低地
"43","11202403200",中街遺跡,139.4051289,36.09896536,"0","0","0","1","1","0","0",22.3999996185303,低地
"44","11202403300",旭町遺跡,139.4137778,36.10619123,"0","0","0","1","1","0","0",21.1000003814697,低地
"45","11202403400",北町遺跡,139.4130925,36.10291186,"0","0","0","1","1","0","0",21.5,低地
"46","11202403500",高城町遺跡,139.4108786,36.09520269,"0","0","0","1","1","0","0",21.2000007629395,低地
"47","11202403600",北谷南遺跡,139.4238424,36.07327349,"0","0","1","0","0","0","0",42.5,丘陵地
"48","11202403700",上吉原遺跡,139.4150203,36.09300722,"0","0","0","1","1","0","0",19.8999996185303,低地
"49","11202403800",下中遺跡,139.4153147,36.09062684,"0","0","0","1","1","0","0",20.2999992370605,低地
"50","11202403900",成願遺跡,139.4198171,36.09104781,"0","0","1","1","1","0","0",19.8999996185303,低地
"51","11202404000",箕輪遺跡,139.4135225,36.08640965,"0","0","0","0","0","1","1",22.6000003814697,低地
"52","11202404100",中廓遺跡,139.4152093,36.08560027,"0","1","1","1","1","0","0",21.1000003814697,低地
"53","11202404200",賢木岡遺跡,139.411638,36.08417134,"0","0","1","1","1","0","0",25.2999992370605,低地
"54","11202404300",番場遺跡,139.4139046,36.08357494,"0","0","1","0","0","0","0",23.5,低地
"55","11202404400",番場南遺跡,139.4110073,36.08176072,"0","0","0","1","1","0","0",34,低地
"56","11202404500",賢木岡東遺跡,139.4093392,36.07768625,"1","0","1","0","0","0","0",45.0999984741211,丘陵地
"57","11202404600",桜谷遺跡,139.4159994,36.07568035,"1","0","0","1","1","0","0",43.5,丘陵地
"58","11202404700",大林東遺跡,139.4172874,36.07504555,"0","0","0","1","1","0","0",45,丘陵地
"59","11202404800",桜谷東遺跡,139.4143971,36.07923508,"1","0","0","1","1","0","0",43.4000015258789,低地
"60","11202404900",大林遺跡,139.4202865,36.07767636,"0","0","0","1","1","0","0",29.2000007629395,丘陵地
"61","11202405000",大境南遺跡,139.420399,36.0738461,"0","0","1","1","1","0","0",45.5,丘陵地
"62","11202405100",大境遺跡,139.4210091,36.07518801,"1","1","1","1","1","0","0",40.2999992370605,丘陵地
"63","11202405200",南谷西遺跡,139.4231512,36.07174993,"0","0","1","0","0","0","0",45.0999984741211,丘陵地
"64","11202405300",南谷遺跡,139.4239995,36.0722324,"0","0","0","1","1","0","0",45.4000015258789,丘陵地
"65","11202405400",南谷北遺跡,139.426607,36.07301957,"0","0","0","1","1","0","0",40,丘陵地
"66","11202405500",下田町遺跡,139.4250357,36.09641478,"0","0","1","0","0","0","0",20.2000007629395,低地
"67","11202405600",賢木岡西古墳群3号墳,139.4081768,36.08060615,"0","0","1","0","0","0","0",35.5,低地
"68","11202405700",阿諏訪野古墳,139.4135153,36.08150144,"0","0","1","0","0","0","0",32.5,低地
"69","11202405800",楓山西遺跡,139.4150255,36.07847337,"0","0","1","0","0","0","0",36.5999984741211,低地
"70","11202405900",桜谷北遺跡,139.4146799,36.07768625,"1","0","0","0","0","0","0",36.7000007629395,丘陵地
"71","11202406000",阿諏訪野東遺跡,139.4157458,36.08073975,"0","1","1","0","0","0","0",33.5,低地
"72","11202406100",仲町遺跡,139.4046308,36.10355387,"0","0","0","1","1","0","0",21.8999996185303,低地
"73","11202406200",楓山北遺跡,139.4165963,36.07953977,"0","0","0","1","1","0","0",32,低地
"74","11202406300",円山古墳群3号墳,139.4188874,36.08117138,"0","0","1","0","0","0","0",20.7000007629395,低地
"75","11202406400",雷遺跡,139.42322706593,36.07966293,"0","0","0","1","1","0","0",19.7999992370605,低地
"76","11202406500",小八林大境遺跡,139.436986,36.07969302,"0","0","0","1","1","0","0",19.5,低地
"77","11202406600",前野遺跡,139.434944,36.07791569,"0","0","0","1","1","0","0",18.3999996185303,低地
"78","11202406700",高畑遺跡,139.4238015,36.0897323,"0","0","0","1","1","0","0",19.7000007629395,低地
"79","11202406800",阿諏訪野西古墳,139.4120702,36.08068897,"0","0","1","0","0","0","0",41.5,低地
"80","11202406900",下恩田中町遺跡,139.3874448,36.10846693,"0","0","0","1","1","0","0",24,低地
"81","11202500100",姥ヶ沢遺跡,139.3137242,36.1266084,"1","1","1","1","1","0","0",65.8000030517578,低地
"82","11202500200",新田裏遺跡,139.3141092,36.13181308,"0","0","1","1","1","0","0",51.5,
"83","11202500300",富士山遺跡,139.3175922,36.12655881,"1","0","1","0","0","0","0",61.7000007629395,低地
"84","11202500400",大林遺跡,139.32189,36.12913751,"0","0","1","1","1","0","0",49.7999992370605,低地
"85","11202500500",新屋敷遺跡,139.3283366,36.12953422,"0","0","0","0","0","1","1",47.5999984741211,低地
"86","11202500600",堀ノ内遺跡,139.3264802,36.13306202,"0","0","0","0","0","1","1",46.7000007629395,
"87","11202500700",中屋敷遺跡,139.3283366,36.1296334,"0","0","1","1","1","1","1",47.5999984741211,低地
"88","11202500800",権現坂埴輪窯跡群,139.3220128,36.12521984,"1","0","1","0","0","0","0",54.2999992370605,低地
