JASID,LGC,Site_no,SiteName,Address,Chronology,Lat,Lon,P,J,Y,K,N,H,M,E,D,U
14134004600,14134,高津区No.46,,高津区下作延3-27,縄文,35.59144154,139.595214,0,1,0,0,0,0,0,0,0,0
14134004700,14134,高津区No.47,上作延神明社脇遺跡,高津区向ヶ丘28ほか,縄文　弥生,35.59359125,139.5959694,0,1,1,0,0,0,0,0,0,0
14134004800,14134,高津区No.48,上作延南原東遺跡,高津区上作延1066ほか,縄文　奈良　平安,35.59572693,139.5966903,0,1,0,0,1,1,0,0,0,0
14134004900,14134,高津区No.49,上作延神明社脇遺跡,高津区下作延1118ほか,縄文　奈良　平安,35.5956013,139.5990078,0,1,0,0,1,1,0,0,0,0
14134005000,14134,高津区No.50,,高津区下作延3-5,奈良　平安,35.59565714,139.6013123,0,0,0,0,1,1,0,0,0,0
14134005100,14134,高津区No.51,下作延巳ノ谷遺跡・上作延南谷一遺跡,高津区下作延4-51,縄文　弥生　古墳　奈良　平安,35.59716465,139.6028573,0,1,1,1,1,1,0,0,0,0
14134005200,14134,高津区No.52,久保台遺跡,高津区末長1-6,縄文　弥生　古墳　奈良　平安,35.59564318,139.606136,0,1,1,1,1,1,0,0,0,0
14134005300,14134,高津区No.53,,高津区末長1-49,縄文　弥生,35.59381459,139.6044022,0,1,1,0,0,0,0,0,0,0
14134005400,14134,高津区No.54,久本桃之園遺跡・久本梅之園遺跡,高津区久本1-12,縄文　弥生　奈良　平安,35.59646673,139.6097623,0,1,1,0,1,1,0,0,0,0
14134005500,14134,高津区No.55,久本桃之園横穴墓群,高津区久本1-13,古墳,35.59679999,139.6106593,0,0,0,1,0,0,0,0,0,0
14134005600,14134,高津区No.56,久本横穴墓群,高津区久本1-16,古墳,35.59650686,139.6121742,0,0,0,1,0,0,0,0,0,0
14134005700,14134,高津区No.57,末長久保台北遺跡,高津区末長1-1,縄文　弥生　古墳　奈良　平安,35.59494888,139.6108944,0,1,1,1,1,1,0,0,0,0
14134005800,14134,高津区No.58,末長久保台遺跡,高津区末長2-1,縄文　弥生　平安,35.59320751,139.6109717,0,1,1,0,0,1,0,0,0,0
14134005900,14134,高津区No.59,末長火葬墓,高津区久本2-11,平安,35.59348614,139.6121357,0,0,0,0,0,1,0,0,0,0
14134006000,14134,高津区No.60,末長富士見台遺跡,高津区末長2-4,縄文　奈良　平安,35.59210376,139.6127183,0,1,0,0,1,1,0,0,0,0
14134006100,14134,高津区No.61,末長姿見台遺跡,高津区末長1-40,弥生　古墳　奈良,35.59255901,139.606254,0,0,1,1,1,0,0,0,0,0
14134006200,14134,高津区No.62,法界塚古墳,高津区梶ヶ谷2-1-6,古墳,35.59109329,139.6035074,0,0,0,1,0,0,0,0,0,0
14134006300,14134,高津区No.63,清水谷古墳（１号墳）,高津区梶ヶ谷2-1-9,古墳,35.59043022,139.6030439,0,0,0,1,0,0,0,0,0,0
14134006400,14134,高津区No.64,,高津区梶ヶ谷2-10,古墳,35.588848,139.603043,0,0,0,1,0,0,0,0,0,0
14134006500,14134,高津区No.65,梶ヶ谷神明社上遺跡,高津区梶ヶ谷4-14,弥生　古墳　奈良,35.586067,139.602127,0,0,1,1,1,0,0,0,0,0
14134006600,14134,高津区No.66,末長向台遺跡,高津区末長1-41,縄文　古墳　奈良　平安,35.59047908,139.6068376,0,1,0,1,1,1,0,0,0,0
14134006700,14134,高津区No.67,,高津区新作1-23,旧石器,35.58732785,139.6082817,1,0,0,0,0,0,0,0,0,0
14134006800,14134,高津区No.68,西福寺古墳,高津区梶ヶ谷3-17,古墳,35.586037,139.607468,0,0,0,1,0,0,0,0,0,0
14134006900,14134,高津区No.69,大原遺跡・新作小高台遺跡,高津区新作1-9,縄文　古墳　奈良　平安,35.5874692,139.6106806,0,1,0,1,1,1,0,0,0,0
14134007000,14134,高津区No.70,末長遺跡,高津区末長2-25,弥生　古墳,35.58958059,139.6134607,0,0,1,1,0,0,0,0,0,0
14134007100,14134,高津区No.71,薬師院裏遺跡,高津区末長2-27,奈良　平安,35.58755119,139.6139607,0,0,0,0,1,1,0,0,0,0
14134007200,14134,高津区No.72,新作小高台遺跡,高津区新作1-11,縄文　弥生　奈良　平安,35.586475,139.612457,0,1,1,0,1,1,0,0,0,0
14134007300,14134,高津区No.73,新作池ノ谷遺跡,高津区新作1-19,縄文　弥生　奈良　平安,35.58495636,139.6103545,0,1,1,0,1,1,0,0,0,0
14134007400,14134,高津区No.74,,高津区梶ヶ谷5-11,縄文　弥生　古墳　奈良　平安,35.58330901,139.6079856,0,1,1,1,1,1,0,0,0,0
14134007500,14134,高津区No.75,,高津区新作2-3ほか,縄文　弥生　古墳　奈良　平安,35.583229,139.612686,0,1,1,1,1,1,0,0,0,0
14134007600,14134,高津区No.76,井田中原追跡,高津区蟹ヶ谷字池ノ里ほか,縄文　弥生　古墳,35.562927,139.633698,0,1,1,1,0,0,0,0,0,0
14134007700,14134,高津区No.77,新作二丁目遺跡,高津区新作2-15ほか,縄文　弥生　古墳　奈良　平安,35.582893,139.614258,0,1,1,1,1,1,0,0,0,0
14134007800,14134,高津区No.78,新作古墳,高津区新作2-7,古墳,35.582829,139.613129,0,0,0,1,0,0,0,0,0,0
14134007900,14134,高津区No.79,新作貝塚・新作八幡台遺跡・（仏手塚）,高津区新作3-13ほか,縄文　弥生,35.586159,139.616745,0,1,1,0,0,0,0,0,0,0
14134008000,14134,高津区No.80,新作八幡神社裏古墳,高津区新作3-6,古墳,35.585133,139.61795,0,0,0,1,0,0,0,0,0,0
14134008100,14134,高津区No.81,間際根横穴墓群,高津区新作3-14ほか,古墳,35.586067,139.618195,0,0,0,1,0,0,0,0,0,0
14134008200,14134,高津区No.82,,高津区千年1243ほか,弥生　古墳,35.58297599,139.6172981,0,0,1,1,0,0,0,0,0,0
14134008300,14134,高津区No.83,千年-８遺跡,高津区千年1177ほ,縄文　弥生　古墳　奈良　平安,35.58168461,139.6188345,0,1,1,1,1,1,0,0,0,0
14134008400,14134,高津区No.84,,川崎市高津区東野川2-13,古墳,35.56967631,139.6142797,0,0,0,1,0,0,0,0,0,0
14134008500,14134,高津区No.85,野川南耕地遺跡,川崎市高津区東野川2-15,縄文　弥生　古墳　奈良　平安,35.56916316,139.6148247,0,1,1,1,1,1,0,0,0,0
14134008600,14134,高津区No.86,,高津区久末465ほか,縄文　弥生,35.56119925,139.6182428,0,1,1,0,0,0,0,0,0,0
14134008700,14134,高津区No.87,,高津区久末504ほか,縄文,35.56258871,139.6201139,0,1,0,0,0,0,0,0,0,0
14134008800,14134,高津区No.88,,高津区久末1508ほか,縄文,35.56290989,139.622028,0,1,0,0,0,0,0,0,0,0
14134008900,14134,高津区No.89,,高津区久末1580ほか,縄文　弥生,35.5629639,139.6252512,0,1,1,0,0,0,0,0,0,0
14134009000,14134,高津区No.90,,高津区久末1671ほか,縄文　弥生,35.564891,139.62504,0,1,1,0,0,0,0,0,0,0
14134009100,14134,高津区No.91,久末伊勢原遺跡,高津区久末671ほか,縄文　弥生,35.567467,139.619659,0,1,1,0,0,0,0,0,0,0
14134009200,14134,高津区No.92,久末谷遺跡,高津区久末1229ほか,縄文　弥生,35.5701831,139.6201872,0,1,1,0,0,0,0,0,0,0
14134009300,14134,高津区No.93,,高津区千年390付近,古墳,35.57967507,139.623229,0,0,0,1,0,0,0,0,0,0
14134009400,14134,高津区No.94,千年伊勢山台古墳,高津区千年449,古墳,35.57870301,139.6236904,0,0,0,1,0,0,0,0,0,0
14134009500,14134,高津区No.95,千年蟻山遺跡・伊勢山台北遺跡・千年伊勢山台遺跡・伊勢山台東遺跡・影向寺南遺跡,高津区千年520ほか,縄文　弥生　古墳　奈良　平安 中世,35.57739323,139.6224222,0,1,1,1,1,1,1,0,0,0
14134009600,14134,高津区No.96,下原宿遺跡,高津区千年300,縄文　弥生　古墳　奈良　平安,35.57575445,139.6242998,0,1,1,1,1,1,0,0,0,0
14134009700,14134,高津区No.97,,高津区子母口54,中世,35.57507031,139.6233041,0,0,0,0,0,0,1,0,0,0
14134009800,14134,高津区No.98,子母口富士見台古墳,高津区子母口69,古墳,35.57436522,139.6253919,0,0,0,1,0,0,0,0,0,0
