"JASID","自治体コード","遺跡番号","遺跡名","種類","所在地","時代","旧市番号","地図","経度","緯度","平安"
14136001000,14136,"宮前区No.10","十三菩提西遺跡","集落跡","川崎市宮前区野川2290ほか","縄文　弥生　古墳　奈良　平安","野川-1",54,139.6073,35.56762,1
14136001100,14136,"宮前区No.11","","散布地","川崎市宮前区西野川3-13","縄文　弥生　古墳　奈良　平安","野川-2",53,139.6058,35.5693,1
14136001200,14136,"宮前区No.12","","散布地","川崎市宮前区西野川3-12","縄文　弥生　古墳　奈良　平安","野川-3",53,139.6028,35.569,1
14136001300,14136,"宮前区No.13","","その他の墓","川崎市宮前区野川2624","平安","野川-7",53,139.6041,35.56803,1
14136001400,14136,"宮前区No.14","","その他の墓","川崎市宮前区野川2618","平安","野川-8",53,139.6032,35.56788,1
14136001500,14136,"宮前区No.15","","散布地","川崎市宮前区野川2660ほか","奈良　平安","野川-4",54,139.6014,35.56668,1
14136001700,14136,"宮前区No.17","東有馬遺跡","散布地","川崎市宮前区東有馬5-14ほか","縄文　奈良　平安","野川-6",53,139.5933,35.56791,1
14136001900,14136,"宮前区No.19","","散布地 その他の墓","川崎市宮前区梶ヶ谷1117ほか","縄文　奈良　平安","馬絹-2",53,139.605,35.57899,1
14136002100,14136,"宮前区No.21","野川中耕地遺跡","散布地","川崎市宮前区西野川2-14","縄文　奈良　平安","馬絹-3",53,139.6081,35.57414,1
14136002200,14136,"宮前区No.22","","散布地","川崎市宮前区野川3119ほか","縄文　弥生　古墳　奈良　平安","馬絹-18",53,139.6026,35.57518,1
14136002300,14136,"宮前区No.23","","散布地","川崎市宮前区西野川3-8","縄文　弥生　古墳　奈良　平安","馬絹-8",53,139.6034,35.57304,1
14136002400,14136,"宮前区No.24","","その他の墓","川崎市宮前区西野川3-5","平安","馬絹-26",53,139.6051,35.57186,1
14136002600,14136,"宮前区No.26","野川西耕地遺跡","集落跡 その他の墓","川崎市宮前区野川2935ほか","縄文　奈良　平安","馬絹-11",53,139.5988,35.57326,1
14136002700,14136,"宮前区No.27","","散布地","川崎市宮前区宮崎3-3-22ほか","縄文　古墳　奈良　平安","宮崎-15",52,139.5879,35.58863,1
14136003200,14136,"宮前区No.32","","その他の墓","川崎市宮前区馬絹6-19","平安","馬絹-19",52,139.5965,35.58346,1
14136003300,14136,"宮前区No.33","","その他の墓","川崎市宮前区馬絹1-13","平安","馬絹-20",52,139.5958,35.58317,1
14136003600,14136,"宮前区No.36","","散布地","川崎市宮前区宮崎1-10ほか","縄文　弥生　古墳　奈良　平安","宮崎-33",52,139.5918,35.58506,1
14136003700,14136,"宮前区No.37","","散布地","川崎市宮前区馬絹2-9","縄文　奈良　平安","馬絹-13",52,139.5921,35.5815,1
14136004300,14136,"宮前区No.43","","その他の墓","川崎市宮前区東有馬1-1","平安","馬絹-14",59,139.5904,35.57767,1
14136004400,14136,"宮前区No.44","","その他の墓","川崎市宮前区東有馬1-2","平安","馬絹-24",59,139.5901,35.57673,1
14136004500,14136,"宮前区No.45","東有馬一丁目遺跡・骨蔵器","集落跡 その他の墓","川崎市宮前区有馬3-4ほか","縄文　弥生　古墳　奈良　平安","馬絹-23",59,139.588,35.57774,1
14136004600,14136,"宮前区No.46","","散布地","川崎市宮前区東有馬2-36ほか","縄文　平安","馬絹-12",53,139.5939,35.57323,1
14136004700,14136,"宮前区No.47","","散布地","川崎市宮前区東有馬2-32","縄文　奈良　平安","馬絹-15",53,139.5926,35.57439,1
14136004800,14136,"宮前区No.48","骨蔵器","散布地 その他の墓","川崎市宮前区東有馬3-9ほか","縄文　奈良　平安","馬絹-16",53,139.5902,35.5733,1
14136004900,14136,"宮前区No.49","","その他の墓","川崎市宮前区東有馬3-13","平安","馬絹-25",59,139.59,35.57228,1
14136005500,14136,"宮前区No.55","","その他の墓","川崎市宮前区有馬7-1ほか","平安","有馬-14",59,139.5775,35.5728,1
14136005700,14136,"宮前区No.57","","散布地","川崎市宮前区有馬8-19","奈良　平安","有馬-18",59,139.5737,35.57304,1
14136006300,14136,"宮前区No.63","","散布地","川崎市宮前区小台1-10","縄文　弥生　古墳　奈良　平安","有馬-2",59,139.5792,35.58004,1
14136006500,14136,"宮前区No.65","","その他の墓","川崎市宮前区小台1-11ほか","平安","有馬-10",59,139.5773,35.57945,1
14136006600,14136,"宮前区No.66","","散布地","川崎市宮前区有馬1-1","縄文　平安","有馬-16",59,139.5761,35.57843,1
14136006700,14136,"宮前区No.67","","その他の墓","川崎市宮前区有馬1-9","平安","有馬-25",59,139.5791,35.57829,1
14136007200,14136,"宮前区No.72","","その他の墓","川崎市宮前区鷺沼4-9-6","平安","有馬-20",64,139.5677,35.58255,1
14136007500,14136,"宮前区No.75","東高根遺跡","集落跡","川崎市宮前区神木本町2-10","縄文　弥生　古墳　奈良　平安","五所塚-3",57,139.5864,35.60489,1
14136007600,14136,"宮前区No.76","東高根遺跡","散布地","川崎市宮前区神木本町2丁目","縄文　奈良　平安","五所塚-4",57,139.5853,35.60342,1
14136008100,14136,"宮前区No.81","","散布地","川崎市宮前区五所塚1-6ほか","縄文　奈良　平安","五所塚-35",57,139.5759,35.60579,1
14136008300,14136,"宮前区No.83","東泉寺上遺跡","集落跡","川崎市宮前区平1-11","縄文　弥生　古墳　奈良　平安","五所塚-22",57,139.5786,35.60243,1
14136008400,14136,"宮前区No.84","","散布地","川崎市宮前区平1-10-39","縄文　古墳　奈良　平安","五所塚-23",57,139.5794,35.60205,1
14136008800,14136,"宮前区No.88","","散布地","川崎市宮前区平2-15ほか","縄文　奈良　平安","五所塚-39",57,139.5743,35.60205,1
14136008900,14136,"宮前区No.89","風久保遺跡・風久保西遺跡","集落跡 墓地","川崎市宮前区平2-12","縄文　弥生　平安","五所塚-27",57,139.5745,35.60111,1
