place_id,SiteType,Chronology,Pa,Jo,Ya,Ko,Na,He,Me,site_type_tokens,has_special_site_type_flag,has_special_function_site_type,special_site_type_class
13201077300,集落・墳墓・城館,[縄文時代（早期・中期）][古墳時代][平安時代][近世],0,1,0,1,0,1,0,集落;墳墓;城館,TRUE,TRUE,multiple_special_site_types
13201080700,その他（製鉄）,[平安時代],0,0,0,0,0,1,0,その他（製鉄）,TRUE,TRUE,special_function
13201085000,集落・城館・墓地,[縄文時代（早期〜後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世],0,1,1,1,1,1,1,集落;城館;墓地,TRUE,TRUE,multiple_special_site_types
13201099400,包蔵地・その他（炭窯）,[縄文時代（早期〜中期）][平安時代][近世],0,1,0,0,0,1,0,包蔵地;その他（炭窯）,TRUE,TRUE,special_function
13201102400,城館,[中世][近世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13202001700,包蔵地・城館,[中世][近世],0,0,0,0,0,0,1,包蔵地;城館,TRUE,TRUE,special_function
13205003500,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205003600,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205003900,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205005600,城館・柵跡,[中世],0,0,0,0,0,0,1,城館;柵跡,TRUE,TRUE,special_function
13205006500,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205006700,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205009300,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205010100,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205013800,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205014400,集落・城館,[旧石器時代][縄文時代（早期〜後期）][奈良時代][平安時代][中世],1,1,0,0,1,1,1,集落;城館,TRUE,TRUE,special_function
13205014600,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205014900,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13205015800,包蔵地・集落・生産関連,[縄文時代（前期〜後期）][古墳時代][奈良時代][平安時代][中世][近世],0,1,0,1,1,1,1,包蔵地;集落;生産関連,TRUE,TRUE,special_function
13207005100,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13208002300,包蔵地・集落・城館,[縄文時代（早期〜中期）][弥生時代][古墳時代][奈良時代][平安時代][中世],0,1,1,1,1,1,1,包蔵地;集落;城館,TRUE,TRUE,special_function
13208002901,集落・城館・その他,[縄文時代（草創期〜早期・中期〜後期）][奈良時代][中世],0,1,0,0,1,0,1,集落;城館;その他,TRUE,TRUE,special_function
13208004000,城館,[縄文時代（早期・中期〜後期）][古墳時代][奈良時代][平安時代][中世][近世],0,1,0,1,1,1,1,城館,TRUE,TRUE,special_function
13208006000,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13209001200,鍛冶工房,[時代不明],0,0,0,0,0,0,0,鍛冶工房,TRUE,TRUE,special_function
13209003209,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003211,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003224,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003226,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003237,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003239,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003240,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003244,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003249,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003253,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003254,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003255,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003256,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209003263,窯,[平安時代],0,0,0,0,0,1,0,窯,TRUE,TRUE,special_function
13209008100,包蔵地・城館,[縄文時代（早期〜中期）][奈良時代][平安時代],0,1,0,0,1,1,0,包蔵地;城館,TRUE,TRUE,special_function
13209009300,包蔵地･窯,[縄文時代（中期）][奈良時代][平安時代],0,1,0,0,1,1,0,包蔵地･窯,TRUE,TRUE,special_function
13209009800,集落･窯･その他（粘土採掘坑・水場遺構）,[縄文時代（早期〜晩期）][古墳時代][奈良時代][平安時代][中世][近世],0,1,0,1,1,1,1,集落･窯･その他（粘土採掘坑;水場遺構）,TRUE,TRUE,special_function
13209010000,集落・窯,[旧石器時代][縄文時代（早期〜後期）][弥生時代（中期）][古墳時代][奈良時代][平安時代][中世][近世],1,1,1,1,1,1,1,集落;窯,TRUE,TRUE,special_function
13209021500,包蔵地・城館,[縄文時代（早期・中期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世],0,1,1,1,1,1,1,包蔵地;城館,TRUE,TRUE,special_function
13209045400,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
13209045600,集落・窯,[縄文時代（前期〜後期）][奈良時代][平安時代],0,1,0,0,1,1,0,集落;窯,TRUE,TRUE,special_function
13209045800,包蔵地・窯,[縄文時代（中期〜後期）][古墳時代][奈良時代][平安時代][中世],0,1,0,1,1,1,1,包蔵地;窯,TRUE,TRUE,special_function
13209055300,包蔵地・城館,[平安時代][中世],0,0,0,0,0,1,1,包蔵地;城館,TRUE,TRUE,special_function
13209069800,集落・窯跡,[縄文時代（早期〜中期）][古墳時代][奈良時代][平安時代][近世],0,1,0,1,1,1,0,集落;窯跡,TRUE,TRUE,special_function
13209071100,窯跡（江戸瓦窯）,[縄文時代（早期〜中期）][奈良時代][平安時代][近世],0,1,0,0,1,1,0,窯跡（江戸瓦窯）,TRUE,TRUE,special_function
13209072200,集落･城館,[縄文時代（早期・中期）][奈良時代][平安時代][中世],0,1,0,0,1,1,1,集落･城館,TRUE,TRUE,special_function
13209072300,城館,[中世],0,0,0,0,0,0,1,城館,TRUE,TRUE,special_function
