place_id,phase_code,presence,phase_order,next_phase_code,next_phase_order,next_presence,transition,phase_pair,phase_pair_order
13102001200,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13102001200,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13102001200,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13102001200,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13102001200,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13102007700,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13102007700,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13102007700,Ya,1,3,Ko,4,1,continue,Ya->Ko,3
13102007700,Ko,1,4,Na,5,1,continue,Ko->Na,4
13102007700,Na,1,5,He,6,1,continue,Na->He,5
13102007700,He,1,6,Me,7,1,continue,He->Me,6
13102014000,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13102014000,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13102014000,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13102014000,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13102014000,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13102014000,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103000100,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103000100,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103000100,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103000100,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103000100,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103000100,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103000200,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103000200,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13103000200,Ya,1,3,Ko,4,0,drop,Ya->Ko,3
13103000200,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103000200,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103000200,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103000300,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103000300,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103000300,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103000300,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103000300,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103000300,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103000500,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103000500,Jo,1,2,Ya,3,1,continue,Jo->Ya,2
13103000500,Ya,1,3,Ko,4,1,continue,Ya->Ko,3
13103000500,Ko,1,4,Na,5,0,drop,Ko->Na,4
13103000500,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103000500,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103000700,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13103000700,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13103000700,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103000700,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103000700,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103000700,He,0,6,Me,7,1,new,He->Me,6
13103000900,Pa,1,1,Jo,2,1,continue,Pa->Jo,1
13103000900,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103000900,Ya,0,3,Ko,4,1,new,Ya->Ko,3
13103000900,Ko,1,4,Na,5,0,drop,Ko->Na,4
13103000900,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103000900,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103000902,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103000902,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103000902,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103000902,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103000902,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103000902,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103001500,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13103001500,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13103001500,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103001500,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103001500,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103001500,He,0,6,Me,7,1,new,He->Me,6
13103001700,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13103001700,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
13103001700,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103001700,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103001700,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103001700,He,0,6,Me,7,1,new,He->Me,6
13103001800,Pa,0,1,Jo,2,1,new,Pa->Jo,1
13103001800,Jo,1,2,Ya,3,0,drop,Jo->Ya,2
13103001800,Ya,0,3,Ko,4,0,apparent_absence_continue,Ya->Ko,3
13103001800,Ko,0,4,Na,5,0,apparent_absence_continue,Ko->Na,4
13103001800,Na,0,5,He,6,0,apparent_absence_continue,Na->He,5
13103001800,He,0,6,Me,7,0,apparent_absence_continue,He->Me,6
13103002100,Pa,0,1,Jo,2,0,apparent_absence_continue,Pa->Jo,1
13103002100,Jo,0,2,Ya,3,0,apparent_absence_continue,Jo->Ya,2
