"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","遺構","主な出土品","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明","色"
13105003800,13105,"38","おちゃのみずかいづか","お茶の水貝塚","文京区 湯島一丁目","[縄文時代（前期?晩期）]","貝塚","","縄文土器　石斧　磨石?　石棒?　人骨　獣骨",139.7646685,35.70143345,"0","縄文","0","0","0","0","0","0","0","purple"
13105004000,13105,"40","ゆしま（きりどおしきた）かいづか","湯島（切通し北）貝塚","文京区 湯島四丁目","[縄文時代（前期?晩期）]","貝塚","","",139.7675524,35.70932315,"0","縄文","0","0","0","0","0","0","0","purple"
13105004700,13105,"47","ほんごうだいいせきぐん","本郷台遺跡群","文京区 本郷五丁目　本郷七丁目　弥生二丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][平安時代][近世]","包蔵地・集落・貝塚・その他の墓・社寺・屋敷・その他（町屋）","[旧石器時代]石器ブロック　礫群　[縄文時代]遺物集中部　陥穴　[古墳時代]住居跡　[平安時代]住居跡　井戸　[近（近世）]地下式坑　建物跡　組石遺構　土坑　溝　庭園址　井戸　道路状遺構など","（旧石器）ナイフ形石器・石核・剥片・石屑　砕片　（縄文）土器・石器　（弥生）土器　（古墳）土師器・土製品・須恵器　（奈良）土師器・須恵器　（平安）土師器・須恵器・灰釉陶器・緑釉陶器・土錘　（近世）陶磁器・土器・瓦・土製品・石製品・金属製品・古銭・骨角製品・動物遺存体・?b器・瓦器・ガラス製品・木製品",139.7634819,35.71205684,"旧石器","縄文","弥生","古墳","0","平安","0","近世","0","purple"
13106000100,13106,"1","りょうげんじかいづか","領玄寺貝塚","台東区 谷中四丁目","[縄文時代（中期～後期）][近世]","包蔵地・貝塚","","縄文土器　石斧　石鏃　石錐　砥石　陶磁器",139.7664873,35.72277819,"0","縄文","0","0","0","0","0","近世","0","purple"
13106000200,13106,"2","てんのうじかいづか","天王寺貝塚","台東区 谷中七丁目","[縄文時代（後期）][古墳時代]","包蔵地・貝塚","","縄文土器　土師器",139.7723925,35.72591381,"0","縄文","0","古墳","0","0","0","0","0","purple"
13106000405,13106,"4-5","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木一丁目","[旧石器時代][縄文時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・貝塚・社寺","[旧石器時代]～[中世]礫群　陥穴　ピット群　土杭　貝塚　[近世]地下式土杭　井戸　溝　瓦留　墓杭","縄文～古代土器　近世陶磁器瓦・石造物　旧石器～中世礫・縄文土器・土師器・須恵器・陶器・土器　近世陶磁器・土器類・人骨",139.7701043,35.72060734,"旧石器","縄文","0","古墳","奈良","平安","中世","近世","0","purple"
13106000600,13106,"6","しんざかかいづか","新坂貝塚","台東区 上野桜木一丁目　上野公園","[縄文時代（後期）][弥生時代（後期）]","貝塚","","縄文土器　磨斧　貝輪　弥生土器",139.7788419,35.719799,"0","縄文","弥生","0","0","0","0","0","0","purple"
13106000700,13106,"7","みょうきづか","妙亀塚","台東区 橋場一丁目","[近世？]","その他（塚？）","","",139.8054762,35.72539993,"0","0","0","0","0","0","0","近世","0","purple"
13106001000,13106,"10","ゆしま（きりどおしきた）かいづか","湯島（切通し北）貝塚","台東区 池之端一丁目","[縄文時代（前期～晩期）]","貝塚","","縄文土器　石鏃　唐製石斧　石皿　石剣　耳飾　土版　骨針　貝輪　人骨　獣骨　打製石斧　縄文（前・後・?）土器　骨首器（ヘアピン）　貝",139.7675451,35.70926132,"0","縄文","0","0","0","0","0","0","0","purple"
13106004600,13106,"46","せんげんじんじゃいせき","浅間神社遺跡","台東区 浅草五丁目","[中世][近世]","包蔵地・社寺・その他（塚）","井戸跡","近世陶磁器　瓦等",139.7984724,35.71935152,"0","0","0","0","0","0","中世","近世","0","purple"
