"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13111004100,13111,"上沼部新居里横穴墓群",35.59460613,139.6619011,"0","0","0","1","1","0","0","0","0"
13111004200,13111,"上沼部吹上北部横穴墓群",35.59931764,139.6603512,"0","0","0","1","1","0","0","0","0"
13111004300,13111,"上沼部吹上南部横穴墓群",35.59718903,139.6582484,"0","0","0","1","1","0","0","0","0"
13111004400,13111,"上沼部29番地横穴墓",35.59610725,139.6576046,"0","0","0","1","1","0","0","0","0"
13111004500,13111,"田園調布本町貝塚",35.58467801,139.6761517,"0","1","0","0","0","0","0","0","0"
13111004600,13111,"田園調布本町24番横穴墓",35.58391891,139.6745531,"0","0","0","1","1","0","0","0","0"
13111004700,13111,"田園調布本町26番横穴墓",35.5827497,139.6743063,"0","0","0","1","1","0","0","0","0"
13111004800,13111,"下沼部貝塚",35.58533812,139.6724802,"0","1","1","0","0","0","0","1","0"
13111004900,13111,"雪ヶ谷行人塚",35.5965309,139.6847028,"0","0","0","0","1","1","0","0","0"
13111005000,13111,"西岡49号墳",35.58545938,139.6709538,"0","0","0","1","0","0","0","0","0"
13111005100,13111,"西岡50号墳",35.58590436,139.6708465,"0","0","0","1","0","0","0","0","0"
13111005200,13111,"西岡51号墳",35.58488351,139.6716083,"0","0","0","1","0","0","0","0","0"
13111005300,13111,"西岡52号墳",35.5844996,139.6722949,"0","0","0","1","0","0","0","0","0"
13111005400,13111,"西岡53号墳",35.5810443,139.676801,"0","0","0","1","0","0","0","0","0"
13111005500,13111,"西岡54号墳",35.58182961,139.6781743,"0","0","0","1","0","0","0","0","0"
13111005600,13111,"鵜木大塚古墳",35.59133995,139.6771517,"0","0","0","1","0","0","0","0","0"
13111005700,13111,"雪ヶ谷貝塚",35.58976951,139.6844687,"1","1","1","1","0","1","0","0","0"
13111005800,13111,"勝海舟墓所付近遺跡",35.60212279,139.6920433,"0","1","0","0","0","0","0","0","0"
13111005900,13111,"上池上遺跡",35.59277077,139.7019138,"0","1","0","0","0","0","0","0","0"
13111006000,13111,"馬込貝塚",35.59549274,139.7035017,"0","1","0","0","0","0","0","0","0"
13111006100,13111,"南馬込一丁目横穴墓群",35.59316087,139.7128043,"0","0","0","1","1","0","0","0","0"
13111006200,13111,"天満宮付近貝塚",35.58939185,139.7166881,"0","1","0","0","0","0","0","0","0"
13111006300,13111,"馬込一丁目貝塚",35.58647772,139.7140918,"0","1","0","0","0","0","0","0","0"
13111006400,13111,"塚越横穴墓群",35.58682673,139.7028265,"0","0","0","1","1","0","0","0","0"
13111006500,13111,"長遠寺貝塚",35.59124845,139.7096019,"0","1","1","0","0","0","0","0","0"
13111006600,13111,"上池上（子安八幡神社裏）遺跡",35.58900204,139.6986138,"0","0","1","0","0","0","0","0","0"
13111006700,13111,"大谷・下谷遺跡",35.58769331,139.7014033,"1","1","0","0","0","0","0","0","0"
13111006800,13111,"山王一丁目横穴墓群",35.59301536,139.7217452,"0","0","0","1","1","0","0","0","0"
13111006900,13111,"大森貝塚",35.59301536,139.7303283,"0","1","0","0","0","0","0","0","0"
13111006902,13111,"大森・山王鎌倉街道下ッ道関連遺跡",35.59189863,139.7288048,"0","0","0","0","0","0","1","0","0"
13111007000,13111,"熊野神社前貝塚・新井宿城跡",35.58434285,139.721874,"0","0","0","0","1","1","1","0","0"
13111007100,13111,"熊野神社付近横穴墓群",35.58397639,139.7208869,"0","0","0","1","0","1","0","0","0"
13111007200,13111,"熊野神社遺跡",35.58542479,139.7214663,"0","0","1","0","0","0","0","0","0"
13111007300,13111,"山王遺跡・山王遺跡内横穴墓群",35.58752753,139.7252696,"0","0","1","1","1","0","0","0","0"
13111007400,13111,"桐里町貝塚",35.57945652,139.7069823,"0","1","1","0","0","0","0","0","0"
13111007500,13111,"本門寺裏遺跡",35.57996262,139.7042143,"0","0","1","0","0","0","0","0","0"
13111007600,13111,"庄仙貝塚",35.586053,139.6882712,"0","1","0","0","0","0","0","0","0"
13111007700,13111,"天使幼稚園付近遺跡",35.58212659,139.6936786,"0","1","0","0","0","0","0","0","0"
13111007800,13111,"久ヶ原貝塚・久ヶ原町1026番地貝塚",35.58052107,139.6912324,"0","1","0","0","0","0","0","0","0"
13111007900,13111,"久が原四丁目横穴墓群",35.5802942,139.6921765,"0","0","0","1","1","0","0","0","0"
13111008000,13111,"久ヶ原横穴墓群",35.57514582,139.6937644,"0","0","0","1","1","0","0","0","0"
13111008100,13111,"久ヶ原遺跡",35.57641986,139.6939146,"0","0","1","1","0","0","1","0","0"
13111008200,13111,"雪ヶ谷笹丸大塚",35.5987558,139.6880781,"0","0","0","0","1","1","0","0","0"
13111008300,13111,"スリバチ山古墳",35.57388922,139.6935284,"0","0","0","1","0","0","0","0","0"
13111008400,13111,"嶺遺跡",35.57483168,139.6882283,"0","0","1","0","0","0","0","0","0"
13111008500,13111,"千鳥久保貝塚",35.57711795,139.6891725,"0","1","0","0","0","0","0","0","0"
13111008600,13111,"大塚古墳",35.57430809,139.6916401,"0","0","0","1","0","0","0","0","0"
13111008700,13111,"増明院裏貝塚",35.57566033,139.6829192,"0","1","0","0","0","0","0","0","0"
13111008800,13111,"根岸横穴墓群",35.5740285,139.6880959,"0","0","0","1","1","0","0","0","0"
13111008900,13111,"光明寺横穴墓群",35.57359218,139.6837453,"0","0","0","1","1","0","0","0","0"
