itemId,ISEKI_NO,TYPE,ERA,x,y,name,layerId,layerName,mapId,orgGeomType,source_first_seen,source_level,source_hits
233,186-3,古墳,古墳,139.36068098250243,35.52786033911681,186-3,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
235,186-6,古墳,古墳,139.3601118523696,35.52810442445084,186-6,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
232,186-9,古墳,古墳,139.35757730403043,35.52832381218119,186-9,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
229,186-13,古墳,古墳,139.35547103906293,35.52884416532502,186-13,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
237,188,その他の遺跡　（塚（富士塚））,中世,139.3634482823036,35.527177872819706,188,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
253,189,集落跡、市場,縄文、古墳、奈良～平安、中世、近世,139.36252573179058,35.53111806471118,189,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
236,192,中世寺院　（市指定史跡名勝天然記念物）、散布地、集落跡,縄文、古墳、奈良～平安、中世、近世,139.3661420853627,35.52861570324069,192,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
275,194,散布地、集落跡,縄文、奈良～平安,139.36870093121524,35.527943144057076,194,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
290,198,散布地,旧石器、縄文、奈良～平安,139.38433216828716,35.5338902018716,198,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
302,201,散布地,旧石器,139.38156402749323,35.53705603341894,201,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
225,205,宿,中世、近世,139.36646370251168,35.524004694669,205,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
272,207,城館跡,中世,139.37460097653315,35.525535567943,207,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
281,211,城館跡,中世,139.3829150752887,35.52477172992362,211,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
283,213,散布地,縄文,139.38478875907563,35.52431032048564,213,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
