itemId,ISEKI_NO,SiteName,TYPE,ERA,x,y,name,layerId,layerName,mapId,orgGeomType,source_first_seen,source_level,source_hits
380,124,,集落跡,縄文、奈良～平安,139.35183721884700,35.560367855053700,124,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,48
387,125,,集落跡,旧石器、縄文、奈良～平安、中世、近世,139.36200606209200,35.56128986092240,125,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
388,126,,散布地,旧石器,139.36522207004400,35.55981200415810,126,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
369,127,,散布地,縄文、中世,139.36092142870300,35.55828359920650,127,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
386,128,,散布地,旧石器,139.35935841453400,35.559662266012300,128,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
367,129,,散布地,縄文,139.35615714425200,35.55691212369690,129,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
368,130,,散布地,旧石器、縄文、奈良～平安、近世,139.354693587156,35.555564536657800,130,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
363,131,,散布地,旧石器、縄文,139.35169911545000,35.55626812189340,131,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
364,132,,集落跡,旧石器、縄文、弥生、奈良～平安,139.3594473892610,35.55308950764480,132,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
365,133,,集落跡,旧石器、縄文、奈良～平安,139.36417682737300,35.55508031096080,133,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
370,134,,散布地,旧石器、縄文,139.3661987864010,35.55693280594930,134,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
401,135,,散布地,旧石器、縄文、奈良～平安,139.3693108033290,35.55361293909250,135,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
366,136,,散布地,縄文,139.36674165241900,35.553446610847100,136,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
355,137,,集落跡,旧石器、縄文、古墳、奈良～平安,139.3468058624200,35.54754373633840,137,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,16
346,138,,集落跡,縄文、奈良～平安,139.33949169452300,35.55006542987020,138,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,21
345,139,,集落跡,旧石器、縄文、古墳、奈良～平安、近世,139.3367289886310,35.5488381310354,139,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,21
344,140,,集落跡,旧石器、縄文、古墳、奈良～平安、中世、近世,139.329845061322,35.54997248229890,140,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,16
340,141,,用水路跡,近世,139.32517044053000,35.55042459581040,141,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,16
341,142,,散布地、古墳,旧石器、古墳,139.3254552740300,35.54873682132320,142,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,21
342,143,,散布地,縄文、古墳、奈良～平安、中世、近世,139.32855661203200,35.54590992767080,143,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,21
343,144,,散布地,縄文、奈良～平安,139.33502426168200,35.546226433532600,144,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,23
245,145,,集落跡,縄文、古墳、奈良～平安,139.3398461910000,35.54407174634030,145,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
246,146,,散布地,縄文,139.3377747495280,35.54189013054780,146,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,23
243,147,,散布地,縄文,139.33979241542700,35.53916450302680,147,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
244,148,,用水路跡　（市登録史跡　万平穴）,近世,139.33744589256300,35.53916105720590,148,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,37
258,149,,散布地,奈良～平安,139.34909557314200,35.539868840238000,149,0,埋蔵文化財包蔵地,13-36,polygon,cache:central_L11_edf44e3d6806.json,13,4
259,150,,散布地,縄文,139.35339548199400,35.543496626293800,150,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
359,151,,散布地,縄文,139.35634976764200,35.54933425717260,151,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
356,152,,散布地,縄文,139.35833552089100,35.54757276988890,152,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
357,153,,散布地,縄文、奈良～平安,139.35974524559000,35.54511790897360,153,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,20
360,154,,集落跡,縄文,139.36155041785200,35.54793420230370,154,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
361,155,,集落跡,縄文、奈良～平安、近世,139.36381082386900,35.54946786972520,155,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
358,156,,散布地,縄文、奈良～平安,139.36461930735700,35.54485644421670,156,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
262,157,,散布地,縄文,139.36374781952800,35.542444867206100,157,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
362,158,,散布地,縄文,139.366098223359,35.55055909815010,158,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
398,159,,散布地,縄文,139.36966888045700,35.54885516641520,159,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
399,160,,散布地,縄文,139.3702509730130,35.55033421635160,160,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
400,161,,集落跡,縄文,139.37314735325100,35.55010945746680,161,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
395,162,,散布地,旧石器,139.37397606438600,35.54619578563230,162,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
396,163,,散布地,縄文,139.37089096660300,35.545484214825500,163,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
296,164,,散布地,縄文、奈良～平安,139.37091702562200,35.54335780743710,164,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,35
397,165,,散布地,旧石器、奈良～平安,139.37833153574400,35.544195525717900,165,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
304,166,,散布地　,縄文,139.38103315981300,35.543906519327,166,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
301,167,,集落跡,旧石器、縄文,139.38197193230300,35.53961101151700,167,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
300,168,,散布地,縄文、奈良～平安,139.37920636621100,35.54130864159410,168,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
292,169,,散布地,縄文、奈良～平安,139.37780195478300,35.5403874203141,169,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
297,170,,散布地,縄文,139.37332313980900,35.541553166026500,170,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
298,171,,散布地,旧石器,139.3708426304510,35.5408163897485,171,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
291,172,,散布地,縄文,139.37388142488900,35.539046411327800,172,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
293,173,,散布地,縄文、弥生,139.37537923545300,35.539522003729000,173,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
294,174,,散布地,旧石器,139.37792521899300,35.53737855456370,174,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
288,175,,散布地,旧石器、縄文、中世、近世,139.3761558953240,35.53679675954740,175,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
287,176,,散布地,縄文、奈良～平安,139.37150177422300,35.53596098581900,176,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
261,177,,散布地,縄文、奈良～平安,139.36657588682600,35.537660453438300,177,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
260,178,,散布地,旧石器、縄文,139.35629451090200,35.53832353557240,178,0,埋蔵文化財包蔵地,13-36,polygon,ItemAPI-gap,,1
247,179,,散布地,縄文,139.3531104229870,35.53592672847030,179,0,埋蔵文化財包蔵地,13-36,polygon,u7267_v3228,13,16
248,180,,集落跡,旧石器、縄文、弥生、奈良～平安、中世、近世,139.35218273749400,35.53397612764920,180,0,埋蔵文化財包蔵地,13-36,polygon,u7266_v3228,13,19
249,181,,石切場跡,近世,139.34928635566900,35.53452698068870,181,0,埋蔵文化財包蔵地,13-36,polygon,u7265_v3228,13,16
